site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
AP-MDP,2020-12-01,20.0,25.0,16.4,82,100,0.0,0.0,17.6,41,18.91,3.58,937.7,16.5,691.0,13.532514,78.54396
AP-MDP,2020-12-02,20.3,25.2,17.1,82,98,0.0,0.0,18.7,25,16.67,3.3,936.3,16.9,691.0,13.532514,78.54396
AP-MDP,2020-12-03,19.8,20.9,18.1,95,99,23.2,23.2,22.4,17,3.81,0.8,934.8,19.0,691.0,13.532514,78.54396
AP-MDP,2020-12-04,20.5,22.6,19.7,98,100,13.5,13.5,22.9,36,6.67,1.12,934.3,20.1,691.0,13.532514,78.54396
AP-MDP,2020-12-05,20.5,22.4,19.6,97,100,14.2,14.2,19.2,33,8.16,1.38,934.9,20.0,691.0,13.532514,78.54396
AP-MDP,2020-12-06,21.0,24.1,19.2,95,100,11.1,11.1,19.6,47,10.8,1.89,936.1,20.1,691.0,13.532514,78.54396
AP-MDP,2020-12-07,21.4,24.5,19.8,93,100,11.2,11.2,21.6,70,12.84,2.26,937.5,20.2,691.0,13.532514,78.54396
AP-MDP,2020-12-08,21.4,24.5,20.0,92,100,10.9,10.9,16.6,89,12.99,2.35,938.1,19.9,691.0,13.532514,78.54396
AP-MDP,2020-12-09,20.8,24.4,17.2,91,100,8.7,8.7,16.2,93,12.32,2.26,937.5,19.3,691.0,13.532514,78.54396
AP-MDP,2020-12-10,19.4,24.6,15.1,81,99,0.0,0.0,11.1,134,20.32,3.69,937.0,15.8,691.0,13.532514,78.54396
AP-MDP,2020-12-11,18.9,24.9,14.5,80,100,0.0,0.0,9.7,125,20.81,3.84,936.9,14.8,691.0,13.532514,78.54396
AP-MDP,2020-12-12,18.5,24.5,13.8,82,100,0.0,0.0,9.5,137,20.4,3.68,936.4,15.0,691.0,13.532514,78.54396
AP-MDP,2020-12-13,19.1,24.8,13.4,80,100,0.0,0.0,8.7,117,20.7,3.76,935.8,15.2,691.0,13.532514,78.54396
AP-MDP,2020-12-14,19.7,24.6,15.3,82,100,0.0,0.0,11.5,113,19.43,3.58,936.0,16.1,691.0,13.532514,78.54396
AP-MDP,2020-12-15,19.8,23.6,15.8,82,99,0.4,0.4,15.5,70,14.41,2.76,937.2,16.4,691.0,13.532514,78.54396
AP-MDP,2020-12-16,20.6,24.4,17.9,89,100,2.3,2.3,15.0,58,11.96,2.31,937.9,18.6,691.0,13.532514,78.54396
AP-MDP,2020-12-17,20.9,24.4,19.1,89,100,2.0,2.0,15.6,56,10.89,2.2,938.0,18.9,691.0,13.532514,78.54396
AP-MDP,2020-12-18,20.6,25.8,17.1,83,100,0.0,0.0,18.4,49,17.63,3.42,937.7,17.1,691.0,13.532514,78.54396
AP-MDP,2020-12-19,20.7,24.7,18.3,85,100,2.4,2.4,16.3,65,13.95,2.78,938.4,17.7,691.0,13.532514,78.54396
AP-MDP,2020-12-20,20.1,24.2,17.6,85,100,1.2,1.2,17.7,55,13.33,2.69,938.4,17.2,691.0,13.532514,78.54396
AP-MDP,2020-12-21,18.4,23.6,14.9,82,100,0.0,0.0,14.7,66,17.78,3.22,937.3,14.8,691.0,13.532514,78.54396
