site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
BR-PTN,2020-12-01,19.0,26.1,13.5,69,90,0.0,0.0,9.8,269,14.1,2.87,1009.8,12.7,55.0,25.6239,85.108696
BR-PTN,2020-12-02,19.1,25.9,13.8,70,91,0.0,0.0,10.5,262,13.94,2.97,1007.8,12.9,55.0,25.6239,85.108696
BR-PTN,2020-12-03,18.9,25.4,13.1,72,94,0.0,0.0,10.9,250,13.76,2.79,1007.5,13.2,55.0,25.6239,85.108696
BR-PTN,2020-12-04,19.6,25.6,13.7,73,97,0.0,0.0,8.0,194,13.49,2.53,1006.5,14.0,55.0,25.6239,85.108696
BR-PTN,2020-12-05,20.0,26.0,13.7,72,95,0.0,0.0,9.4,233,13.51,2.63,1007.3,14.3,55.0,25.6239,85.108696
BR-PTN,2020-12-06,19.9,26.4,13.9,75,95,0.0,0.0,8.6,199,13.49,2.65,1008.6,14.8,55.0,25.6239,85.108696
BR-PTN,2020-12-07,19.7,26.4,14.3,79,95,0.0,0.0,10.0,164,13.38,2.61,1009.5,15.6,55.0,25.6239,85.108696
BR-PTN,2020-12-08,20.1,25.4,15.7,82,98,0.0,0.0,9.3,193,12.86,2.48,1009.9,16.7,55.0,25.6239,85.108696
BR-PTN,2020-12-09,19.6,25.8,15.3,81,99,0.0,0.0,10.8,261,12.78,2.57,1008.2,15.9,55.0,25.6239,85.108696
BR-PTN,2020-12-10,19.4,25.2,15.0,79,96,0.0,0.0,12.1,274,13.4,2.62,1007.5,15.4,55.0,25.6239,85.108696
BR-PTN,2020-12-11,19.3,24.2,14.1,80,99,0.0,0.0,8.5,270,12.83,2.41,1008.0,15.6,55.0,25.6239,85.108696
BR-PTN,2020-12-12,20.4,24.6,16.9,80,96,0.0,0.0,14.2,283,10.08,2.19,1007.4,16.7,55.0,25.6239,85.108696
BR-PTN,2020-12-13,20.8,25.3,17.8,78,94,0.0,0.0,15.2,265,12.54,2.72,1006.0,16.7,55.0,25.6239,85.108696
BR-PTN,2020-12-14,19.6,24.8,15.3,66,90,0.0,0.0,12.7,271,13.09,3.08,1007.7,12.6,55.0,25.6239,85.108696
BR-PTN,2020-12-15,19.3,24.4,14.6,66,86,0.0,0.0,12.3,283,12.19,2.72,1010.1,12.4,55.0,25.6239,85.108696
