site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
HP-KNR,2020-12-01,4.2,8.6,1.5,34,42,0.0,0.0,2.4,116,15.48,2.04,776.4,-10.4,2309.0,31.528997,78.26555
HP-KNR,2020-12-02,2.4,6.4,-0.3,30,38,0.0,0.0,2.6,125,15.94,1.99,773.1,-13.8,2309.0,31.528997,78.26555
HP-KNR,2020-12-03,2.2,6.2,-0.6,20,23,0.0,0.0,2.4,120,16.01,1.97,771.5,-18.7,2309.0,31.528997,78.26555
HP-KNR,2020-12-04,1.7,5.1,-1.5,24,35,0.1,0.0,2.4,127,15.62,1.86,771.0,-16.9,2309.0,31.528997,78.26555
HP-KNR,2020-12-05,1.1,4.3,-3.9,47,61,0.4,0.0,3.1,147,14.32,1.74,772.2,-9.2,2309.0,31.528997,78.26555
HP-KNR,2020-12-06,0.7,5.2,-5.5,37,50,0.0,0.0,2.7,124,15.15,1.83,773.4,-12.4,2309.0,31.528997,78.26555
HP-KNR,2020-12-07,4.0,8.2,0.2,26,31,0.0,0.0,2.4,105,14.6,1.91,775.5,-13.8,2309.0,31.528997,78.26555
HP-KNR,2020-12-08,5.1,8.2,1.1,46,66,0.2,0.0,2.4,97,11.25,1.57,777.7,-6.1,2309.0,31.528997,78.26555
HP-KNR,2020-12-09,2.4,5.4,-0.9,57,74,0.8,0.0,3.1,85,8.23,1.13,775.4,-5.4,2309.0,31.528997,78.26555
HP-KNR,2020-12-10,2.3,4.8,-4.0,58,66,0.5,0.0,2.5,73,14.62,1.76,774.5,-5.3,2309.0,31.528997,78.26555
HP-KNR,2020-12-11,-0.3,3.9,-4.6,45,66,0.0,0.0,2.9,86,12.38,1.44,772.5,-11.1,2309.0,31.528997,78.26555
HP-KNR,2020-12-12,0.1,1.9,-2.1,68,76,9.0,0.1,2.5,60,6.72,0.86,771.2,-5.2,2309.0,31.528997,78.26555
HP-KNR,2020-12-13,-2.6,1.0,-5.6,27,49,0.0,0.0,2.5,80,15.68,1.67,768.0,-19.4,2309.0,31.528997,78.26555
HP-KNR,2020-12-14,-4.1,-0.8,-5.8,20,26,0.0,0.0,2.6,79,15.61,1.57,767.6,-23.8,2309.0,31.528997,78.26555
HP-KNR,2020-12-15,-4.6,-0.7,-9.2,35,47,0.0,0.0,2.6,71,14.85,1.45,769.5,-17.8,2309.0,31.528997,78.26555
HP-KNR,2020-12-16,-6.1,-1.9,-9.5,41,56,0.0,0.0,2.7,77,14.81,1.41,769.9,-17.3,2309.0,31.528997,78.26555
HP-KNR,2020-12-17,-4.5,-0.4,-8.6,17,35,0.0,0.0,2.2,108,15.59,1.57,769.2,-26.7,2309.0,31.528997,78.26555
HP-KNR,2020-12-18,-3.6,1.0,-6.0,20,24,0.0,0.0,1.8,96,15.61,1.63,768.5,-23.7,2309.0,31.528997,78.26555
HP-KNR,2020-12-19,-1.7,3.3,-5.4,17,21,0.0,0.0,1.9,104,15.47,1.72,770.0,-23.8,2309.0,31.528997,78.26555
HP-KNR,2020-12-20,1.3,6.1,-1.9,17,20,0.0,0.0,1.9,105,14.89,1.79,773.1,-21.1,2309.0,31.528997,78.26555
HP-KNR,2020-12-21,3.2,7.1,-0.1,26,38,0.0,0.0,2.2,84,10.92,1.5,773.8,-14.7,2309.0,31.528997,78.26555
HP-KNR,2020-12-22,-0.6,3.2,-3.7,36,42,0.0,0.0,2.2,86,15.35,1.74,771.2,-13.9,2309.0,31.528997,78.26555
HP-KNR,2020-12-23,-0.9,2.3,-3.5,28,37,0.0,0.0,2.3,72,14.91,1.69,770.3,-17.5,2309.0,31.528997,78.26555
HP-KNR,2020-12-24,-2.5,1.3,-5.4,31,37,0.0,0.0,2.3,71,15.08,1.6,769.1,-17.4,2309.0,31.528997,78.26555
HP-KNR,2020-12-25,-2.2,2.9,-6.5,22,36,0.0,0.0,1.9,90,15.36,1.69,769.8,-21.2,2309.0,31.528997,78.26555
HP-KNR,2020-12-26,-0.3,4.5,-3.0,21,27,0.0,0.0,1.8,43,15.45,1.79,770.9,-20.2,2309.0,31.528997,78.26555
HP-KNR,2020-12-27,-2.5,1.6,-5.7,24,36,0.0,0.0,3.3,60,15.62,1.68,766.4,-20.3,2309.0,31.528997,78.26555
HP-KNR,2020-12-28,-3.6,-0.9,-7.0,66,78,8.7,0.0,3.3,46,9.1,0.99,767.8,-9.1,2309.0,31.528997,78.26555
HP-KNR,2020-12-29,-5.1,-0.3,-9.6,29,52,0.0,0.0,3.0,75,15.72,1.6,766.5,-20.8,2309.0,31.528997,78.26555
HP-KNR,2020-12-30,-4.7,-0.7,-7.9,16,20,0.0,0.0,2.5,90,15.91,1.58,768.4,-27.0,2309.0,31.528997,78.26555
