site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
HP-KUL,2020-12-01,15.4,21.0,11.8,51,76,0.0,0.0,6.3,299,12.61,2.4,883.0,4.9,1229.0,31.95079,77.09639
HP-KUL,2020-12-02,14.3,20.0,10.0,52,77,0.0,0.0,6.6,297,13.4,2.47,881.2,4.1,1229.0,31.95079,77.09639
HP-KUL,2020-12-03,13.3,19.0,9.4,47,79,0.0,0.0,5.9,297,13.38,2.39,879.6,1.5,1229.0,31.95079,77.09639
HP-KUL,2020-12-04,12.0,18.5,7.8,50,86,3.9,3.9,8.0,322,12.29,2.24,878.7,0.9,1229.0,31.95079,77.09639
HP-KUL,2020-12-05,11.6,18.0,6.8,53,68,1.4,1.4,8.2,330,12.66,2.25,879.5,2.1,1229.0,31.95079,77.09639
HP-KUL,2020-12-06,12.0,19.0,5.2,54,78,0.2,0.2,7.9,296,12.95,2.38,881.6,2.7,1229.0,31.95079,77.09639
HP-KUL,2020-12-07,13.3,18.1,10.2,44,69,0.0,0.0,6.1,299,9.23,1.9,882.6,0.5,1229.0,31.95079,77.09639
HP-KUL,2020-12-08,10.2,14.3,6.6,68,86,4.4,4.4,9.2,351,4.15,1.04,882.4,4.3,1229.0,31.95079,77.09639
HP-KUL,2020-12-09,9.6,14.8,5.5,78,91,2.6,2.6,10.6,356,3.82,0.93,881.5,5.8,1229.0,31.95079,77.09639
HP-KUL,2020-12-10,9.4,16.1,3.6,71,91,1.8,1.8,7.7,349,6.62,1.34,880.7,4.2,1229.0,31.95079,77.09639
HP-KUL,2020-12-11,8.5,15.9,3.4,63,77,0.0,0.0,9.3,347,6.1,1.38,879.4,1.6,1229.0,31.95079,77.09639
HP-KUL,2020-12-12,6.9,10.6,3.9,70,99,22.4,9.5,7.4,348,10.2,1.49,879.1,1.2,1229.0,31.95079,77.09639
HP-KUL,2020-12-13,6.1,13.3,1.3,48,77,0.0,0.0,7.7,325,14.14,2.14,876.3,-4.4,1229.0,31.95079,77.09639
HP-KUL,2020-12-14,7.0,14.5,2.5,35,61,0.0,0.0,8.3,333,14.44,2.48,876.6,-7.8,1229.0,31.95079,77.09639
HP-KUL,2020-12-15,6.2,13.2,1.6,44,63,0.0,0.0,8.1,327,13.62,2.17,878.7,-5.3,1229.0,31.95079,77.09639
HP-KUL,2020-12-16,5.0,11.3,1.4,58,89,0.0,0.0,7.9,310,13.78,1.95,879.7,-2.9,1229.0,31.95079,77.09639
HP-KUL,2020-12-17,5.2,13.2,-0.4,33,62,0.0,0.0,7.6,315,14.25,2.3,878.5,-10.3,1229.0,31.95079,77.09639
HP-KUL,2020-12-18,5.5,13.1,0.5,30,54,0.0,0.0,7.9,313,14.23,2.35,877.4,-12.1,1229.0,31.95079,77.09639
HP-KUL,2020-12-19,7.8,15.9,2.3,28,47,0.0,0.0,7.6,319,13.79,2.48,879.4,-10.5,1229.0,31.95079,77.09639
HP-KUL,2020-12-20,9.6,16.9,1.7,34,55,0.0,0.0,7.6,325,13.15,2.4,881.3,-6.7,1229.0,31.95079,77.09639
HP-KUL,2020-12-21,10.7,16.4,6.8,43,66,0.0,0.0,7.1,322,8.89,1.8,880.3,-1.7,1229.0,31.95079,77.09639
HP-KUL,2020-12-22,10.2,18.2,4.9,38,67,0.0,0.0,8.0,322,13.34,2.5,879.0,-4.0,1229.0,31.95079,77.09639
HP-KUL,2020-12-23,9.9,17.5,4.6,43,68,0.0,0.0,7.7,329,12.96,2.39,878.0,-2.7,1229.0,31.95079,77.09639
HP-KUL,2020-12-24,9.4,16.0,5.7,44,78,0.0,0.0,7.6,302,12.71,2.29,877.7,-2.9,1229.0,31.95079,77.09639
HP-KUL,2020-12-25,9.9,17.7,3.9,33,57,0.0,0.0,8.7,312,12.88,2.53,878.9,-6.5,1229.0,31.95079,77.09639
HP-KUL,2020-12-26,9.8,18.2,1.7,26,54,0.0,0.0,9.3,335,13.47,2.76,878.3,-10.1,1229.0,31.95079,77.09639
HP-KUL,2020-12-27,7.4,15.5,1.6,43,69,0.7,0.0,9.1,317,13.31,2.42,874.5,-5.3,1229.0,31.95079,77.09639
HP-KUL,2020-12-28,4.0,7.8,1.0,71,93,14.7,0.0,7.4,313,10.29,1.38,876.3,-1.1,1229.0,31.95079,77.09639
HP-KUL,2020-12-29,3.6,9.0,0.3,53,77,0.0,0.0,8.9,317,14.04,1.94,876.2,-5.4,1229.0,31.95079,77.09639
HP-KUL,2020-12-30,4.2,11.4,-0.4,38,55,0.0,0.0,8.0,317,14.83,2.23,877.2,-9.4,1229.0,31.95079,77.09639
HP-KUL,2020-12-31,6.7,16.0,0.4,19,41,0.0,0.0,9.3,341,14.71,2.66,878.2,-16.1,1229.0,31.95079,77.09639
HP-KUL,2021-01-01,9.5,16.1,6.0,23,55,0.0,0.0,8.4,328,12.76,2.56,878.6,-12.0,1229.0,31.95079,77.09639
HP-KUL,2021-01-02,6.7,12.0,0.9,47,70,5.0,3.6,9.5,340,5.7,1.33,878.8,-4.9,1229.0,31.95079,77.09639
HP-KUL,2021-01-03,9.0,13.6,5.8,62,82,8.3,7.4,10.1,352,8.44,1.49,878.5,1.8,1229.0,31.95079,77.09639
HP-KUL,2021-01-04,10.9,14.7,8.0,43,58,4.2,4.2,7.6,342,11.05,2.11,880.4,-1.4,1229.0,31.95079,77.09639
HP-KUL,2021-01-05,7.5,10.8,5.3,81,95,29.5,25.7,8.7,356,2.78,0.62,880.7,4.3,1229.0,31.95079,77.09639
HP-KUL,2021-01-06,8.0,11.5,4.8,70,87,15.8,15.2,7.5,1,9.71,1.48,879.3,2.8,1229.0,31.95079,77.09639
HP-KUL,2021-01-07,8.1,14.4,3.1,42,66,0.0,0.0,7.1,339,13.0,2.22,876.8,-4.9,1229.0,31.95079,77.09639
HP-KUL,2021-01-08,8.5,15.8,1.6,37,59,0.0,0.0,7.8,337,14.34,2.6,876.3,-6.1,1229.0,31.95079,77.09639
HP-KUL,2021-01-09,7.4,16.0,0.6,44,71,0.0,0.0,9.0,341,14.25,2.52,877.7,-4.3,1229.0,31.95079,77.09639
HP-KUL,2021-01-10,9.9,17.2,5.7,34,81,0.0,0.0,9.6,336,14.66,2.89,877.5,-6.7,1229.0,31.95079,77.09639
HP-KUL,2021-01-11,10.3,17.3,5.9,29,84,0.0,0.0,9.5,340,14.85,3.08,877.1,-11.8,1229.0,31.95079,77.09639
HP-KUL,2021-01-12,9.9,17.4,6.4,30,78,0.0,0.0,8.0,320,14.87,2.85,876.9,-10.9,1229.0,31.95079,77.09639
HP-KUL,2021-01-13,9.7,16.7,2.7,22,61,0.0,0.0,7.0,319,14.79,2.72,876.2,-13.7,1229.0,31.95079,77.09639
HP-KUL,2021-01-14,11.9,18.1,6.9,31,75,0.0,0.0,6.7,314,13.1,2.48,877.3,-7.1,1229.0,31.95079,77.09639
HP-KUL,2021-01-15,13.4,19.0,8.5,42,85,0.0,0.0,5.4,299,12.68,2.34,877.0,-1.5,1229.0,31.95079,77.09639
HP-KUL,2021-01-16,12.5,19.3,7.9,31,66,0.0,0.0,7.1,326,14.73,2.82,876.0,-5.1,1229.0,31.95079,77.09639
HP-KUL,2021-01-17,12.5,18.5,8.3,38,81,0.0,0.0,6.8,309,14.41,2.71,877.4,-3.3,1229.0,31.95079,77.09639
HP-KUL,2021-01-18,10.2,16.1,4.3,49,61,0.0,0.0,9.2,280,14.3,2.42,879.6,-0.3,1229.0,31.95079,77.09639
HP-KUL,2021-01-19,8.8,15.6,2.4,47,72,0.0,0.0,7.9,282,14.68,2.43,877.2,-2.1,1229.0,31.95079,77.09639
HP-KUL,2021-01-20,9.4,14.9,4.0,45,72,0.0,0.0,8.9,256,14.82,2.39,876.8,-2.7,1229.0,31.95079,77.09639
HP-KUL,2021-01-21,11.8,18.5,6.5,36,54,0.0,0.0,6.4,289,15.38,2.68,876.1,-3.2,1229.0,31.95079,77.09639
HP-KUL,2021-01-22,11.0,17.0,5.9,41,78,0.0,0.0,6.5,299,10.8,2.07,877.0,-3.0,1229.0,31.95079,77.09639
HP-KUL,2021-01-23,7.3,13.6,2.7,69,97,10.8,5.5,7.1,319,9.19,1.57,875.4,1.5,1229.0,31.95079,77.09639
HP-KUL,2021-01-24,6.1,10.1,2.8,73,91,6.1,1.3,5.6,334,14.51,1.96,877.3,1.4,1229.0,31.95079,77.09639
HP-KUL,2021-01-25,5.3,11.2,0.2,59,85,0.0,0.0,7.4,311,16.27,2.24,877.4,-2.4,1229.0,31.95079,77.09639
HP-KUL,2021-01-26,5.7,12.8,0.8,50,82,0.0,0.0,7.9,312,16.62,2.39,877.1,-4.8,1229.0,31.95079,77.09639
HP-KUL,2021-01-27,6.6,13.8,1.6,45,87,0.1,0.1,7.6,315,16.73,2.62,877.1,-5.5,1229.0,31.95079,77.09639
HP-KUL,2021-01-28,6.4,12.9,2.7,58,94,0.0,0.0,8.0,322,15.8,2.36,878.1,-2.0,1229.0,31.95079,77.09639
HP-KUL,2021-01-29,6.8,13.1,2.3,51,95,0.1,0.1,8.2,297,16.2,2.49,878.7,-3.8,1229.0,31.95079,77.09639
HP-KUL,2021-01-30,7.0,13.2,1.9,51,73,0.0,0.0,6.7,279,16.84,2.51,877.1,-3.0,1229.0,31.95079,77.09639
HP-KUL,2021-01-31,8.4,15.2,2.9,41,79,0.0,0.0,6.6,299,16.55,2.69,878.3,-5.5,1229.0,31.95079,77.09639
HP-KUL,2021-02-01,10.2,16.4,3.5,46,64,0.1,0.0,7.4,300,15.47,2.71,881.7,-1.2,1229.0,31.95079,77.09639
HP-KUL,2021-02-02,9.6,16.6,4.4,42,75,0.0,0.0,8.5,322,16.61,2.96,880.8,-3.6,1229.0,31.95079,77.09639
HP-KUL,2021-02-03,6.6,10.2,3.9,68,91,8.9,2.4,8.0,357,6.26,1.24,881.0,0.7,1229.0,31.95079,77.09639
HP-KUL,2021-02-04,4.8,6.0,2.5,78,94,19.7,0.0,9.2,350,3.79,0.73,880.3,1.2,1229.0,31.95079,77.09639
HP-KUL,2021-02-05,5.1,9.1,2.2,57,73,0.1,0.0,5.4,335,15.51,2.15,879.3,-2.8,1229.0,31.95079,77.09639
HP-KUL,2021-02-06,3.8,9.3,-1.1,43,55,0.0,0.0,5.9,357,18.87,2.55,878.4,-7.7,1229.0,31.95079,77.09639
HP-KUL,2021-02-07,9.4,16.1,3.3,28,45,0.0,0.0,6.8,347,19.0,3.12,878.7,-8.6,1229.0,31.95079,77.09639
HP-KUL,2021-02-08,11.0,16.7,7.3,25,48,0.0,0.0,6.0,336,18.91,3.19,880.6,-9.0,1229.0,31.95079,77.09639
HP-KUL,2021-02-09,11.1,17.9,7.1,34,68,0.0,0.0,7.4,331,18.35,3.26,878.3,-5.4,1229.0,31.95079,77.09639
HP-KUL,2021-02-10,10.1,16.0,5.3,40,54,0.0,0.0,7.2,347,18.47,3.16,877.5,-3.0,1229.0,31.95079,77.09639
HP-KUL,2021-02-11,11.6,18.0,6.8,40,71,0.0,0.0,7.3,321,18.64,3.31,878.4,-2.1,1229.0,31.95079,77.09639
HP-KUL,2021-02-12,12.0,19.2,7.1,38,87,0.0,0.0,7.4,322,18.59,3.44,879.2,-3.7,1229.0,31.95079,77.09639
HP-KUL,2021-02-13,12.1,17.9,8.3,47,82,0.0,0.0,6.7,309,11.82,2.32,879.1,-0.4,1229.0,31.95079,77.09639
