site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
HP-MNL,2020-12-01,12.0,15.4,9.3,36,78,12.3,11.4,4.3,353,14.54,2.26,820.5,-4.1,1864.0,32.161686,77.1584
HP-MNL,2020-12-02,10.5,14.0,8.6,28,53,3.2,2.7,4.1,1,15.22,2.28,817.9,-7.9,1864.0,32.161686,77.1584
HP-MNL,2020-12-03,10.4,13.5,8.2,26,53,3.1,0.8,4.0,349,15.28,2.22,816.5,-10.4,1864.0,32.161686,77.1584
HP-MNL,2020-12-04,9.3,12.7,6.8,44,80,7.8,1.8,3.3,357,13.14,1.94,815.6,-3.5,1864.0,32.161686,77.1584
HP-MNL,2020-12-05,8.7,9.9,6.5,67,78,22.6,2.1,2.7,294,11.93,1.67,816.9,2.9,1864.0,32.161686,77.1584
HP-MNL,2020-12-06,9.1,11.3,6.4,56,77,15.5,3.7,3.8,337,12.72,1.82,818.9,0.4,1864.0,32.161686,77.1584
HP-MNL,2020-12-07,11.5,13.8,7.8,31,49,0.7,0.2,3.4,336,10.44,1.67,819.8,-5.9,1864.0,32.161686,77.1584
HP-MNL,2020-12-08,10.7,12.8,9.2,63,82,10.6,9.7,3.4,254,4.23,0.81,821.0,3.7,1864.0,32.161686,77.1584
HP-MNL,2020-12-09,8.9,10.3,7.2,79,94,18.9,10.0,3.1,256,6.27,1.01,819.3,5.4,1864.0,32.161686,77.1584
HP-MNL,2020-12-10,8.7,9.9,7.8,71,91,14.1,4.4,4.0,259,7.35,1.12,818.7,3.5,1864.0,32.161686,77.1584
HP-MNL,2020-12-11,7.8,9.0,6.7,64,75,12.7,0.0,6.3,301,8.97,1.28,817.8,1.3,1864.0,32.161686,77.1584
HP-MNL,2020-12-12,5.9,7.9,4.2,79,99,35.0,0.0,4.6,230,8.22,1.08,815.3,2.4,1864.0,32.161686,77.1584
HP-MNL,2020-12-13,6.1,9.5,3.5,39,63,3.1,0.0,5.1,311,14.88,2.01,813.5,-7.7,1864.0,32.161686,77.1584
HP-MNL,2020-12-14,5.0,8.6,3.0,20,30,0.0,0.0,4.3,335,15.06,2.02,813.1,-16.8,1864.0,32.161686,77.1584
HP-MNL,2020-12-15,4.6,7.3,2.0,33,72,2.4,0.0,4.7,319,13.24,1.76,814.8,-11.0,1864.0,32.161686,77.1584
HP-MNL,2020-12-16,4.4,7.0,1.5,48,71,16.6,0.0,5.1,291,13.64,1.7,815.7,-6.5,1864.0,32.161686,77.1584
HP-MNL,2020-12-17,3.3,7.1,0.8,17,73,1.0,0.0,4.1,332,15.2,1.94,813.8,-21.3,1864.0,32.161686,77.1584
HP-MNL,2020-12-18,3.2,6.6,1.3,8,16,0.0,0.0,4.3,338,15.24,1.96,812.4,-28.4,1864.0,32.161686,77.1584
HP-MNL,2020-12-19,5.1,9.0,3.2,9,16,0.0,0.0,4.6,341,14.97,2.12,814.5,-25.9,1864.0,32.161686,77.1584
HP-MNL,2020-12-20,7.6,11.0,5.2,11,14,0.0,0.0,4.5,337,14.4,2.09,817.3,-20.8,1864.0,32.161686,77.1584
HP-MNL,2020-12-21,9.7,12.7,6.5,17,23,0.2,0.0,4.0,330,11.87,1.8,817.5,-14.4,1864.0,32.161686,77.1584
HP-MNL,2020-12-22,6.8,10.3,4.7,16,20,0.0,0.0,4.3,341,14.86,2.14,815.3,-17.6,1864.0,32.161686,77.1584
HP-MNL,2020-12-23,6.0,8.7,3.8,24,31,0.0,0.0,4.7,338,14.58,2.04,814.3,-13.7,1864.0,32.161686,77.1584
HP-MNL,2020-12-24,5.0,7.7,3.3,21,26,0.0,0.0,4.7,351,14.49,2.03,813.1,-15.7,1864.0,32.161686,77.1584
HP-MNL,2020-12-25,5.7,9.7,3.5,12,22,0.0,0.0,4.5,338,14.37,2.15,814.5,-22.4,1864.0,32.161686,77.1584
HP-MNL,2020-12-26,6.3,10.4,3.6,9,15,0.0,0.0,5.8,326,14.94,2.24,814.6,-24.4,1864.0,32.161686,77.1584
