site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
HP-SML,2020-12-01,7.7,15.1,3.2,62,93,0.0,0.0,10.2,20,13.34,2.08,784.9,0.2,2195.0,31.107204,77.17339
HP-SML,2020-12-02,8.2,13.9,2.1,56,72,0.0,0.0,11.8,14,13.49,2.22,784.0,-0.5,2195.0,31.107204,77.17339
HP-SML,2020-12-03,7.8,13.0,1.8,54,86,0.0,0.0,9.6,343,13.52,2.03,783.0,-1.7,2195.0,31.107204,77.17339
HP-SML,2020-12-04,6.0,13.2,0.7,62,83,0.0,0.0,10.0,15,13.22,1.96,780.9,-1.5,2195.0,31.107204,77.17339
HP-SML,2020-12-05,6.5,13.0,0.3,54,70,0.1,0.1,7.2,94,12.98,1.93,782.1,-2.5,2195.0,31.107204,77.17339
HP-SML,2020-12-06,6.8,12.8,2.1,63,84,0.6,0.6,9.0,141,12.73,1.88,784.4,-0.2,2195.0,31.107204,77.17339
HP-SML,2020-12-07,6.3,12.7,0.9,60,82,0.0,0.0,12.6,6,13.02,2.02,784.3,-1.5,2195.0,31.107204,77.17339
HP-SML,2020-12-08,8.1,14.3,3.8,52,74,0.0,0.0,9.9,3,12.12,1.91,785.5,-1.7,2195.0,31.107204,77.17339
HP-SML,2020-12-09,7.1,13.6,2.0,62,84,0.0,0.0,8.9,26,11.1,1.75,783.7,-0.2,2195.0,31.107204,77.17339
HP-SML,2020-12-10,6.5,12.5,2.0,64,82,0.2,0.2,7.2,100,12.02,1.79,783.3,-0.3,2195.0,31.107204,77.17339
HP-SML,2020-12-11,6.1,12.3,1.0,59,77,0.1,0.1,7.2,136,9.37,1.57,782.7,-2.1,2195.0,31.107204,77.17339
HP-SML,2020-12-12,4.2,8.3,0.0,74,87,11.8,11.8,11.9,107,9.21,1.31,781.7,-0.3,2195.0,31.107204,77.17339
HP-SML,2020-12-13,3.0,9.5,-1.5,77,99,0.0,0.0,8.4,144,12.58,1.63,779.5,-1.1,2195.0,31.107204,77.17339
HP-SML,2020-12-14,2.7,10.1,-2.6,67,96,0.0,0.0,8.1,143,13.13,1.73,779.2,-3.6,2195.0,31.107204,77.17339
HP-SML,2020-12-15,2.0,9.2,-3.0,65,95,0.0,0.0,8.5,137,13.11,1.67,780.8,-4.7,2195.0,31.107204,77.17339
HP-SML,2020-12-16,0.7,7.9,-3.8,66,91,0.0,0.0,9.7,159,13.18,1.61,781.2,-5.5,2195.0,31.107204,77.17339
HP-SML,2020-12-17,1.2,9.8,-4.5,60,87,0.0,0.0,8.7,94,13.46,1.76,780.2,-6.8,2195.0,31.107204,77.17339
HP-SML,2020-12-18,1.4,9.6,-3.8,38,63,0.0,0.0,8.4,66,13.56,1.88,779.0,-12.2,2195.0,31.107204,77.17339
HP-SML,2020-12-19,3.3,10.7,-4.0,35,54,0.0,0.0,9.4,37,13.43,2.01,781.4,-11.2,2195.0,31.107204,77.17339
HP-SML,2020-12-20,6.2,11.9,-1.4,32,58,0.0,0.0,9.8,32,13.02,2.2,784.3,-9.9,2195.0,31.107204,77.17339
HP-SML,2020-12-21,6.8,11.7,1.1,40,67,0.0,0.0,7.7,35,9.1,1.7,783.5,-6.9,2195.0,31.107204,77.17339
HP-SML,2020-12-22,4.3,12.6,-1.3,55,80,0.0,0.0,8.0,79,13.17,1.91,780.9,-4.8,2195.0,31.107204,77.17339
HP-SML,2020-12-23,3.7,11.6,-2.1,55,75,0.0,0.0,8.0,129,13.01,1.79,779.9,-5.0,2195.0,31.107204,77.17339
