site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
HP-SOL,2020-12-01,12.0,18.8,6.4,67,89,0.0,0.0,8.0,359,13.05,2.21,857.0,5.6,1460.0,30.896309,77.11243
HP-SOL,2020-12-02,12.8,19.6,8.0,60,84,0.0,0.0,12.1,352,13.18,2.52,855.7,4.8,1460.0,30.896309,77.11243
HP-SOL,2020-12-03,11.0,17.3,5.7,63,84,0.0,0.0,9.0,351,13.17,2.24,854.3,4.0,1460.0,30.896309,77.11243
HP-SOL,2020-12-04,10.6,17.3,5.1,69,91,0.0,0.0,7.4,5,12.87,2.1,853.3,4.7,1460.0,30.896309,77.11243
HP-SOL,2020-12-05,10.8,17.9,4.6,59,75,0.0,0.0,5.7,75,12.77,2.06,854.4,2.7,1460.0,30.896309,77.11243
HP-SOL,2020-12-06,11.6,17.7,6.6,64,82,0.0,0.0,7.6,41,12.68,2.14,856.9,4.6,1460.0,30.896309,77.11243
HP-SOL,2020-12-07,11.2,18.2,5.4,63,84,0.0,0.0,13.1,356,12.82,2.37,856.8,3.7,1460.0,30.896309,77.11243
HP-SOL,2020-12-08,12.3,19.0,8.0,58,75,0.0,0.0,8.7,354,11.63,2.15,857.5,3.8,1460.0,30.896309,77.11243
HP-SOL,2020-12-09,12.0,18.8,6.6,64,85,0.0,0.0,8.9,3,11.03,1.99,856.1,4.8,1460.0,30.896309,77.11243
HP-SOL,2020-12-10,11.0,17.9,4.9,68,86,0.2,0.2,7.8,7,12.2,2.03,855.6,4.8,1460.0,30.896309,77.11243
HP-SOL,2020-12-11,10.2,17.1,4.4,63,80,0.0,0.0,7.6,90,8.82,1.61,855.1,3.1,1460.0,30.896309,77.11243
HP-SOL,2020-12-12,8.9,12.9,5.1,80,93,14.2,14.2,8.7,91,9.92,1.49,854.9,5.5,1460.0,30.896309,77.11243
HP-SOL,2020-12-13,6.7,13.0,1.1,83,99,0.0,0.0,8.6,48,12.55,1.73,852.6,3.8,1460.0,30.896309,77.11243
HP-SOL,2020-12-14,6.4,13.4,0.9,76,95,0.0,0.0,9.7,99,12.93,1.83,852.5,2.1,1460.0,30.896309,77.11243
HP-SOL,2020-12-15,6.1,12.8,0.9,71,93,0.0,0.0,9.2,82,12.96,1.82,854.4,0.8,1460.0,30.896309,77.11243
HP-SOL,2020-12-16,4.7,11.6,0.0,70,90,0.0,0.0,8.4,22,13.04,1.78,855.2,-1.0,1460.0,30.896309,77.11243
HP-SOL,2020-12-17,4.9,13.9,-1.9,67,85,0.0,0.0,8.0,41,13.21,1.91,853.6,-1.7,1460.0,30.896309,77.11243
HP-SOL,2020-12-18,5.5,14.7,-0.7,52,71,0.0,0.0,10.2,7,13.27,2.08,852.5,-4.4,1460.0,30.896309,77.11243
