site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
JK-ANT,2020-12-01,2.4,9.1,-4.9,70,86,0.0,0.0,6.3,282,12.4,1.47,844.5,-2.9,1601.0,33.70826,75.13044
JK-ANT,2020-12-02,4.8,11.0,0.5,64,85,0.0,0.0,10.2,289,12.67,1.66,844.6,-1.7,1601.0,33.70826,75.13044
JK-ANT,2020-12-03,4.0,10.1,-2.3,69,87,0.0,0.0,5.9,292,12.08,1.53,842.6,-1.4,1601.0,33.70826,75.13044
JK-ANT,2020-12-04,2.2,6.6,-1.7,77,92,6.6,3.2,7.3,275,7.96,1.03,841.5,-1.6,1601.0,33.70826,75.13044
JK-ANT,2020-12-05,0.8,4.7,-2.3,87,99,21.7,5.8,9.4,269,7.66,0.85,842.0,-1.2,1601.0,33.70826,75.13044
JK-ANT,2020-12-06,1.7,5.6,-2.6,84,96,13.5,5.0,8.4,261,10.93,1.16,844.5,-0.9,1601.0,33.70826,75.13044
JK-ANT,2020-12-07,0.9,3.3,-1.7,86,100,1.1,1.1,8.7,257,7.01,0.78,845.4,-1.3,1601.0,33.70826,75.13044
JK-ANT,2020-12-08,-1.7,0.2,-3.7,100,100,11.3,10.5,12.4,287,5.39,0.46,844.7,-1.7,1601.0,33.70826,75.13044
JK-ANT,2020-12-09,-0.6,1.9,-2.4,98,100,19.9,18.4,7.3,275,9.13,0.89,843.5,-0.8,1601.0,33.70826,75.13044
JK-ANT,2020-12-10,-0.4,3.5,-2.6,92,99,13.6,6.8,7.1,288,10.52,1.05,842.9,-1.5,1601.0,33.70826,75.13044
JK-ANT,2020-12-11,-1.0,0.8,-4.2,95,99,7.0,4.2,8.2,294,7.86,0.75,841.9,-1.8,1601.0,33.70826,75.13044
JK-ANT,2020-12-12,-0.9,7.5,-3.7,92,100,24.3,2.5,14.0,299,11.29,1.16,838.2,-2.2,1601.0,33.70826,75.13044
JK-ANT,2020-12-13,-2.8,-1.4,-4.6,97,99,0.0,0.0,8.8,274,10.15,0.78,840.1,-3.3,1601.0,33.70826,75.13044
JK-ANT,2020-12-14,-5.1,-2.4,-8.2,87,98,0.0,0.0,7.5,284,11.76,0.85,839.3,-6.9,1601.0,33.70826,75.13044
JK-ANT,2020-12-15,-5.6,-2.3,-10.5,80,97,0.0,0.0,8.6,288,12.44,0.9,840.1,-8.6,1601.0,33.70826,75.13044
JK-ANT,2020-12-16,-3.8,0.3,-6.7,68,81,0.0,0.0,9.5,241,10.98,0.9,843.1,-9.0,1601.0,33.70826,75.13044
JK-ANT,2020-12-17,-5.2,-1.4,-8.0,65,78,0.0,0.0,9.1,269,12.87,0.99,844.5,-10.7,1601.0,33.70826,75.13044
JK-ANT,2020-12-18,-6.0,-1.1,-11.8,70,87,0.0,0.0,9.4,288,13.01,0.99,843.7,-10.8,1601.0,33.70826,75.13044
JK-ANT,2020-12-19,-8.8,-2.1,-14.6,78,88,0.0,0.0,8.1,286,12.92,0.95,843.9,-12.0,1601.0,33.70826,75.13044
JK-ANT,2020-12-20,-7.9,-1.0,-13.1,72,90,0.0,0.0,8.7,285,12.4,0.96,844.3,-12.1,1601.0,33.70826,75.13044
JK-ANT,2020-12-21,-5.0,-0.5,-10.8,69,80,0.0,0.0,6.6,282,11.24,0.99,843.1,-9.8,1601.0,33.70826,75.13044
JK-ANT,2020-12-22,-2.5,2.2,-6.4,81,91,0.0,0.0,8.4,287,12.58,1.16,842.7,-5.4,1601.0,33.70826,75.13044
JK-ANT,2020-12-23,-2.3,0.6,-8.6,73,87,0.0,0.0,9.0,272,12.64,1.1,841.2,-6.5,1601.0,33.70826,75.13044
JK-ANT,2020-12-24,-1.9,1.3,-8.5,69,81,0.0,0.0,6.9,271,11.16,1.02,841.1,-7.0,1601.0,33.70826,75.13044
JK-ANT,2020-12-25,-2.5,0.9,-7.2,70,85,0.0,0.0,10.0,277,11.09,1.01,842.6,-7.4,1601.0,33.70826,75.13044
JK-ANT,2020-12-26,-3.2,-0.2,-6.8,58,76,0.0,0.0,9.7,279,12.23,1.12,839.7,-10.6,1601.0,33.70826,75.13044
JK-ANT,2020-12-27,-2.1,1.9,-7.1,61,74,0.1,0.0,10.6,292,11.71,1.2,834.7,-8.8,1601.0,33.70826,75.13044
JK-ANT,2020-12-28,-0.1,2.0,-1.6,86,93,5.5,0.0,8.2,249,9.36,0.91,837.9,-2.2,1601.0,33.70826,75.13044
JK-ANT,2020-12-29,-2.3,0.3,-4.7,88,97,4.8,0.0,8.0,303,10.99,1.0,841.5,-4.1,1601.0,33.70826,75.13044
JK-ANT,2020-12-30,-3.7,-0.4,-8.2,79,90,0.0,0.0,5.8,308,12.81,1.04,845.4,-6.9,1601.0,33.70826,75.13044
JK-ANT,2020-12-31,-6.8,-2.1,-12.6,80,99,0.0,0.0,7.6,298,12.83,0.99,845.9,-9.8,1601.0,33.70826,75.13044
JK-ANT,2021-01-01,-7.3,-1.0,-12.4,69,77,0.0,0.0,6.6,295,12.83,1.12,842.6,-12.0,1601.0,33.70826,75.13044
JK-ANT,2021-01-02,-5.4,0.0,-10.6,64,77,0.0,0.0,6.4,307,12.99,1.14,842.9,-11.3,1601.0,33.70826,75.13044
JK-ANT,2021-01-03,-3.2,-0.3,-5.8,87,99,12.8,0.0,7.0,344,7.47,0.72,843.5,-5.1,1601.0,33.70826,75.13044
JK-ANT,2021-01-04,-3.4,-1.6,-5.3,96,98,8.8,0.0,7.3,316,9.76,0.78,845.4,-4.0,1601.0,33.70826,75.13044
JK-ANT,2021-01-05,-3.5,-2.1,-4.8,97,100,20.4,2.1,8.8,302,7.09,0.57,841.7,-3.9,1601.0,33.70826,75.13044
JK-ANT,2021-01-06,-1.1,0.7,-2.5,97,100,9.1,4.6,11.3,293,10.29,0.84,840.0,-1.5,1601.0,33.70826,75.13044
JK-ANT,2021-01-07,-1.5,0.8,-3.0,89,96,0.0,0.0,9.6,298,12.38,1.07,839.1,-3.0,1601.0,33.70826,75.13044
JK-ANT,2021-01-08,-0.1,7.6,-4.7,76,98,0.0,0.0,12.5,311,12.32,1.41,835.7,-4.3,1601.0,33.70826,75.13044
JK-ANT,2021-01-09,-1.6,0.7,-5.0,89,100,16.2,7.3,9.8,304,8.02,0.76,839.6,-3.2,1601.0,33.70826,75.13044
JK-ANT,2021-01-10,-2.0,0.4,-4.4,90,99,0.0,0.0,8.0,292,12.21,1.0,840.2,-3.4,1601.0,33.70826,75.13044
JK-ANT,2021-01-11,-3.6,0.4,-9.0,78,95,0.0,0.0,6.9,298,13.81,1.2,839.9,-7.1,1601.0,33.70826,75.13044
JK-ANT,2021-01-12,-4.5,0.6,-9.8,65,80,0.0,0.0,7.3,289,14.12,1.28,840.4,-10.2,1601.0,33.70826,75.13044
JK-ANT,2021-01-13,-4.0,0.7,-9.6,55,77,0.0,0.0,8.2,289,14.41,1.38,840.2,-11.9,1601.0,33.70826,75.13044
JK-ANT,2021-01-14,-4.5,0.0,-10.6,63,84,0.0,0.0,8.1,293,13.12,1.26,839.4,-10.9,1601.0,33.70826,75.13044
JK-ANT,2021-01-15,-3.2,1.1,-7.9,58,75,0.0,0.0,7.7,298,12.91,1.32,837.8,-10.4,1601.0,33.70826,75.13044
JK-ANT,2021-01-16,-1.4,3.1,-5.9,53,72,0.0,0.0,8.5,295,14.41,1.52,839.0,-10.0,1601.0,33.70826,75.13044
JK-ANT,2021-01-17,-2.0,0.8,-8.2,52,76,0.0,0.0,7.3,294,13.53,1.37,838.9,-10.8,1601.0,33.70826,75.13044
JK-ANT,2021-01-18,-0.5,2.5,-4.1,45,73,0.0,0.0,7.2,283,14.32,1.52,841.1,-11.3,1601.0,33.70826,75.13044
