site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
JK-BRM,2020-12-01,5.1,9.5,1.7,55,72,0.0,0.0,4.7,204,12.28,1.6,847.7,-3.3,1580.0,34.20035,74.43609
JK-BRM,2020-12-02,4.5,10.0,0.6,57,71,0.0,0.0,6.9,214,12.35,1.67,846.3,-3.4,1580.0,34.20035,74.43609
JK-BRM,2020-12-03,4.2,9.3,0.2,50,73,0.0,0.0,6.9,210,12.3,1.66,844.4,-5.6,1580.0,34.20035,74.43609
JK-BRM,2020-12-04,3.0,5.3,0.4,64,85,4.7,1.8,6.4,227,6.38,0.88,843.0,-3.4,1580.0,34.20035,74.43609
JK-BRM,2020-12-05,3.7,7.9,-0.1,78,92,3.3,0.9,6.5,242,8.41,1.1,843.6,0.1,1580.0,34.20035,74.43609
JK-BRM,2020-12-06,4.3,8.4,0.2,73,89,0.0,0.0,6.2,226,9.68,1.27,846.2,-0.2,1580.0,34.20035,74.43609
JK-BRM,2020-12-07,4.4,8.0,2.3,71,98,12.9,12.2,8.7,260,4.08,0.71,848.1,-0.7,1580.0,34.20035,74.43609
JK-BRM,2020-12-08,2.7,3.4,2.0,97,99,34.6,31.6,7.0,290,1.83,0.3,847.3,2.2,1580.0,34.20035,74.43609
JK-BRM,2020-12-09,3.8,6.4,1.6,88,96,3.2,3.2,6.3,157,7.11,0.88,845.5,2.0,1580.0,34.20035,74.43609
JK-BRM,2020-12-10,3.8,7.8,0.9,75,86,0.0,0.0,4.7,173,10.9,1.3,845.4,-0.2,1580.0,34.20035,74.43609
JK-BRM,2020-12-11,4.3,7.5,1.2,72,97,3.7,3.4,4.0,249,6.79,0.91,844.5,-0.6,1580.0,34.20035,74.43609
JK-BRM,2020-12-12,1.8,4.0,-0.9,87,97,15.1,1.9,9.4,304,7.25,0.73,841.1,-0.3,1580.0,34.20035,74.43609
JK-BRM,2020-12-13,1.1,2.4,-0.3,71,87,0.0,0.0,4.1,207,10.41,1.08,841.6,-3.7,1580.0,34.20035,74.43609
JK-BRM,2020-12-14,0.3,1.3,-1.3,67,86,0.0,0.0,3.3,206,10.84,1.07,841.1,-5.3,1580.0,34.20035,74.43609
JK-BRM,2020-12-15,-0.2,1.1,-2.5,55,86,0.0,0.0,5.2,222,12.23,1.16,842.1,-8.9,1580.0,34.20035,74.43609
JK-BRM,2020-12-16,-1.8,0.5,-4.9,58,85,0.0,0.0,5.1,224,12.12,1.18,844.2,-9.3,1580.0,34.20035,74.43609
JK-BRM,2020-12-17,-4.0,-0.3,-7.0,49,72,0.0,0.0,5.5,212,12.48,1.24,845.4,-13.7,1580.0,34.20035,74.43609
JK-BRM,2020-12-18,-4.0,-0.5,-8.2,37,69,0.0,0.0,7.0,201,12.59,1.29,845.8,-17.5,1580.0,34.20035,74.43609
JK-BRM,2020-12-19,-3.7,-0.9,-6.9,37,66,0.0,0.0,5.9,202,12.42,1.21,848.2,-17.1,1580.0,34.20035,74.43609
JK-BRM,2020-12-20,-1.7,1.2,-5.9,43,68,0.0,0.0,4.6,221,11.37,1.15,848.4,-13.2,1580.0,34.20035,74.43609
JK-BRM,2020-12-21,0.6,4.2,-5.0,57,78,2.1,0.0,7.0,219,9.8,1.09,845.9,-7.2,1580.0,34.20035,74.43609
JK-BRM,2020-12-22,0.6,2.6,-2.2,67,85,0.0,0.0,5.4,203,11.7,1.23,845.3,-5.0,1580.0,34.20035,74.43609
JK-BRM,2020-12-23,0.4,2.8,-2.9,57,84,0.0,0.0,4.1,219,11.79,1.23,843.3,-7.5,1580.0,34.20035,74.43609
