site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
JK-SGR,2020-12-01,1.9,4.3,-1.2,68,81,0.0,0.0,6.5,130,12.96,1.36,846.0,-3.4,1589.0,34.059753,74.8125
JK-SGR,2020-12-02,2.6,6.3,-1.2,62,72,0.0,0.0,5.4,97,13.09,1.41,845.6,-3.9,1589.0,34.059753,74.8125
JK-SGR,2020-12-03,2.3,5.7,-0.4,61,78,0.0,0.0,5.4,34,12.89,1.37,843.7,-4.5,1589.0,34.059753,74.8125
JK-SGR,2020-12-04,1.2,2.6,-0.9,67,87,5.3,1.1,6.4,320,7.8,0.87,842.6,-4.7,1589.0,34.059753,74.8125
JK-SGR,2020-12-05,0.8,2.8,-1.8,87,93,6.2,1.9,6.6,309,9.76,0.96,842.7,-1.2,1589.0,34.059753,74.8125
JK-SGR,2020-12-06,1.8,5.9,-2.1,83,93,0.0,0.0,8.1,205,12.24,1.23,845.1,-0.9,1589.0,34.059753,74.8125
JK-SGR,2020-12-07,1.5,4.5,-1.9,84,100,6.1,5.9,8.4,317,6.26,0.78,846.4,-1.1,1589.0,34.059753,74.8125
JK-SGR,2020-12-08,-0.0,1.4,-1.1,100,100,22.3,18.5,10.6,302,2.37,0.29,846.1,-0.1,1589.0,34.059753,74.8125
JK-SGR,2020-12-09,0.4,2.3,-1.0,98,100,7.0,4.6,5.8,301,8.29,0.82,844.5,0.2,1589.0,34.059753,74.8125
JK-SGR,2020-12-10,1.1,4.7,-1.6,90,100,4.2,1.2,6.8,65,10.83,1.14,844.2,-0.4,1589.0,34.059753,74.8125
JK-SGR,2020-12-11,1.2,3.7,-2.1,80,100,9.1,2.4,8.2,12,7.79,0.86,842.9,-1.9,1589.0,34.059753,74.8125
JK-SGR,2020-12-12,-1.1,-0.5,-2.0,98,100,19.1,0.4,16.8,312,8.1,0.57,839.9,-1.3,1589.0,34.059753,74.8125
JK-SGR,2020-12-13,-1.4,-0.1,-2.7,87,100,0.0,0.0,5.6,167,8.99,0.83,840.3,-3.4,1589.0,34.059753,74.8125
JK-SGR,2020-12-14,-3.8,-1.3,-7.9,81,100,0.0,0.0,4.5,122,11.57,0.97,839.1,-6.6,1589.0,34.059753,74.8125
JK-SGR,2020-12-15,-2.9,-0.9,-7.6,65,81,0.0,0.0,6.1,44,12.38,1.11,840.8,-8.6,1589.0,34.059753,74.8125
JK-SGR,2020-12-16,-3.5,-1.0,-5.6,69,86,0.0,0.0,5.2,141,11.87,0.97,843.7,-8.3,1589.0,34.059753,74.8125
JK-SGR,2020-12-17,-5.5,-3.5,-7.4,65,86,0.0,0.0,7.2,131,12.73,1.0,845.4,-11.2,1589.0,34.059753,74.8125
JK-SGR,2020-12-18,-5.9,-2.6,-9.9,53,81,0.0,0.0,8.2,133,12.93,1.1,845.5,-14.4,1589.0,34.059753,74.8125
JK-SGR,2020-12-19,-7.7,-4.1,-11.0,59,86,0.0,0.0,8.3,126,12.77,0.96,846.6,-14.8,1589.0,34.059753,74.8125
JK-SGR,2020-12-20,-6.2,-2.0,-10.3,59,86,0.0,0.0,9.0,146,12.1,1.05,846.8,-13.4,1589.0,34.059753,74.8125
JK-SGR,2020-12-21,-3.6,-1.2,-7.9,67,93,0.3,0.0,8.5,125,11.38,1.04,844.5,-9.3,1589.0,34.059753,74.8125
JK-SGR,2020-12-22,-3.4,-0.2,-8.7,79,94,0.0,0.0,9.1,136,12.44,1.08,843.5,-6.6,1589.0,34.059753,74.8125
JK-SGR,2020-12-23,-3.7,-0.7,-10.6,65,82,0.0,0.0,9.6,108,12.51,1.08,841.4,-9.4,1589.0,34.059753,74.8125
JK-SGR,2020-12-24,-2.8,-0.5,-7.5,63,82,0.0,0.0,5.6,34,11.15,1.0,841.9,-9.0,1589.0,34.059753,74.8125
JK-SGR,2020-12-25,-2.9,-0.4,-5.8,63,88,0.0,0.0,7.4,117,11.31,1.04,843.9,-9.3,1589.0,34.059753,74.8125
