site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
KA-CKM,2020-12-01,19.4,24.3,16.2,74,100,0.0,0.0,17.8,64,21.15,4.1,901.4,14.2,1035.0,13.321617,75.78082
KA-CKM,2020-12-02,18.9,24.5,14.4,76,99,0.0,0.0,16.4,60,20.83,3.95,900.1,14.2,1035.0,13.321617,75.78082
KA-CKM,2020-12-03,19.1,23.2,15.8,81,96,0.1,0.1,18.4,52,14.01,2.84,899.4,15.6,1035.0,13.321617,75.78082
KA-CKM,2020-12-04,19.8,23.5,17.5,87,100,0.5,0.5,25.8,58,11.52,2.35,898.6,17.3,1035.0,13.321617,75.78082
KA-CKM,2020-12-05,19.6,23.8,16.3,86,100,0.4,0.4,23.0,64,15.85,2.92,899.0,17.1,1035.0,13.321617,75.78082
KA-CKM,2020-12-06,19.4,23.5,16.6,89,100,1.0,1.0,24.7,67,13.74,2.48,900.0,17.4,1035.0,13.321617,75.78082
KA-CKM,2020-12-07,19.6,23.1,17.6,91,100,2.7,2.7,25.5,72,12.65,2.29,900.9,17.9,1035.0,13.321617,75.78082
KA-CKM,2020-12-08,19.6,22.8,17.7,93,100,11.0,11.0,24.9,86,11.85,2.08,901.4,18.2,1035.0,13.321617,75.78082
KA-CKM,2020-12-09,20.0,24.2,17.6,85,100,0.0,0.0,19.0,90,15.37,2.89,901.0,17.2,1035.0,13.321617,75.78082
KA-CKM,2020-12-10,20.0,24.4,17.3,81,100,0.3,0.3,14.6,96,18.99,3.49,900.8,16.3,1035.0,13.321617,75.78082
KA-CKM,2020-12-11,20.1,24.6,16.3,67,88,0.0,0.0,12.9,77,20.17,4.05,900.9,13.6,1035.0,13.321617,75.78082
KA-CKM,2020-12-12,19.1,24.6,14.6,67,84,0.0,0.0,10.5,73,19.88,3.86,900.2,12.5,1035.0,13.321617,75.78082
KA-CKM,2020-12-13,19.3,25.2,13.5,62,78,0.0,0.0,13.3,60,20.83,4.14,899.3,11.7,1035.0,13.321617,75.78082
KA-CKM,2020-12-14,19.6,25.5,15.6,66,92,0.0,0.0,12.7,79,20.85,4.16,899.4,12.7,1035.0,13.321617,75.78082
KA-CKM,2020-12-15,18.8,24.4,13.8,67,93,0.0,0.0,13.7,68,21.34,4.17,900.5,12.1,1035.0,13.321617,75.78082
KA-CKM,2020-12-16,19.4,24.5,15.1,77,99,0.0,0.0,17.4,74,17.23,3.44,901.3,15.0,1035.0,13.321617,75.78082
KA-CKM,2020-12-17,19.9,24.2,17.1,82,100,0.3,0.3,20.9,76,15.71,3.07,901.6,16.5,1035.0,13.321617,75.78082
KA-CKM,2020-12-18,20.2,25.2,17.3,73,100,0.0,0.0,20.3,68,20.46,4.13,901.3,14.6,1035.0,13.321617,75.78082
KA-CKM,2020-12-19,19.1,24.6,14.7,73,99,0.0,0.0,21.7,74,21.26,4.1,901.4,13.7,1035.0,13.321617,75.78082
KA-CKM,2020-12-20,18.6,23.4,15.0,74,99,0.0,0.0,21.2,80,19.96,3.88,901.5,13.4,1035.0,13.321617,75.78082
KA-CKM,2020-12-21,17.8,24.2,13.7,66,100,0.0,0.0,18.6,75,20.06,4.05,900.3,10.4,1035.0,13.321617,75.78082
