site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
KA-DVG,2020-12-01,23.5,28.8,19.4,64,95,0.0,0.0,18.1,89,19.62,4.92,947.5,15.5,598.0,14.446397,75.90362
KA-DVG,2020-12-02,23.0,29.8,17.4,61,95,0.0,0.0,17.5,84,20.1,4.93,946.1,14.4,598.0,14.446397,75.90362
KA-DVG,2020-12-03,23.3,29.8,17.2,68,96,0.0,0.0,18.5,75,16.28,4.25,945.2,16.3,598.0,14.446397,75.90362
KA-DVG,2020-12-04,24.5,30.2,19.7,68,93,0.0,0.0,23.9,77,16.79,4.54,944.5,17.6,598.0,14.446397,75.90362
KA-DVG,2020-12-05,24.3,29.8,19.4,67,95,0.0,0.0,21.4,79,17.46,4.6,944.9,17.1,598.0,14.446397,75.90362
KA-DVG,2020-12-06,23.8,28.7,19.0,71,90,0.0,0.0,25.5,81,13.57,3.91,946.0,17.8,598.0,14.446397,75.90362
KA-DVG,2020-12-07,24.3,28.5,21.5,76,91,1.4,1.4,23.3,73,12.29,3.45,947.2,19.4,598.0,14.446397,75.90362
KA-DVG,2020-12-08,24.3,29.9,21.5,77,92,6.8,6.8,23.8,87,13.62,3.51,947.5,19.7,598.0,14.446397,75.90362
KA-DVG,2020-12-09,23.9,29.4,21.1,79,95,2.4,2.4,19.0,98,13.69,3.24,946.7,19.7,598.0,14.446397,75.90362
KA-DVG,2020-12-10,24.3,29.9,20.2,59,95,0.0,0.0,15.3,106,18.78,4.9,946.4,14.5,598.0,14.446397,75.90362
KA-DVG,2020-12-11,23.9,30.2,18.4,54,82,0.0,0.0,16.1,99,19.34,5.0,946.5,13.2,598.0,14.446397,75.90362
KA-DVG,2020-12-12,23.4,30.5,17.5,51,82,0.0,0.0,15.4,105,19.89,5.07,946.1,11.2,598.0,14.446397,75.90362
KA-DVG,2020-12-13,23.1,30.4,16.4,58,95,0.0,0.0,14.2,102,19.86,4.54,945.2,13.2,598.0,14.446397,75.90362
KA-DVG,2020-12-14,24.1,31.2,17.6,54,81,0.0,0.0,18.9,112,19.79,4.95,945.0,13.2,598.0,14.446397,75.90362
KA-DVG,2020-12-15,23.6,30.8,17.8,55,87,0.0,0.0,16.9,94,20.02,5.28,946.6,12.8,598.0,14.446397,75.90362
KA-DVG,2020-12-16,24.6,30.7,19.2,61,95,0.0,0.0,19.5,89,16.88,4.88,947.2,15.8,598.0,14.446397,75.90362
KA-DVG,2020-12-17,24.9,30.0,20.5,66,91,0.4,0.4,21.0,89,14.59,4.15,947.5,17.6,598.0,14.446397,75.90362
KA-DVG,2020-12-18,25.0,31.3,19.9,61,91,0.0,0.0,19.1,92,17.8,5.05,947.2,16.0,598.0,14.446397,75.90362
KA-DVG,2020-12-19,24.0,30.1,18.7,59,94,0.0,0.0,20.6,86,19.59,5.31,947.6,14.6,598.0,14.446397,75.90362
KA-DVG,2020-12-20,23.0,28.2,18.8,64,95,0.0,0.0,22.8,84,15.57,4.41,947.8,15.2,598.0,14.446397,75.90362
KA-DVG,2020-12-21,22.4,29.1,17.3,60,96,0.0,0.0,20.2,84,19.6,5.04,946.8,12.9,598.0,14.446397,75.90362
KA-DVG,2020-12-22,22.6,30.5,16.0,52,92,0.0,0.0,17.0,97,20.45,5.29,945.8,10.3,598.0,14.446397,75.90362
KA-DVG,2020-12-23,23.7,30.2,17.7,56,86,0.0,0.0,15.7,95,18.93,4.89,945.0,13.5,598.0,14.446397,75.90362
KA-DVG,2020-12-24,24.8,31.2,19.0,53,74,0.0,0.0,15.5,91,18.21,4.9,944.1,14.2,598.0,14.446397,75.90362
