site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
KA-KLR,2020-12-01,19.8,24.6,15.6,76,99,0.0,0.0,16.8,57,20.6,4.04,921.5,14.8,842.0,13.110721,78.11475
KA-KLR,2020-12-02,20.3,25.4,16.2,79,97,0.0,0.0,17.8,29,18.01,3.66,920.1,16.2,842.0,13.110721,78.11475
KA-KLR,2020-12-03,19.5,21.2,18.0,92,97,35.7,35.7,19.3,20,4.41,1.08,918.6,18.2,842.0,13.110721,78.11475
KA-KLR,2020-12-04,20.3,21.9,19.4,94,99,11.5,11.5,22.9,41,5.71,1.14,918.1,19.3,842.0,13.110721,78.11475
KA-KLR,2020-12-05,20.7,23.7,19.5,92,98,7.0,7.0,23.4,38,11.05,2.0,918.8,19.3,842.0,13.110721,78.11475
KA-KLR,2020-12-06,20.8,24.6,18.5,91,98,5.8,5.8,24.2,60,12.94,2.35,920.0,19.2,842.0,13.110721,78.11475
KA-KLR,2020-12-07,21.0,25.3,19.2,91,99,11.2,11.2,22.9,73,13.14,2.39,921.3,19.4,842.0,13.110721,78.11475
KA-KLR,2020-12-08,21.2,24.4,19.4,89,99,3.3,3.3,23.4,93,14.24,2.65,921.9,19.2,842.0,13.110721,78.11475
KA-KLR,2020-12-09,20.7,24.5,18.6,90,99,4.4,4.4,15.9,92,13.34,2.45,921.4,18.9,842.0,13.110721,78.11475
KA-KLR,2020-12-10,19.5,24.5,15.5,80,99,0.0,0.0,12.3,107,20.42,3.78,921.1,15.6,842.0,13.110721,78.11475
KA-KLR,2020-12-11,19.4,24.8,15.8,78,100,0.0,0.0,13.7,96,20.94,3.91,921.0,14.9,842.0,13.110721,78.11475
KA-KLR,2020-12-12,18.9,24.3,14.8,81,99,0.0,0.0,9.6,109,20.88,3.78,920.5,15.1,842.0,13.110721,78.11475
KA-KLR,2020-12-13,18.8,24.9,14.0,82,100,0.0,0.0,8.5,100,19.7,3.65,919.7,15.1,842.0,13.110721,78.11475
KA-KLR,2020-12-14,19.3,24.4,15.8,79,100,0.0,0.0,12.6,106,19.89,3.71,919.9,15.0,842.0,13.110721,78.11475
KA-KLR,2020-12-15,19.1,24.6,13.2,80,100,0.0,0.0,20.9,82,16.87,3.32,920.9,15.2,842.0,13.110721,78.11475
KA-KLR,2020-12-16,20.2,23.7,17.7,87,99,1.2,1.2,16.3,71,11.26,2.26,921.8,17.8,842.0,13.110721,78.11475
KA-KLR,2020-12-17,20.9,24.4,18.7,85,98,1.1,1.1,18.1,70,10.27,2.26,921.8,18.0,842.0,13.110721,78.11475
KA-KLR,2020-12-18,20.2,25.1,16.9,80,97,0.0,0.0,17.6,67,19.13,3.66,921.5,16.2,842.0,13.110721,78.11475
KA-KLR,2020-12-19,20.3,24.4,17.6,80,99,0.1,0.1,19.9,75,15.19,3.15,922.2,16.4,842.0,13.110721,78.11475
KA-KLR,2020-12-20,19.8,24.1,16.7,79,99,0.4,0.4,20.9,73,14.11,2.96,922.2,15.7,842.0,13.110721,78.11475
KA-KLR,2020-12-21,18.1,23.2,14.4,80,100,0.0,0.0,14.8,72,18.94,3.46,921.0,14.2,842.0,13.110721,78.11475
KA-KLR,2020-12-22,18.2,24.5,13.5,76,99,0.0,0.0,11.2,86,20.65,3.88,920.3,13.1,842.0,13.110721,78.11475
KA-KLR,2020-12-23,19.1,25.1,14.6,76,99,0.0,0.0,10.5,88,19.28,3.74,919.6,14.2,842.0,13.110721,78.11475
KA-KLR,2020-12-24,19.5,25.3,15.4,79,99,0.0,0.0,11.9,89,19.29,3.71,918.9,15.4,842.0,13.110721,78.11475
KA-KLR,2020-12-25,18.8,24.9,14.4,78,98,0.0,0.0,9.9,87,20.49,3.84,919.7,14.3,842.0,13.110721,78.11475
KA-KLR,2020-12-26,18.5,24.2,14.3,79,100,0.0,0.0,14.3,76,20.69,3.77,920.6,14.3,842.0,13.110721,78.11475
