site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
KA-VJP,2020-12-01,23.9,28.5,19.1,64,90,0.0,0.0,19.5,95,16.6,4.35,946.7,16.2,610.0,16.836554,75.703354
KA-VJP,2020-12-02,23.3,29.2,16.9,56,91,0.0,0.0,18.0,79,19.26,5.1,945.6,12.6,610.0,16.836554,75.703354
KA-VJP,2020-12-03,23.2,30.1,16.3,51,87,0.0,0.0,14.6,77,19.4,5.17,944.8,11.1,610.0,16.836554,75.703354
KA-VJP,2020-12-04,23.7,30.1,17.1,51,83,0.0,0.0,17.1,73,19.22,5.31,944.1,12.0,610.0,16.836554,75.703354
KA-VJP,2020-12-05,23.7,30.2,17.0,42,80,0.0,0.0,17.9,76,19.48,5.86,944.5,7.7,610.0,16.836554,75.703354
KA-VJP,2020-12-06,23.2,30.1,16.0,47,81,0.0,0.0,22.0,89,19.41,5.57,945.6,10.0,610.0,16.836554,75.703354
KA-VJP,2020-12-07,24.6,30.1,18.6,57,81,0.0,0.0,23.7,88,18.22,5.39,947.1,14.9,610.0,16.836554,75.703354
KA-VJP,2020-12-08,25.6,31.1,20.8,55,76,0.0,0.0,23.2,105,16.96,5.45,947.2,15.3,610.0,16.836554,75.703354
KA-VJP,2020-12-09,25.0,29.3,20.4,62,95,0.2,0.2,20.2,108,13.18,4.35,946.2,16.1,610.0,16.836554,75.703354
KA-VJP,2020-12-10,25.8,31.1,20.2,43,76,0.0,0.0,18.8,129,18.04,6.03,945.6,11.0,610.0,16.836554,75.703354
KA-VJP,2020-12-11,25.4,30.9,19.9,45,73,0.0,0.0,16.6,134,17.4,5.33,945.6,11.6,610.0,16.836554,75.703354
KA-VJP,2020-12-12,25.1,30.8,19.6,38,65,0.0,0.0,16.3,139,18.35,5.94,945.1,9.1,610.0,16.836554,75.703354
KA-VJP,2020-12-13,24.6,30.2,18.5,45,79,0.0,0.0,15.8,138,18.05,5.23,944.2,11.2,610.0,16.836554,75.703354
KA-VJP,2020-12-14,25.1,30.1,19.4,41,65,0.0,0.0,19.3,143,17.61,5.57,944.1,10.4,610.0,16.836554,75.703354
KA-VJP,2020-12-15,24.5,30.5,19.2,44,77,0.0,0.0,21.0,127,18.35,5.67,945.8,10.6,610.0,16.836554,75.703354
KA-VJP,2020-12-16,24.1,29.9,18.5,53,86,0.0,0.0,20.3,112,17.74,5.11,946.8,13.4,610.0,16.836554,75.703354
KA-VJP,2020-12-17,25.0,30.8,19.5,56,94,0.0,0.0,19.3,96,17.68,5.09,946.9,14.6,610.0,16.836554,75.703354
KA-VJP,2020-12-18,24.8,29.4,19.4,51,85,0.0,0.0,20.0,90,17.48,5.16,946.8,13.2,610.0,16.836554,75.703354
KA-VJP,2020-12-19,23.8,29.0,18.6,48,77,0.0,0.0,22.3,86,18.01,5.48,947.2,11.4,610.0,16.836554,75.703354
KA-VJP,2020-12-20,22.4,28.5,16.6,46,70,0.0,0.0,21.7,84,19.05,5.32,947.5,9.1,610.0,16.836554,75.703354
KA-VJP,2020-12-21,21.6,28.2,15.3,43,70,0.0,0.0,18.1,82,19.21,5.27,946.3,7.2,610.0,16.836554,75.703354
KA-VJP,2020-12-22,21.2,28.0,13.3,42,71,0.0,0.0,15.5,91,19.18,5.23,945.1,6.4,610.0,16.836554,75.703354
