site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
KL-MNR,2020-12-01,17.5,22.1,14.1,76,95,0.2,0.2,9.9,19,20.51,3.79,857.4,12.9,1461.0,10.087873,77.06398
KL-MNR,2020-12-02,17.1,22.0,13.9,86,100,3.2,3.2,8.2,16,14.98,2.81,856.2,14.8,1461.0,10.087873,77.06398
KL-MNR,2020-12-03,16.5,18.1,15.4,98,100,27.0,27.0,7.7,359,3.79,0.77,854.5,16.1,1461.0,10.087873,77.06398
KL-MNR,2020-12-04,17.4,20.4,15.8,94,100,10.0,10.0,5.3,40,7.69,1.5,854.2,16.5,1461.0,10.087873,77.06398
KL-MNR,2020-12-05,17.2,19.4,15.7,97,100,17.7,17.7,6.6,18,6.52,1.26,855.0,16.8,1461.0,10.087873,77.06398
KL-MNR,2020-12-06,17.6,20.7,16.3,98,100,56.5,56.5,6.5,311,10.27,1.84,856.1,17.3,1461.0,10.087873,77.06398
KL-MNR,2020-12-07,17.6,20.8,15.9,95,100,31.0,31.0,8.7,71,8.15,1.52,857.0,16.8,1461.0,10.087873,77.06398
KL-MNR,2020-12-08,17.6,22.3,13.8,86,97,2.1,2.1,12.2,70,18.45,3.26,857.6,15.0,1461.0,10.087873,77.06398
KL-MNR,2020-12-09,17.8,22.3,14.8,83,95,0.3,0.3,10.5,68,20.87,3.68,857.4,14.7,1461.0,10.087873,77.06398
KL-MNR,2020-12-10,17.8,22.0,14.8,84,94,1.8,1.8,7.4,71,19.97,3.56,857.8,14.9,1461.0,10.087873,77.06398
KL-MNR,2020-12-11,17.4,21.0,14.4,89,97,3.6,3.6,8.1,23,17.41,3.02,857.6,15.5,1461.0,10.087873,77.06398
KL-MNR,2020-12-12,16.5,21.1,12.7,84,100,2.3,2.3,9.2,323,21.1,3.6,856.9,13.7,1461.0,10.087873,77.06398
KL-MNR,2020-12-13,16.1,21.7,12.0,79,100,3.1,3.1,9.3,296,21.59,3.7,856.2,12.2,1461.0,10.087873,77.06398
KL-MNR,2020-12-14,15.6,21.0,11.1,75,96,1.3,1.3,8.1,3,20.96,3.63,855.6,11.0,1461.0,10.087873,77.06398
KL-MNR,2020-12-15,16.1,21.2,11.3,78,100,2.2,2.2,7.1,29,19.94,3.54,856.4,12.1,1461.0,10.087873,77.06398
KL-MNR,2020-12-16,17.1,20.2,15.3,92,98,3.6,3.6,9.2,47,9.85,1.81,857.4,15.7,1461.0,10.087873,77.06398
KL-MNR,2020-12-17,17.0,19.5,15.3,97,100,10.5,10.5,5.6,57,8.02,1.48,857.4,16.5,1461.0,10.087873,77.06398
KL-MNR,2020-12-18,17.2,19.9,15.3,90,98,1.6,1.6,10.3,51,8.83,1.69,857.2,15.5,1461.0,10.087873,77.06398
KL-MNR,2020-12-19,17.8,21.8,15.2,79,92,0.1,0.1,17.3,61,13.45,2.74,857.2,14.1,1461.0,10.087873,77.06398
KL-MNR,2020-12-20,16.4,21.6,12.1,72,87,0.0,0.0,14.1,47,21.86,4.07,856.7,11.2,1461.0,10.087873,77.06398
KL-MNR,2020-12-21,16.9,22.3,12.6,74,93,0.0,0.0,10.5,41,21.43,3.98,856.1,12.1,1461.0,10.087873,77.06398
KL-MNR,2020-12-22,17.1,20.1,14.0,88,99,4.6,4.6,7.0,30,8.88,1.72,856.4,15.0,1461.0,10.087873,77.06398
KL-MNR,2020-12-23,17.5,20.8,15.8,92,99,9.8,9.8,5.7,50,12.02,2.21,856.2,16.2,1461.0,10.087873,77.06398
KL-MNR,2020-12-24,17.7,21.6,14.6,88,100,17.0,17.0,7.5,352,19.41,3.36,855.6,15.6,1461.0,10.087873,77.06398
KL-MNR,2020-12-25,17.6,21.4,15.1,87,99,2.3,2.3,7.1,37,15.83,2.84,856.1,15.4,1461.0,10.087873,77.06398
KL-MNR,2020-12-26,16.3,21.9,12.0,71,94,0.0,0.0,7.4,18,21.88,3.92,856.1,10.8,1461.0,10.087873,77.06398
