site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
MH-AMR,2020-12-01,23.4,29.3,18.5,63,83,0.0,0.0,9.8,84,16.65,3.68,976.3,15.4,343.0,20.913883,77.78116
MH-AMR,2020-12-02,22.6,28.8,16.9,62,86,0.0,0.0,9.8,62,16.93,3.5,975.3,14.2,343.0,20.913883,77.78116
MH-AMR,2020-12-03,22.2,28.8,15.7,50,73,0.0,0.0,8.9,71,17.22,3.81,974.7,10.7,343.0,20.913883,77.78116
MH-AMR,2020-12-04,21.6,28.8,15.5,54,79,0.0,0.0,9.2,92,17.17,3.75,973.6,11.2,343.0,20.913883,77.78116
MH-AMR,2020-12-05,22.3,28.6,15.0,51,81,0.0,0.0,7.6,108,17.05,3.74,974.4,10.8,343.0,20.913883,77.78116
MH-AMR,2020-12-06,21.7,28.7,15.7,55,77,0.0,0.0,9.3,88,17.01,3.92,975.6,11.5,343.0,20.913883,77.78116
MH-AMR,2020-12-07,21.5,28.7,14.3,57,87,0.0,0.0,8.9,83,16.99,3.64,977.1,11.8,343.0,20.913883,77.78116
MH-AMR,2020-12-08,22.3,28.9,15.7,56,77,0.0,0.0,8.0,86,16.9,3.63,977.0,12.3,343.0,20.913883,77.78116
MH-AMR,2020-12-09,21.8,28.3,15.4,57,82,0.0,0.0,8.8,118,16.39,3.6,975.6,12.4,343.0,20.913883,77.78116
MH-AMR,2020-12-10,22.4,28.5,16.3,57,81,0.0,0.0,7.9,114,15.83,3.57,974.7,13.1,343.0,20.913883,77.78116
MH-AMR,2020-12-11,23.2,28.8,17.7,57,76,0.0,0.0,10.9,96,15.57,3.64,974.6,13.9,343.0,20.913883,77.78116
MH-AMR,2020-12-12,22.6,27.0,19.4,62,74,0.0,0.0,13.2,45,10.08,2.9,974.7,14.8,343.0,20.913883,77.78116
MH-AMR,2020-12-13,22.1,25.8,19.7,72,91,1.8,1.8,9.7,88,9.42,2.28,973.9,16.5,343.0,20.913883,77.78116
MH-AMR,2020-12-14,22.6,26.6,19.5,69,87,1.4,1.4,12.0,101,11.12,2.73,973.8,16.4,343.0,20.913883,77.78116
MH-AMR,2020-12-15,23.1,27.4,19.9,68,80,0.0,0.0,12.5,112,14.2,3.24,975.4,16.6,343.0,20.913883,77.78116
MH-AMR,2020-12-16,22.9,28.3,18.6,68,89,0.0,0.0,12.0,85,15.45,3.35,976.5,16.4,343.0,20.913883,77.78116
MH-AMR,2020-12-17,21.6,26.4,17.7,77,95,0.2,0.2,14.0,45,13.13,2.77,977.1,17.0,343.0,20.913883,77.78116
MH-AMR,2020-12-18,21.8,26.6,17.5,68,91,0.0,0.0,10.9,42,14.95,3.13,977.1,15.0,343.0,20.913883,77.78116
MH-AMR,2020-12-19,20.3,26.0,15.7,63,84,0.0,0.0,11.7,61,16.49,3.54,977.6,12.5,343.0,20.913883,77.78116
MH-AMR,2020-12-20,18.8,25.8,13.1,46,64,0.0,0.0,11.6,67,17.23,3.77,978.2,5.8,343.0,20.913883,77.78116
MH-AMR,2020-12-21,18.3,25.8,12.2,48,68,0.0,0.0,10.1,88,17.33,3.84,976.5,6.0,343.0,20.913883,77.78116
MH-AMR,2020-12-22,18.4,26.1,11.7,51,78,0.0,0.0,10.1,92,17.16,3.57,975.2,7.2,343.0,20.913883,77.78116
MH-AMR,2020-12-23,18.3,26.0,11.5,51,79,0.0,0.0,10.5,98,17.09,3.7,973.9,7.0,343.0,20.913883,77.78116
MH-AMR,2020-12-24,19.1,26.4,11.6,53,77,0.0,0.0,8.8,92,16.8,3.57,973.5,8.5,343.0,20.913883,77.78116
MH-AMR,2020-12-25,19.4,26.8,13.8,51,67,0.0,0.0,12.0,84,16.87,3.82,974.7,8.3,343.0,20.913883,77.78116
MH-AMR,2020-12-26,19.3,26.8,13.1,53,80,0.0,0.0,10.2,100,16.93,3.65,975.3,8.8,343.0,20.913883,77.78116
MH-AMR,2020-12-27,20.3,27.9,13.2,55,82,0.0,0.0,9.7,115,16.51,3.57,974.1,10.4,343.0,20.913883,77.78116
MH-AMR,2020-12-28,21.3,27.8,15.4,58,77,0.0,0.0,11.0,341,16.44,3.58,973.6,12.4,343.0,20.913883,77.78116
MH-AMR,2020-12-29,21.1,27.5,15.6,59,79,0.0,0.0,11.6,86,16.42,3.74,973.9,12.4,343.0,20.913883,77.78116
MH-AMR,2020-12-30,21.2,27.8,15.5,62,88,0.0,0.0,10.9,100,16.42,3.68,974.7,13.1,343.0,20.913883,77.78116
MH-AMR,2020-12-31,20.9,27.4,15.4,58,82,0.0,0.0,11.5,100,16.53,3.81,975.4,11.9,343.0,20.913883,77.78116
MH-AMR,2021-01-01,21.2,27.7,16.2,57,72,0.0,0.0,11.6,102,16.48,3.92,975.6,11.9,343.0,20.913883,77.78116
MH-AMR,2021-01-02,21.6,27.2,17.1,59,76,0.0,0.0,12.0,114,15.25,3.59,975.4,12.9,343.0,20.913883,77.78116
MH-AMR,2021-01-03,22.3,28.3,18.2,56,71,0.0,0.0,10.1,119,16.26,3.97,973.7,12.8,343.0,20.913883,77.78116
MH-AMR,2021-01-04,21.8,27.5,17.1,63,82,0.0,0.0,12.5,105,11.39,2.95,973.8,14.1,343.0,20.913883,77.78116
MH-AMR,2021-01-05,20.6,22.7,19.3,67,77,0.3,0.3,11.9,84,3.42,1.45,974.9,14.3,343.0,20.913883,77.78116
MH-AMR,2021-01-06,22.9,28.6,18.0,64,82,0.0,0.0,6.9,50,14.38,3.11,973.9,15.2,343.0,20.913883,77.78116
MH-AMR,2021-01-07,23.8,28.7,19.1,65,82,0.0,0.0,9.0,106,11.07,2.82,972.5,16.4,343.0,20.913883,77.78116
