site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
MH-LTR,2020-12-01,22.6,28.8,17.5,67,92,0.0,0.0,11.9,75,17.06,3.89,944.4,15.4,633.0,18.383127,76.53959
MH-LTR,2020-12-02,21.5,28.5,16.6,58,82,0.0,0.0,10.5,68,18.49,4.2,943.2,11.9,633.0,18.383127,76.53959
MH-LTR,2020-12-03,20.8,28.7,14.3,56,84,0.0,0.0,11.2,90,18.81,4.28,942.4,10.4,633.0,18.383127,76.53959
MH-LTR,2020-12-04,20.5,28.8,13.7,54,84,0.0,0.0,10.5,80,18.57,4.34,941.5,9.7,633.0,18.383127,76.53959
MH-LTR,2020-12-05,20.5,28.5,14.7,49,70,0.0,0.0,11.7,71,18.79,4.44,942.0,8.4,633.0,18.383127,76.53959
MH-LTR,2020-12-06,20.4,28.5,12.7,49,80,0.0,0.0,12.8,84,18.63,4.58,943.2,8.4,633.0,18.383127,76.53959
MH-LTR,2020-12-07,20.7,28.9,13.3,53,83,0.0,0.0,12.9,84,18.4,4.37,944.8,9.9,633.0,18.383127,76.53959
MH-LTR,2020-12-08,20.9,29.3,13.9,53,80,0.0,0.0,10.8,95,18.31,4.38,944.6,10.1,633.0,18.383127,76.53959
MH-LTR,2020-12-09,21.6,29.1,14.3,52,79,0.0,0.0,10.5,112,18.0,4.27,943.6,10.3,633.0,18.383127,76.53959
MH-LTR,2020-12-10,22.8,29.3,17.0,50,68,0.0,0.0,9.4,129,17.3,4.18,943.0,11.2,633.0,18.383127,76.53959
MH-LTR,2020-12-11,23.2,29.5,18.5,53,73,0.0,0.0,11.5,157,16.62,4.01,943.0,12.6,633.0,18.383127,76.53959
MH-LTR,2020-12-12,23.4,29.7,18.5,49,67,0.0,0.0,12.1,145,17.3,4.33,942.6,11.8,633.0,18.383127,76.53959
MH-LTR,2020-12-13,22.8,28.7,17.7,57,78,0.0,0.0,10.2,144,15.92,3.68,941.7,13.6,633.0,18.383127,76.53959
MH-LTR,2020-12-14,23.6,28.9,19.3,50,63,0.0,0.0,13.6,155,15.74,4.11,941.8,12.3,633.0,18.383127,76.53959
MH-LTR,2020-12-15,23.3,29.2,19.0,53,71,0.0,0.0,11.7,142,16.64,4.14,943.4,12.8,633.0,18.383127,76.53959
MH-LTR,2020-12-16,23.1,29.0,18.0,59,83,0.0,0.0,11.6,132,17.03,3.98,944.5,14.2,633.0,18.383127,76.53959
MH-LTR,2020-12-17,22.7,29.2,16.9,61,90,0.0,0.0,9.0,92,17.07,3.86,944.7,14.0,633.0,18.383127,76.53959
MH-LTR,2020-12-18,22.8,28.5,16.6,56,84,0.0,0.0,12.0,72,17.1,4.11,944.6,12.9,633.0,18.383127,76.53959
MH-LTR,2020-12-19,21.5,27.7,16.3,57,83,0.0,0.0,12.0,79,17.06,4.11,945.1,11.8,633.0,18.383127,76.53959
MH-LTR,2020-12-20,19.4,26.9,13.5,52,84,0.0,0.0,13.9,71,18.43,4.29,945.3,7.8,633.0,18.383127,76.53959
MH-LTR,2020-12-21,18.3,26.9,11.4,47,75,0.0,0.0,11.6,75,18.68,4.34,943.8,5.3,633.0,18.383127,76.53959
MH-LTR,2020-12-22,18.3,26.8,11.7,47,79,0.0,0.0,10.4,96,18.65,4.21,942.6,5.5,633.0,18.383127,76.53959
MH-LTR,2020-12-23,19.0,27.4,11.0,47,79,0.0,0.0,10.5,120,18.34,4.19,941.4,6.3,633.0,18.383127,76.53959
MH-LTR,2020-12-24,20.0,28.0,13.1,52,75,0.0,0.0,10.7,107,17.78,4.13,941.0,9.1,633.0,18.383127,76.53959
MH-LTR,2020-12-25,20.4,27.7,14.3,57,84,0.0,0.0,10.3,98,17.74,4.02,942.3,10.9,633.0,18.383127,76.53959
MH-LTR,2020-12-26,20.4,28.6,13.7,57,93,0.0,0.0,10.1,103,17.86,4.01,943.0,10.6,633.0,18.383127,76.53959
MH-LTR,2020-12-27,20.9,29.1,14.0,58,88,0.0,0.0,10.8,115,17.78,3.86,942.2,11.3,633.0,18.383127,76.53959
MH-LTR,2020-12-28,22.1,29.1,16.2,55,76,0.0,0.0,10.9,163,17.86,4.06,941.7,12.0,633.0,18.383127,76.53959
MH-LTR,2020-12-29,21.8,29.0,14.7,54,81,0.0,0.0,11.6,124,17.86,4.12,941.6,11.3,633.0,18.383127,76.53959
MH-LTR,2020-12-30,22.1,29.1,16.5,54,86,0.0,0.0,12.9,125,18.01,4.4,942.3,11.7,633.0,18.383127,76.53959
MH-LTR,2020-12-31,22.5,28.7,16.6,63,94,0.0,0.0,12.4,111,16.66,3.99,943.1,14.2,633.0,18.383127,76.53959
MH-LTR,2021-01-01,22.9,28.5,18.1,67,93,0.0,0.0,12.9,116,14.05,3.5,943.4,15.7,633.0,18.383127,76.53959
MH-LTR,2021-01-02,21.8,28.3,16.4,58,88,0.0,0.0,11.9,134,15.74,3.77,943.3,12.5,633.0,18.383127,76.53959
MH-LTR,2021-01-03,21.5,28.7,15.5,58,91,0.0,0.0,14.4,141,17.82,4.08,941.6,11.9,633.0,18.383127,76.53959
MH-LTR,2021-01-04,22.5,28.4,17.6,55,84,0.1,0.1,11.9,132,12.75,3.46,941.6,12.1,633.0,18.383127,76.53959
MH-LTR,2021-01-05,21.1,24.5,18.7,60,75,0.0,0.0,11.2,62,5.7,1.84,942.6,12.9,633.0,18.383127,76.53959
MH-LTR,2021-01-06,22.7,29.7,17.6,70,90,1.0,1.0,11.9,119,15.01,3.33,942.1,16.5,633.0,18.383127,76.53959
MH-LTR,2021-01-07,22.5,26.8,19.4,79,96,2.9,2.9,12.5,125,10.57,2.42,941.0,18.5,633.0,18.383127,76.53959
MH-LTR,2021-01-08,24.4,30.0,18.8,64,95,0.2,0.2,12.8,127,16.43,4.05,940.1,16.2,633.0,18.383127,76.53959
MH-LTR,2021-01-09,24.1,28.8,20.1,64,83,0.1,0.1,11.3,144,14.22,3.54,940.8,16.5,633.0,18.383127,76.53959
MH-LTR,2021-01-10,24.1,30.2,18.7,54,77,0.0,0.0,11.2,130,17.5,4.33,941.6,13.8,633.0,18.383127,76.53959
MH-LTR,2021-01-11,24.0,31.2,18.2,45,64,0.0,0.0,10.9,111,18.25,4.68,942.7,10.4,633.0,18.383127,76.53959
MH-LTR,2021-01-12,24.3,31.3,18.3,51,74,0.0,0.0,13.9,72,17.76,4.41,943.1,12.7,633.0,18.383127,76.53959
MH-LTR,2021-01-13,23.7,30.3,18.0,53,77,0.0,0.0,10.9,54,18.0,4.28,942.5,12.8,633.0,18.383127,76.53959
MH-LTR,2021-01-14,22.8,29.8,16.2,56,88,0.0,0.0,8.4,117,18.41,4.17,941.9,12.8,633.0,18.383127,76.53959
MH-LTR,2021-01-15,22.8,29.6,17.0,58,79,0.0,0.0,10.0,150,18.36,4.07,941.1,13.6,633.0,18.383127,76.53959
MH-LTR,2021-01-16,24.2,30.4,17.9,57,81,0.0,0.0,11.9,134,16.48,4.11,940.4,14.4,633.0,18.383127,76.53959
MH-LTR,2021-01-17,24.6,29.7,19.7,56,76,0.0,0.0,12.4,129,12.57,3.63,941.5,15.0,633.0,18.383127,76.53959
MH-LTR,2021-01-18,24.6,30.0,19.1,55,78,0.0,0.0,11.8,138,16.86,4.39,942.7,14.3,633.0,18.383127,76.53959
MH-LTR,2021-01-19,24.2,29.5,18.5,57,79,0.0,0.0,11.0,170,16.15,3.72,942.4,14.7,633.0,18.383127,76.53959
MH-LTR,2021-01-20,24.5,30.5,19.4,54,76,0.0,0.0,9.3,217,18.63,4.37,942.6,14.1,633.0,18.383127,76.53959
MH-LTR,2021-01-21,23.8,30.4,17.7,56,80,0.0,0.0,9.5,350,18.84,4.22,942.0,13.8,633.0,18.383127,76.53959
MH-LTR,2021-01-22,24.0,30.9,17.3,55,81,0.0,0.0,10.2,107,18.95,4.39,941.9,13.7,633.0,18.383127,76.53959
MH-LTR,2021-01-23,23.6,30.9,16.5,54,82,0.0,0.0,9.6,189,19.38,4.38,941.8,12.9,633.0,18.383127,76.53959
MH-LTR,2021-01-24,23.9,31.0,17.9,55,74,0.0,0.0,9.0,223,19.47,4.44,942.4,13.8,633.0,18.383127,76.53959
MH-LTR,2021-01-25,23.9,30.5,17.4,53,73,0.0,0.0,9.4,290,19.47,4.18,942.9,13.3,633.0,18.383127,76.53959
MH-LTR,2021-01-26,23.7,30.3,16.7,53,83,0.0,0.0,8.4,211,19.4,4.31,942.3,12.9,633.0,18.383127,76.53959
MH-LTR,2021-01-27,23.5,30.0,16.8,51,79,0.0,0.0,10.5,185,19.57,4.52,942.3,11.9,633.0,18.383127,76.53959
MH-LTR,2021-01-28,23.6,29.9,18.0,53,76,0.0,0.0,15.9,173,17.66,4.29,942.7,12.8,633.0,18.383127,76.53959
MH-LTR,2021-01-29,23.4,29.5,17.7,52,73,0.0,0.0,14.4,224,17.92,4.24,943.4,12.3,633.0,18.383127,76.53959
MH-LTR,2021-01-30,23.8,29.2,17.6,51,76,0.0,0.0,11.6,34,17.91,4.24,943.3,12.3,633.0,18.383127,76.53959
MH-LTR,2021-01-31,23.6,29.3,18.7,55,77,0.0,0.0,14.0,108,15.3,3.82,943.9,13.4,633.0,18.383127,76.53959
MH-LTR,2021-02-01,23.1,29.2,18.0,53,76,0.0,0.0,12.6,86,16.77,4.37,945.6,12.2,633.0,18.383127,76.53959
