site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
MH-NGP,2020-12-01,23.1,29.9,17.6,55,76,0.0,0.0,8.4,38,16.85,3.82,980.0,13.0,311.0,21.124779,79.11585
MH-NGP,2020-12-02,22.1,29.7,15.0,53,88,0.0,0.0,8.0,19,17.09,3.76,978.9,10.9,311.0,21.124779,79.11585
MH-NGP,2020-12-03,22.0,30.2,13.8,47,76,0.0,0.0,8.8,17,17.18,3.93,978.2,9.0,311.0,21.124779,79.11585
MH-NGP,2020-12-04,21.3,29.8,14.5,50,78,0.0,0.0,10.8,54,17.16,3.99,977.2,9.4,311.0,21.124779,79.11585
MH-NGP,2020-12-05,22.0,29.8,14.5,47,72,0.0,0.0,8.6,31,16.99,3.67,977.9,9.1,311.0,21.124779,79.11585
MH-NGP,2020-12-06,21.8,30.2,14.0,51,79,0.0,0.0,8.9,35,16.91,3.86,979.3,10.2,311.0,21.124779,79.11585
MH-NGP,2020-12-07,22.1,30.3,14.0,52,84,0.0,0.0,8.4,52,16.87,3.78,980.7,10.5,311.0,21.124779,79.11585
MH-NGP,2020-12-08,22.0,30.1,14.6,54,84,0.0,0.0,9.8,71,16.74,3.75,980.5,11.5,311.0,21.124779,79.11585
MH-NGP,2020-12-09,22.0,29.9,14.5,55,88,0.0,0.0,10.0,31,16.51,3.62,979.2,11.6,311.0,21.124779,79.11585
MH-NGP,2020-12-10,22.6,29.7,15.9,54,81,0.0,0.0,10.4,72,16.16,3.68,978.4,12.0,311.0,21.124779,79.11585
MH-NGP,2020-12-11,22.9,29.7,16.1,53,79,0.0,0.0,10.1,71,15.76,3.66,978.4,12.2,311.0,21.124779,79.11585
MH-NGP,2020-12-12,23.4,28.7,18.3,56,73,0.0,0.0,11.7,31,13.11,3.33,978.3,13.8,311.0,21.124779,79.11585
MH-NGP,2020-12-13,22.9,28.0,19.6,62,77,0.0,0.0,8.7,60,10.24,2.71,977.5,14.9,311.0,21.124779,79.11585
MH-NGP,2020-12-14,23.0,27.4,20.2,63,76,0.0,0.0,10.8,84,10.3,2.75,977.7,15.2,311.0,21.124779,79.11585
MH-NGP,2020-12-15,23.5,28.3,19.9,63,79,0.3,0.3,9.5,84,13.21,3.08,979.3,15.8,311.0,21.124779,79.11585
MH-NGP,2020-12-16,23.7,29.1,19.0,65,85,0.0,0.0,14.2,74,15.15,3.41,980.4,16.3,311.0,21.124779,79.11585
MH-NGP,2020-12-17,22.2,28.1,17.7,70,93,0.0,0.0,11.5,29,14.93,3.31,980.8,16.0,311.0,21.124779,79.11585
MH-NGP,2020-12-18,21.5,27.4,16.6,63,84,0.0,0.0,8.0,33,15.91,3.35,980.8,13.7,311.0,21.124779,79.11585
MH-NGP,2020-12-19,19.6,26.5,14.6,51,76,0.0,0.0,10.2,34,16.7,3.82,981.6,8.6,311.0,21.124779,79.11585
MH-NGP,2020-12-20,18.4,26.9,12.2,42,66,0.0,0.0,11.3,32,17.19,4.19,981.9,4.0,311.0,21.124779,79.11585
MH-NGP,2020-12-21,18.4,27.0,10.9,43,67,0.0,0.0,9.7,28,17.21,3.94,980.3,4.3,311.0,21.124779,79.11585
MH-NGP,2020-12-22,18.3,27.2,10.7,45,72,0.0,0.0,10.8,41,17.12,3.91,978.9,5.0,311.0,21.124779,79.11585
MH-NGP,2020-12-23,18.5,27.2,11.0,48,78,0.0,0.0,9.7,55,17.0,3.76,977.7,6.1,311.0,21.124779,79.11585
MH-NGP,2020-12-24,19.1,27.4,11.3,47,76,0.0,0.0,9.5,42,16.81,3.72,977.3,6.6,311.0,21.124779,79.11585
MH-NGP,2020-12-25,19.5,27.5,13.0,48,68,0.0,0.0,9.8,38,16.8,3.94,978.6,7.2,311.0,21.124779,79.11585
MH-NGP,2020-12-26,18.9,27.4,11.7,52,79,0.0,0.0,10.7,56,16.9,3.72,979.0,7.7,311.0,21.124779,79.11585
MH-NGP,2020-12-27,19.7,28.4,11.9,55,87,0.0,0.0,9.6,90,16.58,3.48,977.8,9.6,311.0,21.124779,79.11585
MH-NGP,2020-12-28,21.0,28.5,13.4,57,88,0.0,0.0,9.0,195,16.4,3.54,977.1,11.3,311.0,21.124779,79.11585
MH-NGP,2020-12-29,21.2,28.2,15.3,57,76,0.0,0.0,10.7,57,16.34,3.54,977.7,11.9,311.0,21.124779,79.11585
MH-NGP,2020-12-30,21.1,28.7,15.0,59,85,0.0,0.0,11.5,69,16.42,3.71,978.5,12.0,311.0,21.124779,79.11585
