site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
MH-NSK,2020-12-01,24.1,29.8,18.4,67,93,0.0,0.0,11.1,61,16.48,3.71,949.9,17.0,584.0,19.999998,73.8
MH-NSK,2020-12-02,23.0,29.3,17.9,62,92,0.0,0.0,11.5,64,17.55,4.06,948.9,14.7,584.0,19.999998,73.8
MH-NSK,2020-12-03,21.8,29.3,16.1,60,85,0.0,0.0,11.5,75,17.73,4.03,948.0,13.0,584.0,19.999998,73.8
MH-NSK,2020-12-04,21.2,28.8,15.0,56,88,0.0,0.0,13.7,82,17.89,4.2,947.0,11.0,584.0,19.999998,73.8
MH-NSK,2020-12-05,20.8,28.7,13.8,50,80,0.0,0.0,11.9,77,17.99,4.28,947.4,9.0,584.0,19.999998,73.8
MH-NSK,2020-12-06,20.0,28.2,13.5,49,71,0.0,0.0,16.7,79,18.04,4.47,948.6,8.3,584.0,19.999998,73.8
MH-NSK,2020-12-07,19.9,28.4,12.7,55,84,0.0,0.0,14.3,77,17.85,4.2,950.1,9.7,584.0,19.999998,73.8
MH-NSK,2020-12-08,20.8,29.3,14.2,58,83,0.0,0.0,13.2,80,17.71,4.07,949.9,11.3,584.0,19.999998,73.8
MH-NSK,2020-12-09,21.9,29.1,15.5,57,77,0.0,0.0,10.5,88,17.22,3.94,948.7,12.5,584.0,19.999998,73.8
MH-NSK,2020-12-10,23.6,29.2,17.8,56,82,0.0,0.0,9.8,83,14.79,3.4,947.9,13.8,584.0,19.999998,73.8
MH-NSK,2020-12-11,22.2,26.9,18.6,77,97,0.5,0.5,12.5,288,8.18,1.99,948.1,17.8,584.0,19.999998,73.8
MH-NSK,2020-12-12,20.8,25.4,17.7,82,97,0.5,0.5,14.6,55,9.12,2.15,947.9,17.3,584.0,19.999998,73.8
MH-NSK,2020-12-13,20.6,25.6,17.7,82,96,0.3,0.3,7.6,54,9.18,1.94,946.9,17.2,584.0,19.999998,73.8
MH-NSK,2020-12-14,20.4,23.6,18.0,88,98,5.9,5.9,8.5,22,7.86,1.56,946.9,18.2,584.0,19.999998,73.8
MH-NSK,2020-12-15,20.9,27.0,16.4,82,100,0.1,0.1,12.2,344,13.46,2.8,948.4,17.2,584.0,19.999998,73.8
MH-NSK,2020-12-16,21.1,27.1,16.3,81,100,0.0,0.0,11.4,55,13.61,2.8,949.8,17.2,584.0,19.999998,73.8
MH-NSK,2020-12-17,20.9,26.8,16.8,77,98,0.0,0.0,11.9,71,15.63,3.05,950.2,16.4,584.0,19.999998,73.8
MH-NSK,2020-12-18,20.6,27.0,16.6,76,99,0.0,0.0,12.3,80,16.49,3.3,949.8,15.5,584.0,19.999998,73.8
