site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
MH-SLP,2020-12-01,26.0,31.1,21.0,58,86,0.0,0.0,16.3,86,16.16,4.68,962.0,16.3,469.0,17.68014,75.885765
MH-SLP,2020-12-02,25.2,31.6,19.0,45,73,0.0,0.0,16.9,80,18.58,5.54,960.9,11.2,469.0,17.68014,75.885765
MH-SLP,2020-12-03,24.9,31.8,18.2,40,67,0.0,0.0,13.4,85,18.88,5.34,960.2,8.7,469.0,17.68014,75.885765
MH-SLP,2020-12-04,25.1,32.2,18.6,38,59,0.0,0.0,14.3,82,18.68,5.73,959.3,8.4,469.0,17.68014,75.885765
MH-SLP,2020-12-05,25.0,32.0,17.8,35,61,0.0,0.0,15.3,81,18.9,5.87,959.8,6.9,469.0,17.68014,75.885765
MH-SLP,2020-12-06,24.8,31.5,17.6,35,58,0.0,0.0,17.7,88,18.8,6.24,961.0,7.3,469.0,17.68014,75.885765
MH-SLP,2020-12-07,25.3,32.1,18.0,44,71,0.0,0.0,19.9,83,18.38,5.98,962.5,11.2,469.0,17.68014,75.885765
MH-SLP,2020-12-08,26.2,32.0,20.4,41,61,0.0,0.0,16.8,105,18.22,5.9,962.5,11.2,469.0,17.68014,75.885765
MH-SLP,2020-12-09,26.0,31.6,19.7,41,62,0.0,0.0,16.8,110,16.92,5.74,961.4,10.7,469.0,17.68014,75.885765
MH-SLP,2020-12-10,26.4,31.7,21.2,37,54,0.0,0.0,15.5,126,17.24,5.89,960.7,10.3,469.0,17.68014,75.885765
MH-SLP,2020-12-11,26.1,30.9,20.9,44,66,0.0,0.0,18.8,139,15.54,5.01,960.7,12.4,469.0,17.68014,75.885765
