site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
MH-SNG,2020-12-01,24.1,29.2,19.3,67,94,0.0,0.0,14.6,83,15.7,3.79,952.2,17.1,556.0,16.836554,74.58373
MH-SNG,2020-12-02,22.6,29.3,16.7,60,89,0.0,0.0,16.3,71,18.93,4.43,951.0,13.7,556.0,16.836554,74.58373
MH-SNG,2020-12-03,22.1,29.7,16.1,54,73,0.0,0.0,12.6,82,19.17,4.5,950.1,11.7,556.0,16.836554,74.58373
MH-SNG,2020-12-04,22.0,29.8,16.5,58,79,0.0,0.0,11.7,81,19.0,4.42,949.3,12.8,556.0,16.836554,74.58373
MH-SNG,2020-12-05,21.8,29.7,16.7,53,75,0.0,0.0,11.6,74,19.16,4.55,949.6,11.0,556.0,16.836554,74.58373
MH-SNG,2020-12-06,21.3,29.5,14.9,49,75,0.0,0.0,14.4,95,19.25,4.76,950.8,9.6,556.0,16.836554,74.58373
MH-SNG,2020-12-07,23.8,30.0,18.4,56,78,0.0,0.0,16.9,90,17.93,4.64,952.3,14.2,556.0,16.836554,74.58373
MH-SNG,2020-12-08,24.4,29.5,20.1,64,81,0.0,0.0,18.3,116,15.08,3.94,952.6,16.9,556.0,16.836554,74.58373
MH-SNG,2020-12-09,23.7,28.8,20.4,76,95,3.6,3.6,16.9,98,12.61,3.0,951.5,19.0,556.0,16.836554,74.58373
MH-SNG,2020-12-10,24.3,30.2,20.1,60,85,0.0,0.0,11.8,126,17.16,4.16,950.7,15.6,556.0,16.836554,74.58373
MH-SNG,2020-12-11,23.6,28.8,19.6,55,80,0.0,0.0,11.1,118,13.63,3.3,950.9,13.7,556.0,16.836554,74.58373
MH-SNG,2020-12-12,24.1,30.0,19.3,49,75,0.0,0.0,13.3,128,17.53,4.28,950.4,12.3,556.0,16.836554,74.58373
MH-SNG,2020-12-13,23.4,29.7,18.1,53,75,0.0,0.0,11.8,133,17.64,4.09,949.4,12.7,556.0,16.836554,74.58373
MH-SNG,2020-12-14,24.1,30.4,19.5,56,79,0.0,0.0,12.0,123,16.95,4.01,949.4,14.2,556.0,16.836554,74.58373
