site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
MP-CHW,2020-12-01,19.4,27.0,13.8,63,86,0.0,0.0,8.9,7,17.03,3.43,939.2,11.7,685.0,22.038664,78.97013
MP-CHW,2020-12-02,18.8,27.0,12.4,51,81,0.0,0.0,9.9,354,17.24,3.83,938.1,7.4,685.0,22.038664,78.97013
MP-CHW,2020-12-03,18.5,27.2,11.8,52,72,0.0,0.0,10.4,2,17.35,3.74,937.3,7.3,685.0,22.038664,78.97013
MP-CHW,2020-12-04,18.5,26.9,11.6,52,79,0.0,0.0,8.9,344,17.19,3.55,936.3,7.4,685.0,22.038664,78.97013
MP-CHW,2020-12-05,19.3,27.2,12.1,48,69,0.0,0.0,10.0,256,17.05,3.55,937.0,7.1,685.0,22.038664,78.97013
MP-CHW,2020-12-06,19.4,27.4,12.2,52,77,0.0,0.0,8.7,243,16.95,3.55,938.4,8.4,685.0,22.038664,78.97013
MP-CHW,2020-12-07,19.7,27.7,13.1,55,77,0.0,0.0,8.0,296,16.68,3.33,939.8,9.5,685.0,22.038664,78.97013
MP-CHW,2020-12-08,19.7,27.4,12.8,56,80,0.0,0.0,8.3,296,16.77,3.37,939.8,9.7,685.0,22.038664,78.97013
MP-CHW,2020-12-09,19.7,26.9,13.3,60,83,0.0,0.0,9.5,297,16.48,3.25,938.5,10.9,685.0,22.038664,78.97013
MP-CHW,2020-12-10,20.2,26.8,15.1,61,84,0.0,0.0,9.0,334,14.97,3.06,937.8,11.9,685.0,22.038664,78.97013
MP-CHW,2020-12-11,20.9,26.8,14.1,57,84,0.0,0.0,11.2,59,15.69,3.38,938.0,11.6,685.0,22.038664,78.97013
MP-CHW,2020-12-12,19.5,22.6,16.3,67,86,0.6,0.6,8.8,18,4.19,1.39,938.0,13.2,685.0,22.038664,78.97013
MP-CHW,2020-12-13,19.1,23.4,16.3,77,91,0.8,0.8,8.5,61,7.08,1.59,936.8,14.7,685.0,22.038664,78.97013
MP-CHW,2020-12-14,19.4,24.1,16.8,79,95,4.5,4.5,8.3,122,8.96,1.94,937.0,15.3,685.0,22.038664,78.97013
MP-CHW,2020-12-15,19.9,24.8,16.2,75,95,0.2,0.2,11.5,148,11.22,2.34,938.6,15.1,685.0,22.038664,78.97013
MP-CHW,2020-12-16,19.6,25.2,15.7,79,94,1.4,1.4,12.0,31,13.67,2.73,939.8,15.5,685.0,22.038664,78.97013
MP-CHW,2020-12-17,17.9,24.4,13.7,81,100,0.0,0.0,13.2,358,13.85,2.67,940.0,14.1,685.0,22.038664,78.97013
MP-CHW,2020-12-18,16.7,24.1,11.8,72,94,0.0,0.0,12.0,330,16.33,3.19,939.4,10.8,685.0,22.038664,78.97013
