site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
MP-IND,2020-12-01,21.6,28.8,15.3,58,88,0.0,0.0,9.0,50,16.44,3.75,954.0,12.3,551.0,22.741652,75.858475
MP-IND,2020-12-02,20.5,28.3,13.7,54,83,0.0,0.0,9.7,71,16.59,3.85,952.9,9.8,551.0,22.741652,75.858475
MP-IND,2020-12-03,20.4,27.9,13.0,53,81,0.0,0.0,11.5,122,16.6,3.95,952.0,9.5,551.0,22.741652,75.858475
MP-IND,2020-12-04,20.8,28.6,13.8,47,72,0.0,0.0,10.9,154,16.65,3.98,950.8,8.1,551.0,22.741652,75.858475
MP-IND,2020-12-05,21.2,28.9,14.5,44,68,0.0,0.0,10.9,161,16.46,4.11,951.2,7.6,551.0,22.741652,75.858475
MP-IND,2020-12-06,21.4,29.1,14.7,48,72,0.0,0.0,10.1,171,16.41,3.72,952.8,9.1,551.0,22.741652,75.858475
MP-IND,2020-12-07,21.9,29.2,15.9,49,67,0.0,0.0,9.4,172,16.15,3.44,954.3,9.8,551.0,22.741652,75.858475
MP-IND,2020-12-08,22.0,28.8,16.3,50,70,0.0,0.0,10.2,153,16.11,3.97,954.2,10.5,551.0,22.741652,75.858475
MP-IND,2020-12-09,22.0,28.6,15.1,51,80,0.0,0.0,10.5,149,15.98,3.92,952.8,10.7,551.0,22.741652,75.858475
MP-IND,2020-12-10,22.8,28.2,17.4,49,69,0.0,0.0,13.2,152,14.27,3.96,952.0,11.1,551.0,22.741652,75.858475
MP-IND,2020-12-11,19.6,21.7,17.5,75,93,7.9,7.9,12.5,89,3.75,1.35,952.3,14.7,551.0,22.741652,75.858475
MP-IND,2020-12-12,18.4,20.8,17.0,88,96,8.7,8.7,11.0,145,4.73,1.07,952.2,16.4,551.0,22.741652,75.858475
MP-IND,2020-12-13,18.9,22.7,15.8,86,98,2.4,2.4,9.8,167,9.63,1.86,950.9,16.4,551.0,22.741652,75.858475
MP-IND,2020-12-14,19.2,23.6,16.3,90,98,3.6,3.6,11.6,131,8.69,1.67,951.0,17.4,551.0,22.741652,75.858475
MP-IND,2020-12-15,19.5,23.1,17.4,90,97,4.0,4.0,10.3,73,8.56,1.6,952.7,17.7,551.0,22.741652,75.858475
MP-IND,2020-12-16,18.6,22.0,15.8,87,98,0.5,0.5,11.0,44,9.01,1.75,954.6,16.4,551.0,22.741652,75.858475
MP-IND,2020-12-17,17.1,22.5,14.0,81,99,0.0,0.0,13.0,46,13.7,2.44,955.0,13.6,551.0,22.741652,75.858475
MP-IND,2020-12-18,16.0,22.6,10.7,72,86,0.0,0.0,10.8,51,15.94,2.94,954.3,10.7,551.0,22.741652,75.858475
MP-IND,2020-12-19,15.1,22.5,9.6,61,88,0.0,0.0,9.8,62,16.6,3.27,954.8,6.5,551.0,22.741652,75.858475
MP-IND,2020-12-20,15.3,23.7,9.2,59,81,0.0,0.0,11.0,81,15.82,3.35,955.2,6.3,551.0,22.741652,75.858475
MP-IND,2020-12-21,15.6,24.0,8.7,56,78,0.0,0.0,11.2,108,16.35,3.48,953.5,6.0,551.0,22.741652,75.858475
MP-IND,2020-12-22,16.8,24.7,9.8,56,81,0.0,0.0,10.3,130,16.41,3.53,951.9,7.0,551.0,22.741652,75.858475
MP-IND,2020-12-23,17.6,24.5,11.9,52,69,0.0,0.0,12.7,144,16.19,3.72,950.6,7.0,551.0,22.741652,75.858475
MP-IND,2020-12-24,18.3,25.3,12.9,51,66,0.0,0.0,12.2,133,16.04,3.73,950.4,7.5,551.0,22.741652,75.858475
MP-IND,2020-12-25,18.1,25.0,12.9,53,71,0.0,0.0,15.9,105,16.17,3.85,951.9,7.9,551.0,22.741652,75.858475
MP-IND,2020-12-26,18.4,25.6,12.6,55,70,0.0,0.0,13.2,132,15.98,3.7,952.0,8.6,551.0,22.741652,75.858475
MP-IND,2020-12-27,20.2,27.2,15.4,56,73,0.0,0.0,17.4,206,15.63,4.04,950.8,10.8,551.0,22.741652,75.858475
MP-IND,2020-12-28,15.5,22.0,10.5,52,88,0.0,0.0,14.0,15,16.63,3.55,951.5,4.4,551.0,22.741652,75.858475
MP-IND,2020-12-29,14.4,21.8,7.7,49,59,0.0,0.0,13.6,46,16.13,3.62,951.8,3.6,551.0,22.741652,75.858475
MP-IND,2020-12-30,15.7,22.4,10.4,62,77,0.0,0.0,14.1,51,14.48,3.2,952.4,8.3,551.0,22.741652,75.858475
MP-IND,2020-12-31,16.9,24.5,10.8,70,86,0.0,0.0,14.0,99,15.7,3.21,952.5,11.1,551.0,22.741652,75.858475
MP-IND,2021-01-01,19.7,25.5,14.0,65,88,0.0,0.0,18.7,132,15.72,3.74,951.9,12.5,551.0,22.741652,75.858475
MP-IND,2021-01-02,21.3,26.9,17.3,67,86,0.0,0.0,20.9,164,14.64,3.62,951.7,14.6,551.0,22.741652,75.858475
MP-IND,2021-01-03,21.4,26.4,15.9,70,99,0.0,0.0,18.8,157,14.72,3.48,950.3,15.3,551.0,22.741652,75.858475
MP-IND,2021-01-04,19.9,23.2,17.9,75,87,2.3,2.3,20.0,138,8.23,2.25,950.6,15.2,551.0,22.741652,75.858475
MP-IND,2021-01-05,19.7,24.0,16.1,73,82,0.1,0.1,18.2,151,12.26,2.85,951.5,14.6,551.0,22.741652,75.858475
MP-IND,2021-01-06,20.8,25.8,16.3,74,92,0.0,0.0,11.3,230,12.92,2.68,951.4,15.7,551.0,22.741652,75.858475
MP-IND,2021-01-07,20.6,26.2,16.2,79,98,0.1,0.1,13.3,94,13.13,2.74,950.2,16.5,551.0,22.741652,75.858475
MP-IND,2021-01-08,21.6,26.1,17.4,76,96,0.5,0.5,15.5,135,13.33,2.99,949.2,17.0,551.0,22.741652,75.858475
MP-IND,2021-01-09,20.5,24.1,18.5,88,98,8.9,8.9,11.1,106,8.3,1.67,950.4,18.2,551.0,22.741652,75.858475
MP-IND,2021-01-10,20.6,25.8,17.2,86,99,3.0,3.0,10.9,48,12.47,2.37,951.3,18.0,551.0,22.741652,75.858475
MP-IND,2021-01-11,20.8,26.6,17.0,84,100,0.0,0.0,10.4,53,14.95,2.85,952.4,17.6,551.0,22.741652,75.858475
MP-IND,2021-01-12,18.8,24.6,14.5,82,98,0.0,0.0,11.0,36,14.91,2.75,952.9,15.3,551.0,22.741652,75.858475
MP-IND,2021-01-13,16.0,23.1,10.1,58,84,0.0,0.0,10.2,54,17.43,3.5,951.9,7.1,551.0,22.741652,75.858475
MP-IND,2021-01-14,16.1,24.6,9.0,57,81,0.0,0.0,9.9,83,17.61,3.59,950.9,6.7,551.0,22.741652,75.858475
MP-IND,2021-01-15,18.6,26.8,10.9,55,75,0.0,0.0,14.2,130,16.54,3.81,949.6,9.2,551.0,22.741652,75.858475
MP-IND,2021-01-16,21.1,26.9,16.3,57,70,0.0,0.0,14.0,136,15.86,3.87,948.9,12.1,551.0,22.741652,75.858475
MP-IND,2021-01-17,22.8,28.1,18.5,58,67,0.0,0.0,20.5,145,16.11,4.35,949.6,13.9,551.0,22.741652,75.858475
MP-IND,2021-01-18,23.2,28.1,19.1,64,93,0.1,0.1,15.9,182,13.72,3.7,950.9,15.8,551.0,22.741652,75.858475
MP-IND,2021-01-19,21.1,28.7,16.2,67,95,0.0,0.0,13.7,308,16.42,3.7,950.5,13.9,551.0,22.741652,75.858475
MP-IND,2021-01-20,19.0,26.2,12.9,63,93,0.0,0.0,8.9,44,17.52,3.6,951.1,11.0,551.0,22.741652,75.858475
MP-IND,2021-01-21,18.3,26.4,11.4,54,85,0.0,0.0,10.6,82,18.07,3.84,951.1,7.9,551.0,22.741652,75.858475
MP-IND,2021-01-22,18.9,26.6,12.5,50,75,0.0,0.0,11.0,147,18.18,4.16,950.6,7.4,551.0,22.741652,75.858475
MP-IND,2021-01-23,19.9,28.4,12.8,58,85,0.0,0.0,16.1,244,17.83,4.18,950.0,10.6,551.0,22.741652,75.858475
MP-IND,2021-01-24,18.1,25.2,11.6,67,97,0.0,0.0,10.3,342,17.91,3.57,951.2,11.1,551.0,22.741652,75.858475
MP-IND,2021-01-25,17.0,23.8,10.8,62,87,0.0,0.0,13.7,37,18.2,3.71,952.7,9.3,551.0,22.741652,75.858475
MP-IND,2021-01-26,16.2,23.6,9.5,56,75,0.0,0.0,12.2,36,18.35,3.88,952.3,7.2,551.0,22.741652,75.858475
MP-IND,2021-01-27,15.1,23.0,7.8,54,80,0.0,0.0,12.8,46,18.87,3.86,952.2,5.3,551.0,22.741652,75.858475
MP-IND,2021-01-28,16.0,24.3,8.8,55,76,0.0,0.0,12.6,35,18.4,3.95,952.1,6.5,551.0,22.741652,75.858475
MP-IND,2021-01-29,14.7,22.1,8.2,52,86,0.0,0.0,14.9,44,19.44,3.96,953.7,3.8,551.0,22.741652,75.858475
MP-IND,2021-01-30,14.6,23.2,6.9,49,83,0.0,0.0,12.2,71,19.62,3.97,953.0,2.5,551.0,22.741652,75.858475
MP-IND,2021-01-31,16.4,24.7,9.3,44,60,0.0,0.0,9.8,90,19.16,4.0,953.0,3.5,551.0,22.741652,75.858475
MP-IND,2021-02-01,17.7,26.3,10.1,45,64,0.0,0.0,10.5,103,19.09,4.17,954.8,4.8,551.0,22.741652,75.858475
MP-IND,2021-02-02,19.3,27.6,12.2,44,64,0.0,0.0,12.3,157,19.3,4.56,954.5,5.7,551.0,22.741652,75.858475
MP-IND,2021-02-03,19.9,27.9,12.9,45,73,0.0,0.0,13.0,190,18.18,4.59,953.0,6.6,551.0,22.741652,75.858475
MP-IND,2021-02-04,20.9,27.4,15.7,43,59,0.0,0.0,17.8,225,15.44,4.18,952.5,7.3,551.0,22.741652,75.858475
MP-IND,2021-02-05,19.2,25.0,15.1,49,71,0.0,0.0,15.5,8,15.2,4.02,952.6,7.9,551.0,22.741652,75.858475
