site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
PB-JLD,2020-12-01,16.0,23.4,8.9,72,95,0.0,0.0,10.2,314,12.22,2.32,988.7,10.3,242.0,31.3181,75.62575
PB-JLD,2020-12-02,16.7,23.8,9.2,72,99,0.0,0.0,11.3,318,12.18,2.41,986.8,11.2,242.0,31.3181,75.62575
PB-JLD,2020-12-03,16.7,24.3,9.1,75,99,0.0,0.0,7.9,124,12.11,2.19,985.4,11.6,242.0,31.3181,75.62575
PB-JLD,2020-12-04,16.0,23.5,10.5,80,99,0.0,0.0,9.2,112,11.82,2.16,984.3,12.0,242.0,31.3181,75.62575
PB-JLD,2020-12-05,17.3,24.5,12.0,73,96,0.0,0.0,12.8,115,10.97,2.34,984.9,12.0,242.0,31.3181,75.62575
PB-JLD,2020-12-06,18.0,24.6,12.9,73,93,0.0,0.0,9.8,86,11.72,2.27,987.7,12.6,242.0,31.3181,75.62575
PB-JLD,2020-12-07,16.9,24.3,10.9,75,100,0.0,0.0,10.5,321,11.69,2.32,988.6,11.8,242.0,31.3181,75.62575
PB-JLD,2020-12-08,16.1,24.4,10.7,75,98,0.0,0.0,9.8,304,11.34,2.14,988.6,10.8,242.0,31.3181,75.62575
PB-JLD,2020-12-09,14.9,20.5,9.7,80,98,0.0,0.0,17.3,317,6.2,1.41,987.3,11.2,242.0,31.3181,75.62575
PB-JLD,2020-12-10,15.9,23.3,10.1,78,99,0.0,0.0,10.6,320,11.46,2.16,987.0,11.5,242.0,31.3181,75.62575
PB-JLD,2020-12-11,15.3,22.7,10.3,78,96,0.1,0.1,10.9,325,9.75,1.87,986.0,11.0,242.0,31.3181,75.62575
PB-JLD,2020-12-12,14.2,19.1,10.4,83,97,13.5,13.5,13.7,325,9.31,1.55,987.3,11.3,242.0,31.3181,75.62575
PB-JLD,2020-12-13,11.6,17.9,7.7,85,100,0.0,0.0,10.2,297,11.21,1.72,987.3,8.9,242.0,31.3181,75.62575
