site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
TN-OOT,2020-12-01,13.4,18.4,9.8,83,100,0.0,0.0,12.7,34,22.39,3.65,785.1,10.0,2235.0,11.42355,76.684494
TN-OOT,2020-12-02,13.4,17.9,8.3,84,100,3.1,3.1,11.7,42,16.13,2.64,784.1,10.6,2235.0,11.42355,76.684494
TN-OOT,2020-12-03,12.8,14.6,11.3,100,100,28.6,28.6,13.2,11,4.45,0.74,783.1,12.7,2235.0,11.42355,76.684494
TN-OOT,2020-12-04,13.4,15.6,12.6,99,100,39.0,39.0,15.2,36,5.94,0.97,782.6,13.3,2235.0,11.42355,76.684494
TN-OOT,2020-12-05,14.0,17.6,12.7,97,100,10.0,10.0,11.5,49,11.94,1.87,783.4,13.6,2235.0,11.42355,76.684494
TN-OOT,2020-12-06,14.1,17.1,12.4,99,100,16.4,16.4,13.7,64,11.1,1.68,784.2,13.9,2235.0,11.42355,76.684494
TN-OOT,2020-12-07,13.8,15.7,12.9,100,100,25.5,25.5,16.2,107,5.16,0.84,784.9,13.8,2235.0,11.42355,76.684494
TN-OOT,2020-12-08,14.2,17.2,12.6,96,100,6.3,6.3,17.1,138,16.51,2.46,785.9,13.5,2235.0,11.42355,76.684494
TN-OOT,2020-12-09,14.3,18.7,11.8,87,100,0.2,0.2,10.5,155,21.9,3.52,785.4,12.0,2235.0,11.42355,76.684494
TN-OOT,2020-12-10,14.1,18.3,10.3,89,100,1.9,1.9,6.6,143,18.23,3.12,785.2,12.1,2235.0,11.42355,76.684494
TN-OOT,2020-12-11,13.0,18.8,9.5,82,96,0.0,0.0,9.5,333,19.89,3.33,784.2,9.8,2235.0,11.42355,76.684494
TN-OOT,2020-12-12,13.1,18.7,8.2,65,89,0.0,0.0,10.1,324,22.02,3.86,783.9,6.1,2235.0,11.42355,76.684494
TN-OOT,2020-12-13,12.2,18.0,6.4,60,85,0.0,0.0,11.0,321,23.64,4.12,782.7,3.9,2235.0,11.42355,76.684494
TN-OOT,2020-12-14,12.2,18.1,7.2,68,98,0.0,0.0,9.9,331,20.83,3.5,782.7,5.9,2235.0,11.42355,76.684494
TN-OOT,2020-12-15,11.8,17.8,6.2,68,100,0.0,0.0,9.0,115,22.53,3.75,783.1,5.4,2235.0,11.42355,76.684494
TN-OOT,2020-12-16,13.4,17.9,9.5,95,100,5.2,5.2,11.4,108,16.67,2.61,785.2,12.5,2235.0,11.42355,76.684494
TN-OOT,2020-12-17,13.1,14.6,12.5,99,100,7.8,7.8,11.9,94,5.56,0.9,785.2,12.9,2235.0,11.42355,76.684494
TN-OOT,2020-12-18,13.5,17.7,11.2,91,100,3.0,3.0,14.0,100,17.74,2.76,785.1,12.0,2235.0,11.42355,76.684494
TN-OOT,2020-12-19,13.0,17.5,10.1,85,100,0.1,0.1,11.7,112,20.42,3.25,785.1,10.2,2235.0,11.42355,76.684494
TN-OOT,2020-12-20,11.3,17.4,6.9,74,99,0.0,0.0,10.0,140,22.95,3.72,783.8,6.2,2235.0,11.42355,76.684494
TN-OOT,2020-12-21,11.8,17.8,6.3,66,90,0.0,0.0,9.3,147,22.43,3.74,782.8,4.9,2235.0,11.42355,76.684494
TN-OOT,2020-12-22,13.4,18.6,9.6,87,100,2.9,2.9,8.4,144,16.33,2.75,783.7,11.1,2235.0,11.42355,76.684494
TN-OOT,2020-12-23,14.0,18.9,11.3,95,100,50.9,50.9,4.6,260,11.88,2.08,783.7,13.1,2235.0,11.42355,76.684494
TN-OOT,2020-12-24,14.0,18.2,10.2,94,100,13.8,13.8,10.9,316,14.94,2.44,783.0,13.0,2235.0,11.42355,76.684494
TN-OOT,2020-12-25,13.6,18.6,9.6,88,100,0.0,0.0,10.2,334,17.68,2.93,783.5,11.5,2235.0,11.42355,76.684494
TN-OOT,2020-12-26,12.3,18.5,7.7,73,95,0.0,0.0,10.3,342,23.32,3.88,783.1,7.0,2235.0,11.42355,76.684494
TN-OOT,2020-12-27,13.4,19.6,7.2,56,94,0.0,0.0,13.5,25,23.44,4.23,783.6,3.4,2235.0,11.42355,76.684494
TN-OOT,2020-12-28,13.6,18.0,8.8,56,79,0.6,0.6,8.0,42,14.4,2.81,783.5,4.7,2235.0,11.42355,76.684494
TN-OOT,2020-12-29,13.1,18.2,8.4,86,100,7.8,7.8,9.1,121,17.45,2.83,783.2,10.7,2235.0,11.42355,76.684494
TN-OOT,2020-12-30,14.5,19.8,11.5,89,100,1.0,1.0,10.5,129,20.47,3.38,784.2,12.5,2235.0,11.42355,76.684494
TN-OOT,2020-12-31,13.5,16.9,11.3,99,100,15.3,15.3,13.5,115,10.81,1.66,784.1,13.3,2235.0,11.42355,76.684494
TN-OOT,2021-01-01,12.4,18.0,8.4,83,100,0.1,0.1,7.9,142,21.99,3.59,783.3,9.1,2235.0,11.42355,76.684494
TN-OOT,2021-01-02,12.8,18.4,8.2,74,100,0.3,0.3,10.3,160,23.05,3.89,783.3,7.6,2235.0,11.42355,76.684494
TN-OOT,2021-01-03,13.8,17.3,11.4,95,100,11.5,11.5,13.5,146,14.59,2.26,783.6,12.9,2235.0,11.42355,76.684494
TN-OOT,2021-01-04,14.2,17.9,12.8,96,100,5.9,5.9,15.6,148,14.59,2.35,783.7,13.5,2235.0,11.42355,76.684494
TN-OOT,2021-01-05,14.4,18.0,12.4,94,100,8.1,8.1,8.7,130,17.88,2.89,784.4,13.5,2235.0,11.42355,76.684494
TN-OOT,2021-01-06,14.2,16.9,12.9,98,100,10.9,10.9,7.0,136,11.81,1.95,784.0,13.9,2235.0,11.42355,76.684494
TN-OOT,2021-01-07,14.7,18.2,12.9,97,100,16.9,16.9,8.0,126,13.37,2.28,783.2,14.1,2235.0,11.42355,76.684494
TN-OOT,2021-01-08,14.8,18.0,13.4,98,100,22.2,22.2,7.7,130,15.21,2.49,783.0,14.5,2235.0,11.42355,76.684494
TN-OOT,2021-01-09,14.6,17.8,12.8,96,100,4.9,4.9,8.3,132,14.56,2.4,783.3,14.0,2235.0,11.42355,76.684494
TN-OOT,2021-01-10,14.0,17.3,11.6,94,100,4.8,4.8,9.7,102,14.23,2.36,783.7,13.0,2235.0,11.42355,76.684494
TN-OOT,2021-01-11,13.2,16.4,11.7,94,100,6.8,6.8,9.5,74,7.91,1.38,784.0,12.2,2235.0,11.42355,76.684494
