site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
TS-KRM,2020-12-01,24.0,29.2,19.7,67,94,0.0,0.0,8.2,27,17.85,3.74,983.4,17.0,276.0,18.453426,79.1683
TS-KRM,2020-12-02,23.0,29.1,17.5,61,88,0.0,0.0,10.0,359,18.31,3.98,982.2,14.4,276.0,18.453426,79.1683
TS-KRM,2020-12-03,22.9,29.7,16.9,60,92,0.0,0.0,9.7,3,18.52,3.98,981.5,13.7,276.0,18.453426,79.1683
TS-KRM,2020-12-04,22.6,29.7,16.7,59,93,0.0,0.0,10.1,23,18.25,4.22,980.5,13.2,276.0,18.453426,79.1683
TS-KRM,2020-12-05,22.2,29.2,16.8,56,88,0.0,0.0,8.4,8,18.61,4.13,981.2,11.9,276.0,18.453426,79.1683
TS-KRM,2020-12-06,22.8,29.6,16.2,54,88,0.0,0.0,10.3,7,18.46,4.07,982.5,12.0,276.0,18.453426,79.1683
TS-KRM,2020-12-07,23.1,30.7,16.4,58,91,0.0,0.0,11.5,305,18.3,4.19,984.0,13.0,276.0,18.453426,79.1683
TS-KRM,2020-12-08,22.4,30.6,15.5,62,92,0.0,0.0,9.9,192,18.26,3.92,984.0,13.7,276.0,18.453426,79.1683
TS-KRM,2020-12-09,22.9,30.3,15.6,60,94,0.0,0.0,8.7,256,18.15,3.73,982.9,13.5,276.0,18.453426,79.1683
TS-KRM,2020-12-10,23.1,30.1,16.8,60,92,0.0,0.0,10.1,214,17.51,3.72,982.1,13.7,276.0,18.453426,79.1683
TS-KRM,2020-12-11,23.7,30.3,18.0,62,91,0.0,0.0,8.7,182,17.48,3.81,982.2,15.3,276.0,18.453426,79.1683
TS-KRM,2020-12-12,24.1,30.6,18.5,62,87,0.0,0.0,10.3,175,17.32,3.95,981.7,15.7,276.0,18.453426,79.1683
TS-KRM,2020-12-13,24.3,29.9,19.0,65,93,0.0,0.0,8.8,195,17.13,3.68,980.8,16.6,276.0,18.453426,79.1683
TS-KRM,2020-12-14,24.5,30.6,19.2,61,89,0.0,0.0,10.1,175,16.9,4.03,981.0,15.6,276.0,18.453426,79.1683
TS-KRM,2020-12-15,24.3,30.0,18.9,62,87,0.0,0.0,10.6,157,17.36,3.94,982.9,15.9,276.0,18.453426,79.1683
TS-KRM,2020-12-16,24.4,30.5,18.9,67,95,0.0,0.0,9.3,162,16.47,3.64,983.8,17.1,276.0,18.453426,79.1683
TS-KRM,2020-12-17,24.2,30.3,18.9,65,95,0.0,0.0,8.7,355,17.29,3.91,983.7,16.4,276.0,18.453426,79.1683
TS-KRM,2020-12-18,23.5,29.3,18.5,57,83,0.0,0.0,11.4,40,17.29,3.99,983.8,13.8,276.0,18.453426,79.1683
TS-KRM,2020-12-19,22.2,28.5,17.1,55,86,0.0,0.0,12.6,34,17.82,4.21,984.5,12.0,276.0,18.453426,79.1683
TS-KRM,2020-12-20,21.2,28.0,15.5,46,78,0.0,0.0,12.0,20,18.27,4.53,984.9,8.1,276.0,18.453426,79.1683
TS-KRM,2020-12-21,20.8,27.4,14.5,44,70,0.0,0.0,11.5,10,18.57,4.22,983.7,7.0,276.0,18.453426,79.1683
TS-KRM,2020-12-22,20.7,27.8,13.6,49,82,0.0,0.0,11.4,6,18.48,4.09,982.5,8.1,276.0,18.453426,79.1683
TS-KRM,2020-12-23,20.4,27.9,12.8,54,90,0.0,0.0,10.2,125,18.28,3.88,981.3,9.2,276.0,18.453426,79.1683
TS-KRM,2020-12-24,20.8,27.8,14.0,61,91,0.0,0.0,10.0,127,17.79,3.76,980.8,12.4,276.0,18.453426,79.1683
TS-KRM,2020-12-25,21.2,28.1,15.0,61,96,0.0,0.0,9.2,8,17.85,3.74,981.9,12.1,276.0,18.453426,79.1683
TS-KRM,2020-12-26,21.4,28.0,15.3,55,86,0.0,0.0,10.0,25,18.01,3.74,982.6,11.0,276.0,18.453426,79.1683
TS-KRM,2020-12-27,21.6,28.9,14.5,58,93,0.0,0.0,8.6,201,18.08,3.71,981.8,11.7,276.0,18.453426,79.1683
TS-KRM,2020-12-28,21.5,29.8,14.7,60,92,0.0,0.0,11.5,159,18.07,4.07,980.9,12.0,276.0,18.453426,79.1683
TS-KRM,2020-12-29,22.1,29.4,16.3,62,88,0.0,0.0,10.5,149,17.97,3.95,981.1,13.5,276.0,18.453426,79.1683
TS-KRM,2020-12-30,22.2,28.8,16.5,68,94,0.0,0.0,10.6,114,17.41,3.83,982.0,15.3,276.0,18.453426,79.1683
TS-KRM,2020-12-31,23.1,29.2,17.3,67,97,0.0,0.0,7.2,147,16.0,3.38,982.6,16.1,276.0,18.453426,79.1683
TS-KRM,2021-01-01,23.2,28.6,18.1,70,98,0.0,0.0,8.6,151,15.17,3.31,983.0,16.8,276.0,18.453426,79.1683
TS-KRM,2021-01-02,22.3,28.7,17.3,69,91,0.0,0.0,10.1,168,17.74,3.76,982.9,15.6,276.0,18.453426,79.1683
TS-KRM,2021-01-03,21.8,28.5,16.2,71,97,0.0,0.0,8.6,172,17.8,3.66,981.3,15.5,276.0,18.453426,79.1683
TS-KRM,2021-01-04,22.2,28.6,17.7,68,92,0.0,0.0,12.6,151,17.43,3.94,981.3,15.1,276.0,18.453426,79.1683
