site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
TS-NZB,2020-12-01,23.6,29.6,19.0,62,91,0.0,0.0,10.4,91,18.14,4.14,970.4,15.1,394.0,18.664322,78.076546
TS-NZB,2020-12-02,22.7,29.1,16.9,59,87,0.0,0.0,8.7,66,17.44,3.89,969.4,13.5,394.0,18.664322,78.076546
TS-NZB,2020-12-03,22.8,29.9,16.3,53,82,0.0,0.0,8.6,77,18.43,4.18,968.6,11.9,394.0,18.664322,78.076546
TS-NZB,2020-12-04,22.7,29.9,17.2,52,74,0.0,0.0,10.4,78,18.34,4.29,967.8,11.6,394.0,18.664322,78.076546
TS-NZB,2020-12-05,22.4,29.6,16.3,48,71,0.0,0.0,10.5,80,18.52,4.42,968.2,9.7,394.0,18.664322,78.076546
TS-NZB,2020-12-06,22.4,29.9,16.2,47,71,0.0,0.0,11.8,89,18.34,4.51,969.5,9.7,394.0,18.664322,78.076546
TS-NZB,2020-12-07,22.6,30.0,16.6,49,74,0.0,0.0,12.3,75,18.23,4.27,971.2,10.6,394.0,18.664322,78.076546
TS-NZB,2020-12-08,23.4,30.7,16.7,44,66,0.0,0.0,10.7,98,18.33,4.59,971.0,9.4,394.0,18.664322,78.076546
TS-NZB,2020-12-09,23.4,30.0,17.3,49,73,0.0,0.0,9.9,99,18.07,4.2,969.9,11.4,394.0,18.664322,78.076546
TS-NZB,2020-12-10,23.7,30.3,17.8,49,72,0.0,0.0,12.1,112,17.29,4.21,969.1,11.3,394.0,18.664322,78.076546
TS-NZB,2020-12-11,24.7,31.0,18.9,50,75,0.0,0.0,11.5,126,16.97,4.23,969.1,12.7,394.0,18.664322,78.076546
TS-NZB,2020-12-12,25.1,31.2,20.1,49,63,0.0,0.0,11.6,137,17.23,4.45,968.6,12.9,394.0,18.664322,78.076546
TS-NZB,2020-12-13,24.4,30.3,19.5,60,81,0.0,0.0,11.1,106,16.53,3.92,967.8,15.5,394.0,18.664322,78.076546
TS-NZB,2020-12-14,24.6,30.2,20.8,53,78,0.0,0.0,11.4,138,15.04,3.8,967.8,13.7,394.0,18.664322,78.076546
TS-NZB,2020-12-15,24.1,30.2,18.5,54,81,0.0,0.0,11.1,135,17.22,4.4,969.6,13.5,394.0,18.664322,78.076546
TS-NZB,2020-12-16,24.7,30.2,19.8,59,85,0.0,0.0,12.4,125,16.91,4.07,970.6,15.4,394.0,18.664322,78.076546
TS-NZB,2020-12-17,24.1,29.4,20.0,58,80,0.0,0.0,12.7,67,16.6,3.99,970.8,14.9,394.0,18.664322,78.076546
TS-NZB,2020-12-18,23.7,28.7,19.7,56,75,0.0,0.0,10.1,75,16.31,3.96,970.8,13.7,394.0,18.664322,78.076546
TS-NZB,2020-12-19,22.3,27.9,18.2,56,76,0.0,0.0,10.8,76,17.42,4.13,971.5,12.5,394.0,18.664322,78.076546
TS-NZB,2020-12-20,20.8,27.6,15.3,49,78,0.0,0.0,9.0,73,18.19,4.21,971.9,8.5,394.0,18.664322,78.076546
TS-NZB,2020-12-21,20.0,27.4,13.2,43,72,0.0,0.0,9.2,83,18.46,4.2,970.5,5.7,394.0,18.664322,78.076546
TS-NZB,2020-12-22,20.3,27.7,14.6,42,66,0.0,0.0,9.7,86,18.35,4.02,969.4,6.1,394.0,18.664322,78.076546
TS-NZB,2020-12-23,20.6,28.4,12.3,42,75,0.0,0.0,12.6,107,18.18,4.4,968.1,6.0,394.0,18.664322,78.076546
TS-NZB,2020-12-24,21.7,28.3,16.4,47,73,0.0,0.0,12.7,97,17.61,4.31,967.6,9.2,394.0,18.664322,78.076546
TS-NZB,2020-12-25,21.5,28.2,15.0,52,83,0.0,0.0,10.2,95,17.75,4.11,968.7,10.3,394.0,18.664322,78.076546
TS-NZB,2020-12-26,21.7,28.8,16.1,48,74,0.0,0.0,9.5,97,17.87,4.05,969.5,9.4,394.0,18.664322,78.076546
TS-NZB,2020-12-27,22.1,29.6,15.2,47,74,0.0,0.0,11.5,106,17.88,4.27,968.6,9.2,394.0,18.664322,78.076546
TS-NZB,2020-12-28,23.3,30.3,16.5,43,65,0.0,0.0,11.5,109,17.78,4.36,967.8,9.4,394.0,18.664322,78.076546
TS-NZB,2020-12-29,23.4,30.1,18.0,47,77,0.0,0.0,14.0,119,17.78,4.48,967.9,10.7,394.0,18.664322,78.076546
TS-NZB,2020-12-30,23.3,29.8,18.0,54,80,0.0,0.0,12.8,120,17.91,4.39,968.7,12.5,394.0,18.664322,78.076546
TS-NZB,2020-12-31,23.5,29.6,18.5,60,82,0.0,0.0,10.8,112,16.07,3.82,969.4,14.6,394.0,18.664322,78.076546
TS-NZB,2021-01-01,23.6,28.6,18.7,65,89,0.0,0.0,10.9,123,13.92,3.49,969.7,16.0,394.0,18.664322,78.076546
TS-NZB,2021-01-02,23.3,29.5,17.7,56,83,0.0,0.0,13.1,136,17.62,4.29,969.6,13.3,394.0,18.664322,78.076546
TS-NZB,2021-01-03,23.1,29.6,17.5,56,84,0.0,0.0,13.5,140,17.88,4.51,968.0,13.0,394.0,18.664322,78.076546
TS-NZB,2021-01-04,22.9,29.5,18.1,56,85,0.0,0.0,13.0,131,17.48,4.45,967.9,12.5,394.0,18.664322,78.076546
TS-NZB,2021-01-05,23.1,29.5,18.0,56,80,0.0,0.0,10.8,110,16.82,4.03,968.7,13.1,394.0,18.664322,78.076546
TS-NZB,2021-01-06,23.6,29.0,18.4,71,85,1.1,1.1,8.7,131,13.31,3.07,968.2,17.7,394.0,18.664322,78.076546
TS-NZB,2021-01-07,23.1,25.1,20.7,76,93,3.0,3.0,9.0,127,6.68,1.81,967.3,18.5,394.0,18.664322,78.076546
TS-NZB,2021-01-08,25.1,30.9,20.2,62,90,0.0,0.0,12.1,125,16.03,4.21,966.1,16.5,394.0,18.664322,78.076546
TS-NZB,2021-01-09,25.6,31.4,20.7,50,85,0.0,0.0,12.0,133,17.65,4.79,966.8,12.8,394.0,18.664322,78.076546
TS-NZB,2021-01-10,25.1,31.8,19.1,46,76,0.0,0.0,11.1,138,17.76,4.78,967.5,11.6,394.0,18.664322,78.076546
TS-NZB,2021-01-11,25.4,32.1,19.5,47,69,0.0,0.0,10.5,115,17.95,4.51,968.5,12.4,394.0,18.664322,78.076546
TS-NZB,2021-01-12,25.5,31.7,19.6,53,79,0.0,0.0,11.8,80,17.06,4.23,968.8,14.6,394.0,18.664322,78.076546
TS-NZB,2021-01-13,24.4,30.7,19.2,56,77,0.0,0.0,11.2,82,17.65,4.13,968.5,14.5,394.0,18.664322,78.076546
TS-NZB,2021-01-14,24.2,31.0,18.3,53,80,0.0,0.0,12.2,96,18.47,4.58,968.0,12.9,394.0,18.664322,78.076546
TS-NZB,2021-01-15,24.0,30.6,17.6,51,78,0.0,0.0,10.5,105,18.41,4.36,967.3,12.6,394.0,18.664322,78.076546
TS-NZB,2021-01-16,24.9,30.8,19.2,49,68,0.0,0.0,12.3,110,18.12,4.67,966.3,12.9,394.0,18.664322,78.076546
TS-NZB,2021-01-17,25.2,30.8,20.5,52,74,0.0,0.0,12.1,112,17.32,4.73,967.4,14.0,394.0,18.664322,78.076546
TS-NZB,2021-01-18,24.5,30.2,18.9,57,85,0.0,0.0,11.5,117,18.13,4.43,968.6,14.8,394.0,18.664322,78.076546
TS-NZB,2021-01-19,24.9,30.9,18.6,54,83,0.0,0.0,13.4,147,18.54,4.37,968.0,14.1,394.0,18.664322,78.076546
TS-NZB,2021-01-20,25.5,31.6,19.7,51,77,0.0,0.0,13.6,193,18.53,4.54,968.1,13.9,394.0,18.664322,78.076546
TS-NZB,2021-01-21,25.0,31.1,19.5,54,77,0.0,0.0,9.7,295,18.24,4.28,967.6,14.4,394.0,18.664322,78.076546
TS-NZB,2021-01-22,25.2,31.5,20.2,48,71,0.0,0.0,12.2,95,18.78,4.84,967.9,12.8,394.0,18.664322,78.076546
TS-NZB,2021-01-23,25.5,32.0,18.7,50,74,0.0,0.0,11.7,149,19.09,4.46,967.6,13.6,394.0,18.664322,78.076546
TS-NZB,2021-01-24,25.5,31.8,19.5,52,77,0.0,0.0,12.4,198,19.17,4.73,968.1,14.4,394.0,18.664322,78.076546
TS-NZB,2021-01-25,25.4,31.7,19.2,54,85,0.0,0.0,9.7,228,19.1,4.5,968.6,14.8,394.0,18.664322,78.076546
TS-NZB,2021-01-26,25.9,31.6,21.1,49,70,0.0,0.0,11.9,207,18.72,4.66,968.1,13.6,394.0,18.664322,78.076546
TS-NZB,2021-01-27,25.8,31.5,20.9,48,66,0.0,0.0,13.2,162,18.48,4.82,968.3,13.3,394.0,18.664322,78.076546
TS-NZB,2021-01-28,26.3,32.3,22.0,49,72,0.0,0.0,16.1,159,17.15,4.54,968.7,13.7,394.0,18.664322,78.076546
TS-NZB,2021-01-29,25.0,30.8,20.6,55,75,0.0,0.0,15.7,180,17.58,4.45,969.2,14.8,394.0,18.664322,78.076546
TS-NZB,2021-01-30,24.7,29.8,20.5,54,73,0.0,0.0,12.1,66,15.02,3.96,969.3,14.2,394.0,18.664322,78.076546
TS-NZB,2021-01-31,24.7,30.1,20.8,48,71,0.0,0.0,11.2,81,16.91,4.51,970.1,12.3,394.0,18.664322,78.076546
TS-NZB,2021-02-01,24.2,29.9,20.1,44,66,0.0,0.0,14.1,82,18.13,4.91,971.9,10.5,394.0,18.664322,78.076546
TS-NZB,2021-02-02,23.6,30.6,17.8,36,72,0.0,0.0,11.7,98,20.6,5.49,971.9,5.6,394.0,18.664322,78.076546
TS-NZB,2021-02-03,23.1,30.3,15.3,32,61,0.0,0.0,11.4,118,20.63,5.47,970.9,3.8,394.0,18.664322,78.076546
TS-NZB,2021-02-04,23.8,30.5,17.4,33,56,0.0,0.0,12.6,130,20.67,5.46,970.3,5.5,394.0,18.664322,78.076546
TS-NZB,2021-02-05,24.4,30.8,18.9,34,52,0.0,0.0,13.2,150,20.4,5.49,969.1,6.8,394.0,18.664322,78.076546
TS-NZB,2021-02-06,23.9,30.0,18.6,39,58,0.0,0.0,13.1,157,20.3,4.94,968.8,8.8,394.0,18.664322,78.076546
TS-NZB,2021-02-07,22.6,28.9,17.5,40,59,0.0,0.0,13.3,49,20.83,5.26,970.7,7.7,394.0,18.664322,78.076546
TS-NZB,2021-02-08,22.0,29.1,16.0,31,53,0.0,0.0,10.7,85,21.68,5.35,971.0,2.7,394.0,18.664322,78.076546
