site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
UK-DDN,2020-12-01,15.4,20.0,11.4,72,91,0.0,0.0,9.5,62,13.12,2.26,942.4,10.1,652.0,30.333918,77.97186
UK-DDN,2020-12-02,15.2,20.8,10.6,79,95,0.0,0.0,8.5,55,13.19,2.2,940.3,11.4,652.0,30.333918,77.97186
UK-DDN,2020-12-03,14.6,19.4,10.7,82,94,0.0,0.0,7.4,74,13.02,2.06,939.9,11.4,652.0,30.333918,77.97186
UK-DDN,2020-12-04,13.7,19.7,8.6,80,91,0.0,0.0,7.7,72,12.95,2.11,938.8,10.1,652.0,30.333918,77.97186
UK-DDN,2020-12-05,15.7,21.2,10.4,66,87,0.0,0.0,7.0,51,13.01,2.29,940.0,9.1,652.0,30.333918,77.97186
UK-DDN,2020-12-06,16.8,22.7,12.3,59,84,0.0,0.0,8.8,6,12.9,2.46,941.7,8.2,652.0,30.333918,77.97186
UK-DDN,2020-12-07,15.7,21.8,9.7,66,84,0.0,0.0,8.0,25,12.93,2.35,941.8,9.1,652.0,30.333918,77.97186
UK-DDN,2020-12-08,15.6,21.3,12.0,68,88,0.0,0.0,8.2,4,12.3,2.26,942.4,9.5,652.0,30.333918,77.97186
UK-DDN,2020-12-09,16.0,22.5,11.1,69,89,0.0,0.0,8.9,6,12.0,2.22,940.6,10.0,652.0,30.333918,77.97186
UK-DDN,2020-12-10,16.5,23.2,12.3,63,78,0.0,0.0,9.0,346,12.86,2.5,940.3,9.2,652.0,30.333918,77.97186
UK-DDN,2020-12-11,15.4,22.9,9.9,63,78,0.0,0.0,8.4,27,12.37,2.31,940.2,8.0,652.0,30.333918,77.97186
UK-DDN,2020-12-12,14.6,18.7,9.8,73,92,3.3,3.3,9.3,28,9.57,1.75,940.9,9.6,652.0,30.333918,77.97186
UK-DDN,2020-12-13,12.2,18.7,8.4,79,98,0.0,0.0,9.8,321,12.92,2.07,939.3,8.4,652.0,30.333918,77.97186
UK-DDN,2020-12-14,11.2,17.3,7.3,81,99,0.0,0.0,8.2,315,12.86,1.97,939.6,7.8,652.0,30.333918,77.97186
UK-DDN,2020-12-15,11.0,17.9,6.5,73,97,0.0,0.0,7.1,322,13.16,2.07,941.9,5.8,652.0,30.333918,77.97186
UK-DDN,2020-12-16,10.2,16.9,5.7,66,94,0.0,0.0,9.0,322,13.15,2.11,943.2,3.7,652.0,30.333918,77.97186
UK-DDN,2020-12-17,9.2,16.7,4.3,71,94,0.0,0.0,10.3,314,13.2,2.08,941.6,3.8,652.0,30.333918,77.97186
UK-DDN,2020-12-18,10.7,16.2,6.9,63,89,0.0,0.0,7.2,320,13.22,2.08,940.6,3.6,652.0,30.333918,77.97186
UK-DDN,2020-12-19,10.8,17.2,4.5,65,87,0.0,0.0,10.6,325,13.23,2.11,941.3,4.0,652.0,30.333918,77.97186
UK-DDN,2020-12-20,11.7,18.2,6.7,68,95,0.0,0.0,9.0,313,12.94,2.13,942.1,5.8,652.0,30.333918,77.97186
UK-DDN,2020-12-21,11.2,17.2,5.8,81,99,0.0,0.0,6.9,311,11.19,1.74,940.9,7.8,652.0,30.333918,77.97186
UK-DDN,2020-12-22,13.0,19.8,7.3,73,94,0.0,0.0,7.4,322,12.87,2.08,940.3,7.9,652.0,30.333918,77.97186
UK-DDN,2020-12-23,12.8,19.6,7.4,65,87,0.0,0.0,9.4,338,12.99,2.23,939.3,6.0,652.0,30.333918,77.97186
