site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
UK-NTL,2020-12-01,11.0,15.6,5.3,68,100,0.0,0.0,6.5,169,13.93,2.18,810.9,4.6,1938.0,29.420034,79.50346
UK-NTL,2020-12-02,9.8,15.4,5.3,71,100,0.0,0.0,5.9,188,14.0,2.13,808.3,4.1,1938.0,29.420034,79.50346
UK-NTL,2020-12-03,9.2,13.8,6.1,75,96,0.0,0.0,6.6,164,13.9,2.0,808.0,4.8,1938.0,29.420034,79.50346
UK-NTL,2020-12-04,7.9,13.4,3.7,80,100,0.0,0.0,6.5,166,13.76,1.98,806.5,4.1,1938.0,29.420034,79.50346
UK-NTL,2020-12-05,9.3,14.0,4.2,64,90,0.0,0.0,7.1,250,13.69,2.03,808.1,2.6,1938.0,29.420034,79.50346
UK-NTL,2020-12-06,9.9,15.7,4.1,59,83,0.0,0.0,8.5,315,13.7,2.2,809.7,1.7,1938.0,29.420034,79.50346
UK-NTL,2020-12-07,9.9,16.0,4.8,60,86,0.0,0.0,7.4,291,13.81,2.21,809.7,1.6,1938.0,29.420034,79.50346
UK-NTL,2020-12-08,11.3,15.9,8.2,54,75,0.0,0.0,6.9,299,13.63,2.22,810.9,2.3,1938.0,29.420034,79.50346
UK-NTL,2020-12-09,12.5,17.4,8.7,50,75,0.0,0.0,8.6,300,13.67,2.51,810.0,1.8,1938.0,29.420034,79.50346
UK-NTL,2020-12-10,12.3,17.0,9.2,46,68,0.0,0.0,9.7,312,13.81,2.59,809.7,0.1,1938.0,29.420034,79.50346
UK-NTL,2020-12-11,10.6,16.4,3.2,45,66,0.0,0.0,8.1,283,10.79,2.01,809.1,-1.6,1938.0,29.420034,79.50346
UK-NTL,2020-12-12,7.1,11.2,2.6,72,94,2.9,2.9,9.0,21,7.89,1.22,807.5,2.2,1938.0,29.420034,79.50346
UK-NTL,2020-12-13,7.5,12.5,3.3,72,90,0.0,0.0,6.9,23,13.86,1.95,805.7,2.4,1938.0,29.420034,79.50346
UK-NTL,2020-12-14,8.6,12.6,4.9,58,78,0.0,0.0,6.2,133,14.04,2.04,806.7,0.3,1938.0,29.420034,79.50346
UK-NTL,2020-12-15,7.8,11.8,5.4,44,82,0.0,0.0,5.8,145,14.01,2.16,808.4,-5.2,1938.0,29.420034,79.50346
UK-NTL,2020-12-16,6.0,10.6,1.7,50,92,0.0,0.0,6.6,158,13.95,2.03,808.4,-5.0,1938.0,29.420034,79.50346
UK-NTL,2020-12-17,7.2,12.3,1.8,48,76,0.0,0.0,6.6,300,14.12,2.03,807.3,-3.8,1938.0,29.420034,79.50346
UK-NTL,2020-12-18,8.9,13.2,3.5,31,60,0.0,0.0,6.9,333,14.3,2.26,806.9,-8.7,1938.0,29.420034,79.50346
UK-NTL,2020-12-19,8.7,14.4,1.9,38,61,0.0,0.0,6.5,334,14.21,2.32,807.5,-6.1,1938.0,29.420034,79.50346
UK-NTL,2020-12-20,10.7,16.0,6.0,36,53,0.0,0.0,7.6,348,14.07,2.43,809.3,-4.1,1938.0,29.420034,79.50346
UK-NTL,2020-12-21,10.4,14.2,7.1,46,66,0.0,0.0,4.3,138,10.85,1.73,808.6,-1.1,1938.0,29.420034,79.50346
UK-NTL,2020-12-22,8.9,15.0,3.9,56,92,0.0,0.0,5.0,318,13.01,1.93,807.5,-0.1,1938.0,29.420034,79.50346
UK-NTL,2020-12-23,9.4,14.3,6.1,51,88,0.0,0.0,5.9,207,13.94,2.05,807.0,-1.6,1938.0,29.420034,79.50346
UK-NTL,2020-12-24,8.0,12.7,3.5,50,83,0.0,0.0,7.2,231,13.99,2.04,806.2,-2.8,1938.0,29.420034,79.50346
UK-NTL,2020-12-25,8.2,14.3,2.9,39,62,0.0,0.0,5.2,34,14.05,2.06,806.7,-5.9,1938.0,29.420034,79.50346
UK-NTL,2020-12-26,10.9,15.4,4.8,36,81,0.0,0.0,5.9,217,14.02,2.24,808.0,-6.2,1938.0,29.420034,79.50346
UK-NTL,2020-12-27,7.4,13.0,3.3,40,67,0.0,0.0,7.1,139,14.26,2.04,804.9,-6.3,1938.0,29.420034,79.50346
UK-NTL,2020-12-28,4.6,7.9,1.4,73,91,2.3,2.3,9.0,131,9.81,1.31,804.9,-0.1,1938.0,29.420034,79.50346
UK-NTL,2020-12-29,5.8,10.0,1.7,67,100,0.0,0.0,6.6,146,13.87,1.86,806.0,-0.3,1938.0,29.420034,79.50346
UK-NTL,2020-12-30,4.8,9.9,0.1,67,91,0.0,0.0,7.4,124,12.74,1.72,806.2,-1.3,1938.0,29.420034,79.50346
UK-NTL,2020-12-31,8.3,14.4,2.1,43,67,0.0,0.0,4.8,71,13.95,2.04,807.8,-4.1,1938.0,29.420034,79.50346
UK-NTL,2021-01-01,8.2,12.9,3.4,42,76,0.0,0.0,5.8,129,14.48,2.16,808.0,-5.3,1938.0,29.420034,79.50346
UK-NTL,2021-01-02,8.7,14.0,1.0,44,69,0.0,0.0,6.0,330,11.97,1.94,808.7,-3.6,1938.0,29.420034,79.50346
UK-NTL,2021-01-03,9.0,13.2,6.2,68,87,3.6,3.6,8.7,59,8.39,1.4,808.9,3.1,1938.0,29.420034,79.50346
UK-NTL,2021-01-04,9.1,12.5,5.2,76,91,1.1,1.1,6.9,85,6.12,1.06,809.6,4.9,1938.0,29.420034,79.50346
UK-NTL,2021-01-05,9.3,13.6,5.5,73,94,2.4,2.4,8.4,108,9.58,1.56,810.0,4.4,1938.0,29.420034,79.50346
UK-NTL,2021-01-06,7.1,9.7,4.6,83,96,6.3,6.3,10.1,38,6.09,0.88,808.2,4.3,1938.0,29.420034,79.50346
UK-NTL,2021-01-07,9.2,14.0,4.2,62,85,0.0,0.0,6.0,166,14.31,2.1,807.0,2.0,1938.0,29.420034,79.50346
UK-NTL,2021-01-08,10.8,15.0,5.7,35,68,0.0,0.0,5.7,146,14.71,2.4,807.5,-5.0,1938.0,29.420034,79.50346
UK-NTL,2021-01-09,12.3,16.6,6.5,43,72,0.0,0.0,9.2,282,13.82,2.57,808.9,-1.1,1938.0,29.420034,79.50346
UK-NTL,2021-01-10,11.9,15.7,5.9,50,71,0.0,0.0,6.8,282,14.48,2.42,807.9,1.4,1938.0,29.420034,79.50346
UK-NTL,2021-01-11,11.9,16.8,5.8,35,60,0.0,0.0,7.9,5,15.44,2.52,807.0,-3.8,1938.0,29.420034,79.50346
UK-NTL,2021-01-12,9.9,15.1,3.7,48,82,0.0,0.0,6.2,337,15.68,2.36,805.9,-1.4,1938.0,29.420034,79.50346
UK-NTL,2021-01-13,8.2,13.4,3.6,62,93,0.0,0.0,6.0,59,15.54,2.26,804.4,0.5,1938.0,29.420034,79.50346
UK-NTL,2021-01-14,5.7,10.8,1.5,80,100,0.0,0.0,4.6,162,14.58,1.95,804.9,2.2,1938.0,29.420034,79.50346
UK-NTL,2021-01-15,6.7,11.5,3.5,78,100,0.0,0.0,5.7,160,13.96,1.91,804.6,2.8,1938.0,29.420034,79.50346
UK-NTL,2021-01-16,8.2,14.9,2.4,72,99,0.0,0.0,5.6,300,15.18,2.25,803.6,2.9,1938.0,29.420034,79.50346
UK-NTL,2021-01-17,6.8,11.2,2.9,76,100,0.0,0.0,6.2,163,13.28,1.82,806.1,2.6,1938.0,29.420034,79.50346
UK-NTL,2021-01-18,7.6,12.9,2.4,75,98,0.0,0.0,6.6,120,13.49,1.97,808.0,2.9,1938.0,29.420034,79.50346
UK-NTL,2021-01-19,8.3,13.0,4.5,63,97,0.0,0.0,9.2,309,15.14,2.24,805.3,1.1,1938.0,29.420034,79.50346
UK-NTL,2021-01-20,7.6,12.4,2.4,58,96,0.0,0.0,7.1,310,15.72,2.22,803.7,-1.3,1938.0,29.420034,79.50346
UK-NTL,2021-01-21,8.1,14.0,1.8,67,97,0.0,0.0,5.6,322,15.78,2.32,803.3,1.4,1938.0,29.420034,79.50346
UK-NTL,2021-01-22,7.1,12.3,2.6,76,100,0.0,0.0,6.0,168,15.41,2.13,805.6,2.8,1938.0,29.420034,79.50346
UK-NTL,2021-01-23,6.6,12.2,2.0,76,99,0.0,0.0,7.4,188,15.58,2.18,804.5,1.9,1938.0,29.420034,79.50346
UK-NTL,2021-01-24,6.5,10.7,2.1,65,100,0.0,0.0,9.3,178,14.79,2.02,805.6,-0.2,1938.0,29.420034,79.50346
UK-NTL,2021-01-25,5.5,10.6,1.2,76,100,0.0,0.0,6.9,179,15.87,2.13,806.1,1.1,1938.0,29.420034,79.50346
UK-NTL,2021-01-26,5.1,11.2,0.7,79,100,0.0,0.0,7.1,233,16.11,2.16,805.2,0.9,1938.0,29.420034,79.50346
UK-NTL,2021-01-27,6.2,12.6,0.1,59,100,0.0,0.0,7.4,216,16.91,2.42,805.6,-2.7,1938.0,29.420034,79.50346
UK-NTL,2021-01-28,5.2,10.8,-0.8,63,100,0.0,0.0,6.9,158,16.58,2.28,806.0,-2.3,1938.0,29.420034,79.50346
UK-NTL,2021-01-29,4.3,10.3,-0.6,75,100,0.7,0.7,8.4,210,16.36,2.16,805.2,-0.5,1938.0,29.420034,79.50346
UK-NTL,2021-01-30,5.8,11.0,0.2,66,95,0.0,0.0,8.2,245,16.78,2.25,804.8,-0.9,1938.0,29.420034,79.50346
UK-NTL,2021-01-31,5.1,10.9,0.4,70,99,0.0,0.0,8.4,223,16.04,2.13,805.8,-0.6,1938.0,29.420034,79.50346
UK-NTL,2021-02-01,6.6,12.9,0.3,68,90,0.0,0.0,8.2,291,16.79,2.39,808.3,0.5,1938.0,29.420034,79.50346
UK-NTL,2021-02-02,7.6,14.8,1.7,59,84,0.0,0.0,10.4,299,17.45,2.73,808.3,-1.7,1938.0,29.420034,79.50346
UK-NTL,2021-02-03,6.8,13.2,1.1,61,90,3.3,3.3,8.7,324,15.92,2.35,808.8,-0.9,1938.0,29.420034,79.50346
UK-NTL,2021-02-04,6.1,11.1,0.5,64,90,3.0,3.0,11.2,123,11.38,1.88,808.4,-0.8,1938.0,29.420034,79.50346
UK-NTL,2021-02-05,3.9,7.5,0.6,88,97,13.6,13.6,7.3,33,12.68,1.63,806.7,2.0,1938.0,29.420034,79.50346
UK-NTL,2021-02-06,4.6,10.2,-1.0,72,92,0.0,0.0,7.2,318,17.31,2.29,805.9,-0.4,1938.0,29.420034,79.50346
UK-NTL,2021-02-07,8.4,14.4,0.8,65,99,0.0,0.0,6.1,185,17.86,2.72,807.9,1.3,1938.0,29.420034,79.50346
UK-NTL,2021-02-08,8.8,15.0,4.2,73,93,0.0,0.0,6.3,240,17.72,2.64,808.5,3.8,1938.0,29.420034,79.50346
UK-NTL,2021-02-09,10.5,16.0,5.0,76,100,0.0,0.0,7.1,209,17.83,2.7,807.7,6.0,1938.0,29.420034,79.50346
UK-NTL,2021-02-10,8.8,14.0,4.3,65,99,0.0,0.0,10.6,233,17.58,2.61,806.3,2.0,1938.0,29.420034,79.50346
UK-NTL,2021-02-11,9.0,14.9,2.9,71,98,0.0,0.0,7.8,257,18.17,2.74,806.8,3.5,1938.0,29.420034,79.50346
UK-NTL,2021-02-12,8.9,13.7,4.4,78,100,0.0,0.0,8.4,182,17.23,2.48,807.7,4.9,1938.0,29.420034,79.50346
UK-NTL,2021-02-13,9.0,14.3,4.3,84,100,0.1,0.1,10.4,204,15.88,2.28,807.9,6.3,1938.0,29.420034,79.50346
UK-NTL,2021-02-14,8.5,13.4,4.3,86,100,2.6,2.6,7.6,176,15.22,2.21,807.4,5.9,1938.0,29.420034,79.50346
UK-NTL,2021-02-15,9.6,14.3,4.8,72,99,0.4,0.4,10.8,250,17.75,2.65,807.1,4.3,1938.0,29.420034,79.50346
UK-NTL,2021-02-16,9.8,14.0,6.4,50,69,0.5,0.5,9.4,232,18.3,2.89,807.0,-0.8,1938.0,29.420034,79.50346
UK-NTL,2021-02-17,8.9,13.1,4.8,53,72,1.5,1.5,8.9,223,16.43,2.5,808.0,-0.4,1938.0,29.420034,79.50346
UK-NTL,2021-02-18,8.7,12.7,5.2,57,67,2.3,2.3,6.5,204,16.66,2.42,810.1,0.5,1938.0,29.420034,79.50346
UK-NTL,2021-02-19,9.5,13.9,4.5,58,87,0.1,0.1,9.4,229,18.15,2.75,812.2,1.3,1938.0,29.420034,79.50346
UK-NTL,2021-02-20,9.6,14.7,4.7,64,91,0.0,0.0,10.5,201,19.36,2.93,811.5,2.7,1938.0,29.420034,79.50346
UK-NTL,2021-02-21,10.7,15.8,6.0,72,95,0.0,0.0,9.1,199,19.25,2.95,810.6,5.4,1938.0,29.420034,79.50346
UK-NTL,2021-02-22,11.4,17.2,6.5,77,100,0.0,0.0,7.9,223,19.13,3.02,809.6,7.0,1938.0,29.420034,79.50346
UK-NTL,2021-02-23,11.7,18.0,6.3,80,100,0.8,0.8,7.2,288,18.73,3.04,808.3,7.8,1938.0,29.420034,79.50346
UK-NTL,2021-02-24,12.9,18.6,7.8,53,87,0.0,0.0,11.2,307,19.97,3.59,807.7,2.5,1938.0,29.420034,79.50346
