site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
UP-AGR,2020-12-01,17.8,26.1,10.3,63,94,0.0,0.0,10.3,326,13.63,2.97,997.1,9.6,170.0,27.170473,77.973274
UP-AGR,2020-12-02,18.3,27.2,11.4,63,93,0.0,0.0,11.9,304,13.8,3.2,995.3,10.0,170.0,27.170473,77.973274
UP-AGR,2020-12-03,18.7,27.3,10.3,60,94,0.0,0.0,9.1,307,13.65,2.87,994.3,9.5,170.0,27.170473,77.973274
UP-AGR,2020-12-04,19.3,27.9,12.3,62,92,0.0,0.0,10.0,125,13.47,2.85,992.9,10.9,170.0,27.170473,77.973274
UP-AGR,2020-12-05,19.9,28.8,12.5,66,95,0.0,0.0,9.3,137,13.35,2.8,993.1,12.3,170.0,27.170473,77.973274
UP-AGR,2020-12-06,20.1,28.8,12.8,68,97,0.0,0.0,9.1,80,13.14,2.78,995.1,13.0,170.0,27.170473,77.973274
UP-AGR,2020-12-07,20.3,28.1,13.9,63,95,0.0,0.0,9.5,315,13.26,2.99,996.9,11.9,170.0,27.170473,77.973274
UP-AGR,2020-12-08,19.9,27.7,12.9,64,91,0.0,0.0,9.4,356,13.22,2.66,996.9,11.9,170.0,27.170473,77.973274
UP-AGR,2020-12-09,20.4,28.5,14.0,66,92,0.0,0.0,9.8,92,13.09,2.77,995.1,13.3,170.0,27.170473,77.973274
UP-AGR,2020-12-10,20.7,28.9,14.6,67,91,0.0,0.0,9.9,89,13.03,2.79,994.4,13.5,170.0,27.170473,77.973274
UP-AGR,2020-12-11,19.5,25.4,14.2,73,97,0.0,0.0,11.8,160,6.33,1.83,994.8,14.1,170.0,27.170473,77.973274
UP-AGR,2020-12-12,18.9,23.0,15.2,84,97,1.0,1.0,10.5,298,8.43,1.66,995.0,16.0,170.0,27.170473,77.973274
UP-AGR,2020-12-13,17.7,23.9,13.8,70,97,0.0,0.0,14.2,339,12.9,2.84,994.8,11.3,170.0,27.170473,77.973274
UP-AGR,2020-12-14,15.3,21.8,10.7,59,80,0.0,0.0,11.0,344,12.99,2.75,996.1,7.0,170.0,27.170473,77.973274
UP-AGR,2020-12-15,15.0,20.4,9.4,62,92,0.0,0.0,9.4,356,10.43,2.21,998.3,7.2,170.0,27.170473,77.973274
UP-AGR,2020-12-16,14.7,20.6,10.4,59,79,0.0,0.0,12.6,340,10.88,2.53,1000.1,6.5,170.0,27.170473,77.973274
UP-AGR,2020-12-17,11.5,17.5,7.5,61,86,0.0,0.0,16.3,310,13.83,2.65,999.9,3.3,170.0,27.170473,77.973274
UP-AGR,2020-12-18,11.7,18.9,6.3,59,85,0.0,0.0,13.4,300,13.66,2.68,998.4,3.3,170.0,27.170473,77.973274
UP-AGR,2020-12-19,12.8,21.1,6.7,58,77,0.0,0.0,13.0,294,13.54,2.82,998.8,4.1,170.0,27.170473,77.973274
UP-AGR,2020-12-20,13.4,22.0,6.5,64,88,0.0,0.0,12.2,298,13.42,2.72,999.0,5.9,170.0,27.170473,77.973274
UP-AGR,2020-12-21,14.1,21.2,7.2,66,87,0.0,0.0,9.2,303,12.69,2.43,997.2,7.3,170.0,27.170473,77.973274
UP-AGR,2020-12-22,14.8,22.1,9.5,72,93,0.0,0.0,9.4,314,9.96,1.92,995.9,9.3,170.0,27.170473,77.973274
UP-AGR,2020-12-23,14.7,22.8,7.2,69,97,0.0,0.0,10.4,360,13.49,2.45,994.8,8.3,170.0,27.170473,77.973274
UP-AGR,2020-12-24,14.5,23.3,8.1,66,92,0.0,0.0,11.2,9,13.62,2.64,995.1,6.9,170.0,27.170473,77.973274
UP-AGR,2020-12-25,14.0,22.2,8.2,68,91,0.0,0.0,9.9,326,13.53,2.59,996.4,7.4,170.0,27.170473,77.973274
UP-AGR,2020-12-26,14.1,22.7,7.4,68,91,0.0,0.0,10.0,302,13.31,2.57,995.7,7.6,170.0,27.170473,77.973274
UP-AGR,2020-12-27,15.3,23.9,7.0,64,94,0.0,0.0,13.9,123,13.22,2.86,993.4,7.5,170.0,27.170473,77.973274
UP-AGR,2020-12-28,14.5,19.9,9.5,43,76,0.0,0.0,18.4,339,13.96,3.66,995.6,0.9,170.0,27.170473,77.973274
UP-AGR,2020-12-29,11.4,18.5,5.4,61,90,0.0,0.0,15.0,325,13.92,2.68,997.1,3.5,170.0,27.170473,77.973274
UP-AGR,2020-12-30,10.7,18.0,5.7,70,95,0.0,0.0,10.8,324,13.85,2.35,998.6,4.7,170.0,27.170473,77.973274
UP-AGR,2020-12-31,10.7,18.2,5.1,72,98,0.0,0.0,10.3,324,13.92,2.28,998.1,5.0,170.0,27.170473,77.973274
UP-AGR,2021-01-01,12.2,20.2,5.0,69,100,0.0,0.0,9.6,77,13.21,2.39,997.2,5.7,170.0,27.170473,77.973274
UP-AGR,2021-01-02,14.9,20.9,10.4,71,85,1.1,1.1,11.6,107,7.03,1.74,996.1,9.4,170.0,27.170473,77.973274
UP-AGR,2021-01-03,16.6,21.6,12.8,84,95,6.8,6.8,14.2,94,9.05,1.79,994.3,13.7,170.0,27.170473,77.973274
UP-AGR,2021-01-04,18.5,25.0,14.6,81,95,0.9,0.9,14.8,104,11.54,2.35,995.2,15.0,170.0,27.170473,77.973274
UP-AGR,2021-01-05,19.1,24.6,14.6,77,96,0.0,0.0,13.1,117,11.31,2.44,995.1,14.7,170.0,27.170473,77.973274
UP-AGR,2021-01-06,18.2,22.1,15.4,85,95,5.3,5.3,12.2,60,9.27,1.71,994.6,15.5,170.0,27.170473,77.973274
UP-AGR,2021-01-07,16.8,22.0,12.8,82,98,0.0,0.0,10.9,335,13.55,2.38,994.4,13.5,170.0,27.170473,77.973274
UP-AGR,2021-01-08,15.0,19.5,10.3,87,97,9.7,9.7,10.7,29,8.85,1.53,994.1,12.7,170.0,27.170473,77.973274
UP-AGR,2021-01-09,16.6,21.7,12.7,84,97,0.0,0.0,13.1,334,12.19,2.18,994.7,13.6,170.0,27.170473,77.973274
UP-AGR,2021-01-10,15.0,20.2,10.8,74,95,0.0,0.0,14.6,317,11.69,2.3,995.3,10.1,170.0,27.170473,77.973274
UP-AGR,2021-01-11,12.1,18.2,8.2,76,94,0.0,0.0,15.8,307,14.59,2.36,996.2,7.8,170.0,27.170473,77.973274
UP-AGR,2021-01-12,11.9,19.5,5.7,75,96,0.0,0.0,12.5,299,14.65,2.48,996.5,7.1,170.0,27.170473,77.973274
UP-AGR,2021-01-13,11.3,19.4,5.5,74,94,0.0,0.0,10.9,286,14.92,2.5,995.6,6.3,170.0,27.170473,77.973274
UP-AGR,2021-01-14,11.6,19.6,5.3,77,97,0.0,0.0,10.7,46,14.37,2.34,995.8,7.1,170.0,27.170473,77.973274
UP-AGR,2021-01-15,11.5,19.6,5.0,83,100,0.0,0.0,10.5,94,12.56,2.02,994.2,8.2,170.0,27.170473,77.973274
UP-AGR,2021-01-16,12.8,20.2,6.5,83,99,0.0,0.0,10.4,338,13.94,2.27,992.8,9.6,170.0,27.170473,77.973274
UP-AGR,2021-01-17,13.4,21.4,7.4,78,99,0.0,0.0,14.8,88,14.58,2.65,994.7,9.0,170.0,27.170473,77.973274
UP-AGR,2021-01-18,14.7,19.8,11.8,81,95,1.1,1.1,15.0,90,10.09,1.88,995.5,11.2,170.0,27.170473,77.973274
UP-AGR,2021-01-19,15.2,22.1,9.7,81,100,0.0,0.0,10.3,324,14.49,2.53,993.5,11.6,170.0,27.170473,77.973274
UP-AGR,2021-01-20,14.9,21.6,10.4,82,97,0.0,0.0,13.0,301,15.14,2.55,994.1,11.4,170.0,27.170473,77.973274
UP-AGR,2021-01-21,14.8,22.5,9.2,70,93,0.0,0.0,12.9,285,15.62,2.85,993.4,8.8,170.0,27.170473,77.973274
UP-AGR,2021-01-22,14.5,22.8,7.5,73,95,0.0,0.0,10.3,103,15.36,2.81,994.3,8.9,170.0,27.170473,77.973274
UP-AGR,2021-01-23,14.8,22.9,9.2,77,97,0.0,0.0,12.3,121,15.14,2.73,992.8,10.3,170.0,27.170473,77.973274
UP-AGR,2021-01-24,14.5,20.9,9.3,81,99,0.0,0.0,12.1,345,13.37,2.32,995.0,11.0,170.0,27.170473,77.973274
UP-AGR,2021-01-25,11.8,18.0,7.0,76,95,0.0,0.0,10.8,323,15.95,2.56,997.5,7.1,170.0,27.170473,77.973274
UP-AGR,2021-01-26,11.5,18.1,6.1,79,95,0.0,0.0,9.8,296,13.91,2.26,997.3,7.6,170.0,27.170473,77.973274
UP-AGR,2021-01-27,12.7,19.6,6.5,70,95,0.0,0.0,11.5,309,16.19,2.73,997.0,6.7,170.0,27.170473,77.973274
UP-AGR,2021-01-28,11.7,19.0,5.4,76,98,0.0,0.0,11.0,336,16.23,2.66,997.6,7.1,170.0,27.170473,77.973274
UP-AGR,2021-01-29,11.9,18.9,6.1,75,96,0.0,0.0,12.2,307,16.37,2.72,998.2,7.0,170.0,27.170473,77.973274
UP-AGR,2021-01-30,12.4,20.1,6.4,68,90,0.0,0.0,12.5,285,16.69,2.97,996.8,6.0,170.0,27.170473,77.973274
UP-AGR,2021-01-31,13.3,21.2,7.0,65,87,0.0,0.0,10.3,296,16.77,2.89,997.3,6.0,170.0,27.170473,77.973274
UP-AGR,2021-02-01,15.1,23.1,6.8,67,94,0.0,0.0,10.2,196,16.53,3.0,998.7,8.1,170.0,27.170473,77.973274
UP-AGR,2021-02-02,16.1,24.7,7.9,67,93,0.0,0.0,9.5,227,16.62,3.1,997.2,9.2,170.0,27.170473,77.973274
UP-AGR,2021-02-03,17.7,25.8,10.3,67,91,0.0,0.0,13.2,122,15.74,3.41,995.6,10.8,170.0,27.170473,77.973274
UP-AGR,2021-02-04,19.0,24.7,14.1,64,89,0.0,0.0,22.7,109,13.19,3.33,995.3,11.6,170.0,27.170473,77.973274
UP-AGR,2021-02-05,15.9,21.8,12.0,76,99,0.9,0.9,15.8,339,16.61,3.02,996.8,11.2,170.0,27.170473,77.973274
UP-AGR,2021-02-06,15.0,21.1,10.3,72,97,0.0,0.0,14.3,313,17.08,3.12,997.7,9.2,170.0,27.170473,77.973274
UP-AGR,2021-02-07,14.9,22.4,9.4,71,92,0.0,0.0,14.5,304,17.36,3.26,997.8,9.2,170.0,27.170473,77.973274
UP-AGR,2021-02-08,15.9,23.5,8.8,70,94,0.0,0.0,11.2,293,17.38,3.25,997.6,9.6,170.0,27.170473,77.973274
UP-AGR,2021-02-09,17.1,25.9,9.4,67,95,0.0,0.0,10.5,274,17.58,3.45,994.7,9.9,170.0,27.170473,77.973274
UP-AGR,2021-02-10,18.5,26.7,11.7,67,90,0.0,0.0,9.4,153,16.53,3.43,992.9,11.5,170.0,27.170473,77.973274
UP-AGR,2021-02-11,17.6,26.3,10.1,72,100,0.0,0.0,10.9,329,18.03,3.57,993.4,11.4,170.0,27.170473,77.973274
UP-AGR,2021-02-12,17.0,24.5,11.6,76,96,0.0,0.0,10.6,7,13.04,2.53,994.7,12.0,170.0,27.170473,77.973274
UP-AGR,2021-02-13,17.6,25.8,10.5,73,99,0.0,0.0,10.6,359,17.75,3.42,994.9,11.7,170.0,27.170473,77.973274
UP-AGR,2021-02-14,18.0,26.4,11.3,72,96,0.0,0.0,10.6,62,18.04,3.42,994.4,12.0,170.0,27.170473,77.973274
UP-AGR,2021-02-15,19.7,28.3,12.5,67,91,0.0,0.0,10.2,127,17.45,3.58,992.6,12.3,170.0,27.170473,77.973274
UP-AGR,2021-02-16,19.7,28.0,14.3,67,93,0.8,0.8,16.5,118,16.71,3.44,992.1,12.9,170.0,27.170473,77.973274
UP-AGR,2021-02-17,19.5,27.3,12.1,66,97,0.0,0.0,9.9,7,18.24,3.69,993.8,12.0,170.0,27.170473,77.973274
