site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
UP-FRK,2020-12-01,17.0,24.8,10.2,70,91,0.0,0.0,10.4,326,13.21,2.6,998.6,10.7,155.0,27.38137,79.5419
UP-FRK,2020-12-02,17.9,25.4,11.8,71,95,0.0,0.0,12.8,297,13.11,2.75,996.5,12.0,155.0,27.38137,79.5419
UP-FRK,2020-12-03,17.9,25.7,11.5,70,93,0.0,0.0,10.0,334,13.06,2.68,996.0,11.7,155.0,27.38137,79.5419
UP-FRK,2020-12-04,18.3,25.6,13.6,73,93,0.0,0.0,9.4,101,12.95,2.45,995.0,12.8,155.0,27.38137,79.5419
UP-FRK,2020-12-05,18.1,25.9,12.1,77,97,0.0,0.0,9.8,113,12.74,2.54,995.5,13.4,155.0,27.38137,79.5419
UP-FRK,2020-12-06,19.4,26.8,12.8,73,96,0.0,0.0,9.0,129,12.68,2.45,997.0,13.8,155.0,27.38137,79.5419
UP-FRK,2020-12-07,18.6,26.3,12.8,74,96,0.0,0.0,10.6,298,12.75,2.67,998.1,13.4,155.0,27.38137,79.5419
UP-FRK,2020-12-08,18.4,25.6,11.8,75,96,0.0,0.0,9.0,317,12.71,2.52,998.6,13.5,155.0,27.38137,79.5419
UP-FRK,2020-12-09,18.9,26.6,11.8,75,98,0.0,0.0,8.4,284,12.65,2.55,996.8,13.9,155.0,27.38137,79.5419
UP-FRK,2020-12-10,19.5,27.6,12.1,73,97,0.0,0.0,11.9,300,12.73,2.7,996.0,14.0,155.0,27.38137,79.5419
UP-FRK,2020-12-11,19.6,26.5,12.8,76,98,0.0,0.0,10.2,258,9.04,2.0,996.5,14.8,155.0,27.38137,79.5419
UP-FRK,2020-12-12,18.5,23.2,14.4,83,96,0.3,0.3,9.1,282,8.94,1.73,996.7,15.3,155.0,27.38137,79.5419
UP-FRK,2020-12-13,17.7,23.7,13.8,71,96,0.0,0.0,17.6,317,12.71,2.81,995.9,11.8,155.0,27.38137,79.5419
UP-FRK,2020-12-14,14.6,21.2,10.5,65,90,0.0,0.0,12.5,321,12.85,2.6,997.4,7.5,155.0,27.38137,79.5419
UP-FRK,2020-12-15,13.6,20.4,8.5,72,96,0.0,0.0,10.3,335,11.97,2.18,999.6,8.1,155.0,27.38137,79.5419
UP-FRK,2020-12-16,13.9,20.3,10.1,64,90,0.0,0.0,13.6,319,11.42,2.45,1001.2,6.7,155.0,27.38137,79.5419
UP-FRK,2020-12-17,11.3,17.3,7.4,61,87,0.0,0.0,17.6,292,13.51,2.67,1000.6,3.5,155.0,27.38137,79.5419
UP-FRK,2020-12-18,11.0,17.7,6.3,64,85,0.0,0.0,15.3,285,13.22,2.46,999.4,4.2,155.0,27.38137,79.5419
UP-FRK,2020-12-19,11.9,19.6,6.9,62,80,0.0,0.0,15.6,287,13.23,2.67,999.9,4.4,155.0,27.38137,79.5419
UP-FRK,2020-12-20,11.7,18.7,5.7,72,92,0.0,0.0,11.0,314,13.06,2.2,1000.5,6.4,155.0,27.38137,79.5419
UP-FRK,2020-12-21,12.1,19.6,4.4,79,99,0.0,0.0,10.0,305,12.65,2.09,998.5,8.1,155.0,27.38137,79.5419
UP-FRK,2020-12-22,13.1,20.3,8.3,81,95,0.0,0.0,10.4,306,7.94,1.46,997.3,9.7,155.0,27.38137,79.5419
UP-FRK,2020-12-23,13.4,21.4,6.1,74,95,0.0,0.0,9.4,306,13.18,2.34,996.4,8.3,155.0,27.38137,79.5419
UP-FRK,2020-12-24,13.1,21.5,6.4,76,96,0.0,0.0,11.5,312,13.14,2.37,996.6,8.4,155.0,27.38137,79.5419
UP-FRK,2020-12-25,13.6,21.5,7.9,68,91,0.0,0.0,15.3,305,13.22,2.67,997.6,7.0,155.0,27.38137,79.5419
UP-FRK,2020-12-26,14.0,21.1,8.0,68,90,0.0,0.0,12.3,281,13.06,2.43,997.4,7.8,155.0,27.38137,79.5419
UP-FRK,2020-12-27,13.4,20.8,5.6,75,98,0.0,0.0,9.3,113,13.08,2.2,995.6,8.6,155.0,27.38137,79.5419
