site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
UP-LKO,2020-12-01,17.6,25.6,10.9,68,94,0.0,0.0,9.2,303,13.34,2.74,1002.9,10.6,117.0,26.81898,80.93023
UP-LKO,2020-12-02,18.0,25.6,12.2,74,95,0.0,0.0,11.8,296,13.19,2.79,1000.8,12.5,117.0,26.81898,80.93023
UP-LKO,2020-12-03,18.4,26.3,12.1,73,98,0.0,0.0,9.2,305,13.11,2.65,1000.3,12.7,117.0,26.81898,80.93023
UP-LKO,2020-12-04,18.6,25.9,13.3,72,98,0.0,0.0,9.0,358,13.12,2.66,999.4,12.7,117.0,26.81898,80.93023
UP-LKO,2020-12-05,18.6,26.4,12.4,73,96,0.0,0.0,8.4,67,12.98,2.48,1000.0,12.8,117.0,26.81898,80.93023
UP-LKO,2020-12-06,19.3,27.4,13.5,73,95,0.0,0.0,9.4,34,12.81,2.58,1001.4,13.5,117.0,26.81898,80.93023
UP-LKO,2020-12-07,19.4,26.9,13.4,75,97,0.0,0.0,9.7,300,12.92,2.7,1002.4,14.2,117.0,26.81898,80.93023
UP-LKO,2020-12-08,19.0,26.4,13.0,76,100,0.0,0.0,9.7,312,12.83,2.61,1003.0,14.0,117.0,26.81898,80.93023
UP-LKO,2020-12-09,18.8,26.6,12.2,78,99,0.0,0.0,10.5,299,12.84,2.63,1001.1,14.3,117.0,26.81898,80.93023
UP-LKO,2020-12-10,19.3,27.6,12.7,77,98,0.0,0.0,12.4,305,12.97,2.78,1000.3,14.3,117.0,26.81898,80.93023
UP-LKO,2020-12-11,19.6,26.1,13.3,79,99,0.0,0.0,11.0,259,8.3,1.94,1000.8,15.3,117.0,26.81898,80.93023
UP-LKO,2020-12-12,19.7,25.3,15.2,78,96,0.3,0.3,12.8,280,10.15,2.26,1000.9,15.4,117.0,26.81898,80.93023
UP-LKO,2020-12-13,18.7,24.9,15.2,71,98,0.0,0.0,18.0,307,12.8,2.89,999.8,12.5,117.0,26.81898,80.93023
UP-LKO,2020-12-14,16.3,22.6,11.7,62,84,0.0,0.0,13.2,311,12.66,2.78,1001.4,8.5,117.0,26.81898,80.93023
UP-LKO,2020-12-15,15.7,21.9,11.3,63,83,0.0,0.0,8.4,336,10.74,2.28,1003.7,8.3,117.0,26.81898,80.93023
UP-LKO,2020-12-16,16.1,22.3,12.6,59,77,0.0,0.0,13.1,319,10.81,2.71,1005.0,7.7,117.0,26.81898,80.93023
UP-LKO,2020-12-17,12.7,18.4,8.5,55,77,0.0,0.0,16.3,288,13.55,3.02,1004.5,3.4,117.0,26.81898,80.93023
UP-LKO,2020-12-18,11.2,17.9,6.4,67,90,0.0,0.0,13.5,278,13.28,2.41,1003.7,4.9,117.0,26.81898,80.93023
