site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
UP-VNS,2020-12-01,18.1,25.8,11.2,66,94,0.0,0.0,10.5,265,14.32,2.88,1007.0,10.9,81.0,25.342705,82.98701
UP-VNS,2020-12-02,18.6,25.8,13.0,70,94,0.0,0.0,9.6,259,14.09,2.96,1005.0,12.4,81.0,25.342705,82.98701
UP-VNS,2020-12-03,19.2,26.2,13.4,73,96,0.0,0.0,10.1,273,13.95,2.82,1004.6,13.6,81.0,25.342705,82.98701
UP-VNS,2020-12-04,19.6,26.5,12.9,70,96,0.0,0.0,8.8,276,14.04,2.78,1003.5,13.4,81.0,25.342705,82.98701
UP-VNS,2020-12-05,19.6,26.6,12.3,69,95,0.0,0.0,8.1,259,13.96,2.76,1004.3,13.1,81.0,25.342705,82.98701
UP-VNS,2020-12-06,20.6,27.4,14.6,70,95,0.0,0.0,9.2,227,13.79,2.78,1005.5,14.3,81.0,25.342705,82.98701
UP-VNS,2020-12-07,19.9,27.6,13.9,76,95,0.0,0.0,10.9,282,13.7,2.89,1006.5,15.1,81.0,25.342705,82.98701
UP-VNS,2020-12-08,19.7,26.4,13.6,79,97,0.0,0.0,9.2,279,13.51,2.62,1007.0,15.6,81.0,25.342705,82.98701
UP-VNS,2020-12-09,19.7,26.4,14.9,77,95,0.0,0.0,10.3,266,13.75,2.77,1005.4,15.1,81.0,25.342705,82.98701
UP-VNS,2020-12-10,19.8,26.9,13.7,76,98,0.0,0.0,10.9,261,13.69,2.8,1004.6,14.9,81.0,25.342705,82.98701
UP-VNS,2020-12-11,19.9,26.4,13.6,80,99,0.0,0.0,9.0,286,11.81,2.39,1005.1,16.0,81.0,25.342705,82.98701
UP-VNS,2020-12-12,20.6,24.7,17.5,81,97,0.1,0.1,10.9,272,8.88,2.02,1004.9,16.9,81.0,25.342705,82.98701
UP-VNS,2020-12-13,20.3,25.1,16.8,79,95,2.2,2.2,14.4,272,11.45,2.49,1003.8,16.2,81.0,25.342705,82.98701
UP-VNS,2020-12-14,19.2,23.9,15.1,66,90,0.0,0.0,9.0,292,11.11,2.47,1005.4,12.1,81.0,25.342705,82.98701
UP-VNS,2020-12-15,18.4,22.4,15.0,72,88,1.4,1.4,7.7,284,7.88,1.64,1007.5,13.0,81.0,25.342705,82.98701
UP-VNS,2020-12-16,17.1,19.3,14.8,78,88,4.3,4.3,12.1,297,8.95,1.76,1008.6,13.1,81.0,25.342705,82.98701
UP-VNS,2020-12-17,15.7,21.3,11.9,64,91,0.0,0.0,18.4,277,13.7,2.99,1008.3,8.3,81.0,25.342705,82.98701
UP-VNS,2020-12-18,12.9,18.6,8.7,64,90,0.0,0.0,15.5,270,14.31,2.69,1008.2,6.0,81.0,25.342705,82.98701
UP-VNS,2020-12-19,13.0,19.8,8.4,71,92,0.0,0.0,11.8,268,14.14,2.56,1008.9,7.2,81.0,25.342705,82.98701
UP-VNS,2020-12-20,13.0,19.8,7.1,73,93,0.0,0.0,9.4,277,13.98,2.42,1009.0,7.8,81.0,25.342705,82.98701
UP-VNS,2020-12-21,13.0,19.8,7.6,78,95,0.0,0.0,10.2,274,13.66,2.29,1007.1,8.8,81.0,25.342705,82.98701
UP-VNS,2020-12-22,14.2,21.2,8.8,79,96,0.0,0.0,10.0,267,13.8,2.36,1005.8,10.3,81.0,25.342705,82.98701
UP-VNS,2020-12-23,14.7,21.9,9.4,81,98,0.0,0.0,9.2,261,13.89,2.35,1005.1,11.2,81.0,25.342705,82.98701
UP-VNS,2020-12-24,15.2,22.7,9.0,78,99,0.0,0.0,10.5,281,13.95,2.49,1004.9,11.0,81.0,25.342705,82.98701
UP-VNS,2020-12-25,15.0,23.0,9.1,69,93,0.0,0.0,12.4,277,14.2,2.82,1005.9,8.6,81.0,25.342705,82.98701
UP-VNS,2020-12-26,14.4,21.7,9.7,72,92,0.0,0.0,11.9,267,14.17,2.66,1006.4,8.9,81.0,25.342705,82.98701
UP-VNS,2020-12-27,14.8,21.8,8.0,70,94,0.0,0.0,9.4,275,14.17,2.54,1004.9,8.9,81.0,25.342705,82.98701
UP-VNS,2020-12-28,16.0,23.1,9.4,69,97,0.0,0.0,9.4,80,12.5,2.46,1004.3,9.7,81.0,25.342705,82.98701
UP-VNS,2020-12-29,15.8,22.4,10.3,71,92,0.0,0.0,9.3,282,13.86,2.58,1005.8,10.3,81.0,25.342705,82.98701
UP-VNS,2020-12-30,15.0,21.3,9.6,74,95,0.0,0.0,8.0,285,10.91,2.07,1007.6,10.0,81.0,25.342705,82.98701
UP-VNS,2020-12-31,14.6,21.5,10.0,68,86,0.0,0.0,10.6,285,13.92,2.65,1007.7,8.4,81.0,25.342705,82.98701
UP-VNS,2021-01-01,14.5,21.7,7.9,65,87,0.0,0.0,8.7,334,14.05,2.57,1007.9,7.6,81.0,25.342705,82.98701
UP-VNS,2021-01-02,16.5,23.1,11.8,71,90,0.0,0.0,8.8,15,13.75,2.39,1006.9,10.8,81.0,25.342705,82.98701
UP-VNS,2021-01-03,18.0,25.0,12.4,74,95,0.0,0.0,8.6,93,11.82,2.34,1005.0,12.9,81.0,25.342705,82.98701
UP-VNS,2021-01-04,18.8,26.1,13.3,75,95,0.0,0.0,9.2,76,12.67,2.6,1005.5,13.8,81.0,25.342705,82.98701
UP-VNS,2021-01-05,19.2,22.8,15.4,75,89,0.0,0.0,6.5,42,5.77,1.33,1006.0,14.5,81.0,25.342705,82.98701
UP-VNS,2021-01-06,19.6,25.3,15.7,80,95,0.0,0.0,9.7,272,6.81,1.51,1003.8,15.7,81.0,25.342705,82.98701
UP-VNS,2021-01-07,20.1,27.5,15.2,75,94,0.0,0.0,10.9,271,14.26,2.95,1002.8,14.9,81.0,25.342705,82.98701
UP-VNS,2021-01-08,19.6,26.1,14.4,79,97,0.0,0.0,8.8,291,13.98,2.67,1003.5,15.6,81.0,25.342705,82.98701
UP-VNS,2021-01-09,19.1,22.9,15.9,72,90,0.0,0.0,11.3,275,5.71,1.74,1003.6,13.7,81.0,25.342705,82.98701
UP-VNS,2021-01-10,21.4,26.8,18.0,72,88,0.0,0.0,16.0,266,13.19,3.21,1003.1,16.0,81.0,25.342705,82.98701
UP-VNS,2021-01-11,18.1,23.5,13.4,72,93,0.0,0.0,16.4,276,14.41,2.98,1005.0,12.7,81.0,25.342705,82.98701
UP-VNS,2021-01-12,13.4,19.6,8.7,65,89,0.0,0.0,15.3,278,15.32,2.82,1006.4,6.4,81.0,25.342705,82.98701
UP-VNS,2021-01-13,13.3,20.3,7.8,70,95,0.0,0.0,12.4,268,15.06,2.76,1005.7,7.4,81.0,25.342705,82.98701
