site_id,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,surface_pressure_mean,dew_point_2m_mean,elevation_m,lat,lon
WB-HGL,2020-12-01,21.4,27.8,16.0,68,93,0.0,0.0,8.9,335,15.14,3.2,1014.0,14.7,12.0,22.882248,88.40459
WB-HGL,2020-12-02,21.6,28.4,15.5,68,95,0.0,0.0,9.0,316,14.93,3.21,1012.3,14.9,12.0,22.882248,88.40459
WB-HGL,2020-12-03,21.7,28.3,15.4,66,96,0.0,0.0,9.6,306,15.0,3.06,1012.0,14.1,12.0,22.882248,88.40459
WB-HGL,2020-12-04,22.0,28.3,16.4,68,94,0.0,0.0,8.8,289,14.41,3.03,1011.1,15.3,12.0,22.882248,88.40459
WB-HGL,2020-12-05,21.9,28.4,16.0,68,96,0.0,0.0,10.2,280,14.65,3.12,1012.1,15.0,12.0,22.882248,88.40459
WB-HGL,2020-12-06,22.1,28.7,15.8,70,99,0.0,0.0,10.0,271,14.48,3.01,1013.5,15.7,12.0,22.882248,88.40459
WB-HGL,2020-12-07,21.7,29.3,16.3,75,98,0.0,0.0,10.1,317,14.55,3.05,1014.4,16.3,12.0,22.882248,88.40459
WB-HGL,2020-12-08,21.8,28.4,16.9,77,97,0.0,0.0,7.7,24,13.94,2.86,1014.1,17.0,12.0,22.882248,88.40459
WB-HGL,2020-12-09,21.4,26.9,16.7,75,99,0.0,0.0,10.3,2,14.21,2.96,1012.9,16.3,12.0,22.882248,88.40459
WB-HGL,2020-12-10,20.8,26.7,15.9,79,100,0.0,0.0,9.0,28,13.78,2.77,1012.4,16.6,12.0,22.882248,88.40459
WB-HGL,2020-12-11,19.7,25.8,15.6,83,100,0.0,0.0,8.7,21,13.74,2.65,1012.9,16.3,12.0,22.882248,88.40459
WB-HGL,2020-12-12,20.0,25.7,15.3,80,100,0.0,0.0,13.8,4,13.5,2.67,1012.2,16.1,12.0,22.882248,88.40459
WB-HGL,2020-12-13,21.2,26.5,15.7,79,100,0.0,0.0,10.2,342,13.21,2.67,1011.1,17.1,12.0,22.882248,88.40459
WB-HGL,2020-12-14,21.3,26.3,17.3,78,98,0.0,0.0,11.0,24,13.64,2.79,1012.6,16.9,12.0,22.882248,88.40459
WB-HGL,2020-12-15,21.4,26.6,17.6,74,94,0.0,0.0,10.5,8,13.41,2.87,1014.4,16.1,12.0,22.882248,88.40459
WB-HGL,2020-12-16,21.8,26.9,18.1,68,88,0.0,0.0,9.0,4,13.72,3.04,1015.0,15.2,12.0,22.882248,88.40459
WB-HGL,2020-12-17,20.6,26.2,17.0,72,90,0.0,0.0,10.1,10,13.72,2.91,1014.2,15.1,12.0,22.882248,88.40459
