class_name,n,sites,temp_C,rh_pct,rain_mm,lwd_h,vpd
Strawberry___healthy,440,6,12.87,71.28,3.11,7.71,0.46
Cherry_(including_sour)___healthy,854,6,15.25,59.14,3.76,5.28,0.77
Strawberry___Leaf_scorch,1094,6,16.52,83.6,5.41,12.64,0.31
Potato___Late_blight,972,7,16.74,78.2,2.06,10.73,0.44
Apple___Apple_scab,630,8,17.16,77.08,9.6,13.34,0.46
Potato___healthy,152,7,17.41,65.0,0.77,5.12,0.78
Raspberry___healthy,371,6,17.65,51.13,1.92,3.37,1.04
Apple___healthy,1645,8,17.71,53.52,1.35,2.43,0.99
Apple___Cedar_apple_rust,275,8,18.12,72.17,7.87,10.86,0.59
Peach___healthy,360,4,18.25,54.62,1.27,3.23,1.07
Blueberry___healthy,1502,3,18.43,67.04,4.49,8.48,0.77
Cherry_(including_sour)___Powdery_mildew,1052,6,20.36,74.26,2.36,9.68,0.64
Apple___Black_rot,621,8,20.4,76.6,5.99,11.75,0.56
Potato___Early_blight,996,7,21.33,74.3,1.23,8.95,0.67
Peach___Bacterial_spot,2297,4,22.17,71.72,9.66,10.64,0.78
Grape___healthy,407,5,22.67,57.9,0.16,2.25,1.17
Tomato___Late_blight,1909,12,22.94,84.37,8.46,13.55,0.45
Grape___Black_rot,1172,5,23.74,74.94,3.22,10.16,0.74
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1060,5,23.84,73.96,3.44,10.39,0.78
Tomato___Leaf_Mold,952,12,24.6,81.95,4.27,11.45,0.57
Tomato___Septoria_leaf_spot,1771,12,24.64,82.94,8.07,13.06,0.54
Grape___Esca_(Black_Measles),1359,5,24.7,57.15,0.25,2.97,1.36
"Pepper,_bell___healthy",1478,7,24.74,76.43,3.22,9.0,0.77
Corn_(maize)___Northern_Leaf_Blight,985,12,25.22,83.14,11.02,13.25,0.55
Corn_(maize)___Common_rust_,1192,12,25.26,82.15,9.84,12.64,0.58
Tomato___Tomato_mosaic_virus,373,12,25.62,80.28,6.54,11.82,0.67
Orange___Haunglongbing_(Citrus_greening),5507,3,25.81,82.01,7.7,12.33,0.63
Tomato___Target_Spot,1404,12,25.99,82.37,7.74,12.94,0.6
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,513,12,26.0,82.47,10.86,13.24,0.6
Tomato___Bacterial_spot,2127,12,26.06,83.54,12.27,14.22,0.57
"Pepper,_bell___Bacterial_spot",997,7,26.16,82.22,12.27,13.95,0.62
Tomato___healthy,1591,12,26.48,70.92,1.89,5.65,1.06
Tomato___Early_blight,1000,12,26.5,81.5,7.22,12.28,0.65
Soybean___healthy,5090,8,27.49,66.58,1.94,4.17,1.27
Squash___Powdery_mildew,1835,8,27.75,82.02,5.45,11.55,0.69
Tomato___Tomato_Yellow_Leaf_Curl_Virus,5357,12,28.11,72.88,2.7,7.61,1.09
Corn_(maize)___healthy,1162,12,28.25,67.74,1.5,4.25,1.3
Tomato___Spider_mites Two-spotted_spider_mite,1676,12,28.38,71.92,2.75,7.35,1.15
