class_name,crop,disease,is_healthy,n_images,n_leaves,n_train,n_test,imgs_per_leaf
Orange___Haunglongbing_(Citrus_greening),Orange,Haunglongbing_(Citrus_greening),False,5507,991,4527,980,5.56
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato,Tomato_Yellow_Leaf_Curl_Virus,False,5357,3304,4257,1100,1.62
Soybean___healthy,Soybean,healthy,True,5090,550,4117,973,9.25
Peach___Bacterial_spot,Peach,Bacterial_spot,False,2297,332,1755,542,6.92
Tomato___Bacterial_spot,Tomato,Bacterial_spot,False,2127,532,1691,436,4.0
Tomato___Late_blight,Tomato,Late_blight,False,1909,1211,1534,375,1.58
Squash___Powdery_mildew,Squash,Powdery_mildew,False,1835,1835,1457,378,1.0
Tomato___Septoria_leaf_spot,Tomato,Septoria_leaf_spot,False,1771,1021,1434,337,1.73
Tomato___Spider_mites Two-spotted_spider_mite,Tomato,Spider_mites Two-spotted_spider_mite,False,1676,419,1356,320,4.0
Apple___healthy,Apple,healthy,True,1645,178,1359,286,9.24
Tomato___healthy,Tomato,healthy,True,1591,802,1261,330,1.98
Blueberry___healthy,Blueberry,healthy,True,1502,160,1178,324,9.39
"Pepper,_bell___healthy","Pepper,_bell",healthy,True,1478,167,1195,283,8.85
Tomato___Target_Spot,Tomato,Target_Spot,False,1404,1404,1116,288,1.0
Grape___Esca_(Black_Measles),Grape,Esca_(Black_Measles),False,1383,346,1099,284,4.0
Corn_(maize)___Common_rust_,Corn_(maize),Common_rust_,False,1192,1192,975,217,1.0
Grape___Black_rot,Grape,Black_rot,False,1180,295,1012,168,4.0
Corn_(maize)___healthy,Corn_(maize),healthy,True,1162,1162,912,250,1.0
Strawberry___Leaf_scorch,Strawberry,Leaf_scorch,False,1109,408,909,200,2.72
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape,Leaf_blight_(Isariopsis_Leaf_Spot),False,1076,269,872,204,4.0
Cherry_(including_sour)___Powdery_mildew,Cherry_(including_sour),Powdery_mildew,False,1052,65,833,219,16.18
Potato___Early_blight,Potato,Early_blight,False,1000,250,836,164,4.0
Potato___Late_blight,Potato,Late_blight,False,1000,250,788,212,4.0
Tomato___Early_blight,Tomato,Early_blight,False,1000,251,785,215,3.98
"Pepper,_bell___Bacterial_spot","Pepper,_bell",Bacterial_spot,False,997,175,831,166,5.7
Corn_(maize)___Northern_Leaf_Blight,Corn_(maize),Northern_Leaf_Blight,False,985,985,765,220,1.0
Tomato___Leaf_Mold,Tomato,Leaf_Mold,False,952,238,780,172,4.0
Cherry_(including_sour)___healthy,Cherry_(including_sour),healthy,True,854,107,731,123,7.98
Apple___Apple_scab,Apple,Apple_scab,False,630,108,503,127,5.83
Apple___Black_rot,Apple,Black_rot,False,621,71,475,146,8.75
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize),Cercospora_leaf_spot Gray_leaf_spot,False,513,513,406,107,1.0
Strawberry___healthy,Strawberry,healthy,True,456,134,376,80,3.4
Grape___healthy,Grape,healthy,True,423,423,323,100,1.0
Tomato___Tomato_mosaic_virus,Tomato,Tomato_mosaic_virus,False,373,373,307,66,1.0
Raspberry___healthy,Raspberry,healthy,True,371,37,209,162,10.03
Peach___healthy,Peach,healthy,True,360,57,289,71,6.32
Apple___Cedar_apple_rust,Apple,Cedar_apple_rust,False,275,69,223,52,3.99
Potato___healthy,Potato,healthy,True,152,36,120,32,4.22
