feature,attribution,abs_attribution,value_mean
dewpoint_depression_c_mean3,0.025235639168256586,0.031815310506367905,0.6844987
leaf_wetness_hours_mean7,-0.017683610928674272,0.030271561184863204,-0.6191013
temperature_2m_mean_mean14,0.025500725589774852,0.027849785539667566,-1.118747
wind_v,-0.007764096452096757,0.026801436597026503,-0.28733304
relative_humidity_2m_mean,-0.01937393649657889,0.025646882323159367,-0.79521716
wind_speed_10m_max_mean14,-0.016811433195785517,0.02208165893353596,-0.8527461
diurnal_range_c,-0.017950345831303487,0.021770694470063568,0.8307308
is_rainy_sum7,-0.011610786869137392,0.021730672307123854,-0.46317458
shortwave_radiation_sum_mean3,0.018130564503784773,0.020689432242903035,0.6130728
vpd_kpa_mean3,0.006374242185773918,0.01867507202940164,0.06234003
gdd_sum7,-0.015554787598466058,0.01843133110305324,-1.1020337
leaf_wetness_hours,-0.010803566173302357,0.01842077429450902,-0.5020537
dewpoint_depression_c,-0.013736928652116717,0.018170571099901767,0.7095665
surface_pressure_mean,0.01432720411145038,0.018053342098619137,-0.97312295
gdd,-0.013174199756934983,0.017127748204629607,-1.0413707
leaf_wetness_hours_mean14,-0.012265617812572821,0.016649124102030732,-0.6669527
gdd_sum14,0.006882602450602492,0.01588528859277453,-1.149538
gdd_sum3,-0.012845404628234653,0.01571011334829773,-1.0637631
temperature_2m_mean_mean3,-0.011214444766608234,0.015476613037196052,-1.0297178
precipitation_sum_sum3,0.008221091202073417,0.014957082354535179,-0.3098972
shortwave_radiation_sum,1.7952046860018097e-06,0.014402232490762898,0.65648735
relative_humidity_2m_mean_mean7,-0.009954151969286227,0.014065144191657398,-0.7757579
is_rainy_sum14,-0.008834736874788385,0.013990679728021031,-0.57896435
temperature_2m_min,0.011217505657966469,0.01354953052191901,-1.1683817
et0_fao_evapotranspiration,0.010945166993530684,0.01335437203477068,0.20293237
wind_u,0.007355458578857364,0.01269940913573169,-0.26826242
shortwave_radiation_sum_mean14,0.002848025815425895,0.011937078047398861,0.66148776
temperature_2m_mean,-0.007551512882354261,0.011646112695921258,-1.0045305
relative_humidity_2m_max,0.00796590569466589,0.01117293193207895,-0.5561047
temperature_2m_max,0.00841204820408191,0.01100274246844393,-0.8071008
leaf_wetness_hours_mean3,0.008674352602413053,0.010740716259634048,-0.50748694
dew_point_2m_mean,-0.009906504373484675,0.010703834739258953,-1.2740444
wind_speed_10m_max,-0.0068895364406407564,0.010695528407395424,-0.60099113
is_rainy,-0.0006272980249572456,0.010414948189504303,-0.41549146
shortwave_radiation_sum_mean7,0.0066075380189591516,0.009751705011100072,0.664194
wind_speed_10m_max_mean3,-0.007330083734851652,0.009653125046578746,-0.65803087
temperature_2m_mean_mean7,0.00617046427632644,0.009620767075661844,-1.0661658
is_rainy_sum3,-0.0047099955509951625,0.00892998945905797,-0.38774127
wind_speed_10m_max_mean7,-0.0011522192990843934,0.008509696730335385,-0.73451626
precipitation_sum_sum14,0.003339021812357414,0.008471254898506949,-0.3586028
dewpoint_depression_c_mean14,0.0036279038585431338,0.0072010556373948405,0.67010576
precipitation_sum,-0.0021683637127152375,0.007118950009162113,-0.3026516
dewpoint_depression_c_mean7,-0.0017924853533198314,0.006285166487776336,0.6851877
vpd_kpa_mean14,-0.003252690770127116,0.00610222691285701,0.0342909
vpd_kpa,0.003165879990422246,0.005939666713916686,0.086812206
relative_humidity_2m_mean_mean14,-0.002019754769056503,0.005918200497397505,-0.77799094
precipitation_sum_sum7,0.002891417468975439,0.005322502132934033,-0.3842835
vpd_kpa_mean7,0.0020977671756101544,0.004444401327634168,0.080370404
relative_humidity_2m_mean_mean3,0.0016534432097305542,0.004216980224572861,-0.7436838
rain_sum,0.0013826238516129951,0.0035544357363113304,-0.30106473
