missing_fraction,encoder,test_acc,test_macro_f1,risk_r2_mean,band_acc_mean
0.0,GraphSAGE,0.9734678864479065,0.9376124843951956,0.6512082945605397,0.7026345431804657
0.0,MLP (no graph),0.9794469475746155,0.9558969132755987,0.6756559148848389,0.7172708213329315
0.25,GraphSAGE,0.8871450424194336,0.8107958365748874,0.6520504018057433,0.7057797908782959
0.25,MLP (no graph),0.8961136341094971,0.8405325652893069,0.6785060557595589,0.7170839905738831
0.5,GraphSAGE,0.8111609816551208,0.7047918487739083,0.6574511505673162,0.7083022147417068
0.5,MLP (no graph),0.8160189390182495,0.7278507470364902,0.6833797186190916,0.7184853404760361
0.75,GraphSAGE,0.7284504771232605,0.5902256255605849,0.6666156086549462,0.7148729860782623
0.75,MLP (no graph),0.7339312434196472,0.6008126481882686,0.6882808808260742,0.7200735211372375
0.9,GraphSAGE,0.6730194687843323,0.5021209549045835,0.6701313139174983,0.7164922952651978
0.9,MLP (no graph),0.6879671216011047,0.5229390706728692,0.6929101461260123,0.7220354080200195
